Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,7.6935,6.9435,95.00355,Sunny
2023-01-01 01:00:00+00:00,7.2935004,6.6435003,95.64313,Sunny
2023-01-01 02:00:00+00:00,6.8935003,6.3935003,96.62278,Sunny
2023-01-01 03:00:00+00:00,9.4435,7.8935003,90.05078,Sunny
2023-01-01 04:00:00+00:00,12.0935,9.143499,82.16823,Sunny
2023-01-01 05:00:00+00:00,14.643499,10.1935,74.668,Sunny
2023-01-01 06:00:00+00:00,16.5935,10.5435,67.46083,Sunny
2023-01-01 07:00:00+00:00,17.6935,10.393499,62.298897,Sunny
2023-01-01 08:00:00+00:00,18.4435,9.893499,57.47839,Sunny
2023-01-01 09:00:00+00:00,18.793499,9.4935,54.745007,Sunny
2023-01-01 10:00:00+00:00,18.6935,9.2435,54.170017,Sunny
2023-01-01 11:00:00+00:00,17.9935,9.7935,58.730072,Sunny
2023-01-01 12:00:00+00:00,14.143499,10.0935,76.60691,Sunny
2023-01-01 13:00:00+00:00,13.2935,9.6935,78.81749,Sunny
2023-01-01 14:00:00+00:00,13.3435,9.4435,77.25362,Sunny
2023-01-01 15:00:00+00:00,13.8435,9.4935,75.033356,Sunny
2023-01-01 16:00:00+00:00,13.4435,9.393499,76.49452,Sunny
2023-01-01 17:00:00+00:00,12.8435,9.2435,78.751,Sunny
2023-01-01 18:00:00+00:00,12.0435,9.0935,82.16186,Sunny
2023-01-01 19:00:00+00:00,11.3435,8.9435,85.18179,Sunny
2023-01-01 20:00:00+00:00,7.9935,7.2435,95.0152,Sunny
2023-01-01 21:00:00+00:00,7.5935,7.0935,96.64132,Sunny
2023-01-01 22:00:00+00:00,7.3935003,6.9935,97.30072,Sunny
2023-01-01 23:00:00+00:00,6.8935003,6.5935,97.96138,Sunny
2023-01-02 00:00:00+00:00,6.1435003,5.8435,97.94921,Sunny
2023-01-02 01:00:00+00:00,6.6935,6.1935,96.61746,Sunny
2023-01-02 02:00:00+00:00,7.7435,6.7935004,93.71141,Sunny
2023-01-02 03:00:00+00:00,9.1935,7.5935,89.72561,Sunny
2023-01-02 04:00:00+00:00,12.4935,9.4435,81.668625,Sunny
2023-01-02 05:00:00+00:00,15.0435,10.393499,73.746704,Sunny
2023-01-02 06:00:00+00:00,16.6935,10.2935,65.925476,Sunny
2023-01-02 07:00:00+00:00,17.6435,9.6935,59.637276,Sunny
2023-01-02 08:00:00+00:00,18.293499,9.1935,55.35751,Sunny
2023-01-02 09:00:00+00:00,18.6435,8.7435,52.53802,Sunny
2023-01-02 10:00:00+00:00,18.5935,8.4935,51.818947,Sunny
2023-01-02 11:00:00+00:00,17.9435,9.7935,58.914993,Sunny
2023-01-02 12:00:00+00:00,16.2435,9.5435,64.51775,Sunny
2023-01-02 13:00:00+00:00,15.2435,9.5435,68.77942,Sunny
2023-01-02 14:00:00+00:00,12.643499,9.1935,79.5209,Sunny
2023-01-02 15:00:00+00:00,10.3435,8.4935,88.30811,Sunny
2023-01-02 16:00:00+00:00,9.0935,7.8935003,92.196754,Sunny
2023-01-02 17:00:00+00:00,8.3435,7.4435,94.0611,Sunny
2023-01-02 18:00:00+00:00,7.6935,6.9435,95.00355,Sunny
2023-01-02 19:00:00+00:00,7.4935,6.6935,94.67015,Sunny
2023-01-02 20:00:00+00:00,7.3935003,6.5435004,94.34113,Sunny
2023-01-02 21:00:00+00:00,7.3435,6.4935,94.338936,Sunny
2023-01-02 22:00:00+00:00,6.9435,6.2935004,95.63118,Sunny
2023-01-02 23:00:00+00:00,6.4435,5.8935003,96.27752,Sunny
2023-01-03 00:00:00+00:00,6.2935004,5.8935003,97.27716,Sunny
2023-01-03 01:00:00+00:00,6.7435,6.1935,96.28629,Sunny
2023-01-03 02:00:00+00:00,7.7435,6.9435,94.6805,Sunny
2023-01-03 03:00:00+00:00,9.0935,7.7435,91.26017,Sunny
