Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,9.732,9.032001,95.40302,Sunny
2023-01-01 01:00:00+00:00,10.082,9.282001,94.775894,Sunny
2023-01-01 02:00:00+00:00,12.532001,10.882,89.68089,Sunny
2023-01-01 03:00:00+00:00,15.382,11.332,76.80393,Sunny
2023-01-01 04:00:00+00:00,17.432,10.132,62.23885,Sunny
2023-01-01 05:00:00+00:00,19.231998,8.982,51.46526,Sunny
2023-01-01 06:00:00+00:00,20.481998,7.882,44.20876,Sunny
2023-01-01 07:00:00+00:00,21.182,7.932,42.489597,Sunny
2023-01-01 08:00:00+00:00,21.831999,7.782,40.417686,Sunny
2023-01-01 09:00:00+00:00,22.032,7.0820003,38.064034,Cloudy
2023-01-01 10:00:00+00:00,21.581999,6.782,38.32816,Sunny
2023-01-01 11:00:00+00:00,19.632,9.782001,52.97489,Sunny
2023-01-01 12:00:00+00:00,15.932,7.7320004,58.224438,Sunny
2023-01-01 13:00:00+00:00,15.382,7.932,61.137234,Sunny
2023-01-01 14:00:00+00:00,14.182,8.782001,69.969734,Sunny
2023-01-01 15:00:00+00:00,13.482,9.132,74.97208,Sunny
2023-01-01 16:00:00+00:00,13.032001,9.382,78.514565,Sunny
2023-01-01 17:00:00+00:00,12.232,9.732,84.70765,Sunny
2023-01-01 18:00:00+00:00,12.282001,10.232,87.30211,Sunny
2023-01-01 19:00:00+00:00,12.082,10.532001,90.245766,Sunny
2023-01-01 20:00:00+00:00,11.682,10.482,92.3487,Sunny
2023-01-01 21:00:00+00:00,11.282001,10.332,93.88005,Sunny
2023-01-01 22:00:00+00:00,11.032001,10.182,94.497795,Sunny
2023-01-01 23:00:00+00:00,10.832,10.082,95.12345,Sunny
2023-01-02 00:00:00+00:00,10.882,10.582,98.02433,Sunny
2023-01-02 01:00:00+00:00,10.832,10.582,98.350555,Sunny
2023-01-02 02:00:00+00:00,12.432,11.582,94.55637,Sunny
2023-01-02 03:00:00+00:00,15.132,11.682,79.87361,Sunny
2023-01-02 04:00:00+00:00,17.282,11.182,67.379295,Sunny
2023-01-02 05:00:00+00:00,18.932,11.232,60.94743,Cloudy
2023-01-02 06:00:00+00:00,19.782,10.682,55.735153,Cloudy
2023-01-02 07:00:00+00:00,20.731998,10.132,50.66492,Cloudy
2023-01-02 08:00:00+00:00,21.331999,9.382,46.437405,Cloudy
2023-01-02 09:00:00+00:00,21.331999,8.732,44.446854,Sunny
2023-01-02 10:00:00+00:00,20.882,8.632,45.38403,Sunny
2023-01-02 11:00:00+00:00,19.632,8.932,50.031982,Sunny
2023-01-02 12:00:00+00:00,15.982,8.982,63.17034,Cloudy
2023-01-02 13:00:00+00:00,15.032001,9.532001,69.66682,Sunny
2023-01-02 14:00:00+00:00,13.532001,10.332,80.988945,Sunny
2023-01-02 15:00:00+00:00,12.382,10.682,89.3716,Sunny
2023-01-02 16:00:00+00:00,11.732,10.582,92.65965,Sunny
2023-01-02 17:00:00+00:00,11.382,10.482,94.19818,Sunny
2023-01-02 18:00:00+00:00,11.132,10.382,95.13469,Sunny
2023-01-02 19:00:00+00:00,10.732,10.082,95.75801,Sunny
2023-01-02 20:00:00+00:00,10.482,9.932,96.39313,Sunny
2023-01-02 21:00:00+00:00,10.032001,9.632,97.356,Sunny
2023-01-02 22:00:00+00:00,9.682,9.432,98.33563,Sunny
2023-01-02 23:00:00+00:00,9.682,9.382,98.0057,Sunny
2023-01-03 00:00:00+00:00,9.482,9.332,98.99683,Cloudy
2023-01-03 01:00:00+00:00,9.382,9.182,98.66338,Sunny
2023-01-03 02:00:00+00:00,11.782001,10.782001,93.59176,Sunny
2023-01-03 03:00:00+00:00,14.782001,11.432,80.35454,Sunny
2023-01-03 04:00:00+00:00,16.932,11.882,72.15088,Sunny
2023-01-03 05:00:00+00:00,18.782,12.032001,64.85903,Cloudy
2023-01-03 06:00:00+00:00,19.831999,11.982,60.556316,Rainy
2023-01-03 07:00:00+00:00,20.282,11.382,56.60595,Cloudy
2023-01-03 08:00:00+00:00,20.782,10.982,53.45135,Cloudy
2023-01-03 09:00:00+00:00,21.032,10.682,51.5969,Sunny
2023-01-03 10:00:00+00:00,20.782,10.382,51.359352,Sunny
2023-01-03 11:00:00+00:00,19.581999,11.432,59.310238,Sunny
2023-01-03 12:00:00+00:00,16.382,10.582,68.54992,Sunny
2023-01-03 13:00:00+00:00,14.282001,12.132,86.91317,Sunny
2023-01-03 14:00:00+00:00,13.382,12.132,92.142586,Sunny
