Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,15.789,14.539,92.282616,Sunny
2023-01-01 01:00:00+00:00,15.988999,14.889,93.19032,Sunny
2023-01-01 02:00:00+00:00,17.539,15.488999,87.77878,Sunny
2023-01-01 03:00:00+00:00,20.489,16.088999,75.88099,Sunny
2023-01-01 04:00:00+00:00,23.939,16.239,62.095963,Sunny
2023-01-01 05:00:00+00:00,26.588999,14.089,46.19385,Sunny
2023-01-01 06:00:00+00:00,28.039,12.889,39.242313,Sunny
2023-01-01 07:00:00+00:00,28.939,12.839,37.121456,Sunny
2023-01-01 08:00:00+00:00,29.539,12.889,35.974037,Sunny
2023-01-01 09:00:00+00:00,29.689,13.139,36.25177,Sunny
2023-01-01 10:00:00+00:00,29.489,13.188999,36.791874,Sunny
2023-01-01 11:00:00+00:00,28.989,13.089,37.623928,Sunny
2023-01-01 12:00:00+00:00,26.889,14.389,46.27511,Cloudy
2023-01-01 13:00:00+00:00,24.539,13.488999,50.178993,Cloudy
2023-01-01 14:00:00+00:00,23.889,12.488999,48.87331,Cloudy
2023-01-01 15:00:00+00:00,22.939,11.938999,49.918385,Sunny
2023-01-01 16:00:00+00:00,21.289,11.988999,55.379726,Sunny
2023-01-01 17:00:00+00:00,20.539,12.339,59.34366,Sunny
2023-01-01 18:00:00+00:00,20.389,12.639,61.08586,Sunny
2023-01-01 19:00:00+00:00,19.789,12.789,64.02185,Sunny
2023-01-01 20:00:00+00:00,19.039,12.889,67.5189,Sunny
2023-01-01 21:00:00+00:00,17.989,13.688999,75.967834,Sunny
2023-01-01 22:00:00+00:00,16.789,14.139,84.377014,Sunny
2023-01-01 23:00:00+00:00,16.639,14.089,84.90893,Sunny
2023-01-02 00:00:00+00:00,16.489,14.339,87.120735,Sunny
2023-01-02 01:00:00+00:00,16.439,14.238999,86.83472,Sunny
2023-01-02 02:00:00+00:00,18.439,14.339,77.03085,Sunny
2023-01-02 03:00:00+00:00,21.389,14.389,64.37194,Sunny
2023-01-02 04:00:00+00:00,24.539,13.339,49.69115,Sunny
2023-01-02 05:00:00+00:00,27.088999,10.589,35.642826,Sunny
2023-01-02 06:00:00+00:00,28.139,10.238999,32.746925,Sunny
2023-01-02 07:00:00+00:00,28.838999,10.339,31.6524,Sunny
2023-01-02 08:00:00+00:00,29.289,10.738999,31.67177,Sunny
2023-01-02 09:00:00+00:00,29.289,11.039,32.309315,Sunny
2023-01-02 10:00:00+00:00,29.139,11.089,32.698895,Sunny
2023-01-02 11:00:00+00:00,28.289,11.238999,34.694733,Sunny
2023-01-02 12:00:00+00:00,26.639,11.639,39.237778,Sunny
2023-01-02 13:00:00+00:00,24.338999,11.988999,46.03295,Sunny
2023-01-02 14:00:00+00:00,23.539,12.738999,50.738533,Sunny
2023-01-02 15:00:00+00:00,22.239,13.089,56.166218,Sunny
2023-01-02 16:00:00+00:00,21.639,13.389,59.411404,Sunny
2023-01-02 17:00:00+00:00,20.939,13.639,63.033863,Sunny
2023-01-02 18:00:00+00:00,20.088999,14.139,68.616714,Sunny
2023-01-02 19:00:00+00:00,19.439,14.938999,75.2263,Sunny
2023-01-02 20:00:00+00:00,18.889,15.488999,80.64797,Sunny
2023-01-02 21:00:00+00:00,17.789,15.839,88.364006,Sunny
2023-01-02 22:00:00+00:00,16.739,15.738999,93.82679,Sunny
2023-01-02 23:00:00+00:00,16.189,15.488999,95.62446,Sunny
2023-01-03 00:00:00+00:00,16.039,15.589,97.16418,Sunny
2023-01-03 01:00:00+00:00,16.389,16.039,97.79409,Cloudy
2023-01-03 02:00:00+00:00,16.989,16.539,97.18459,Cloudy
2023-01-03 03:00:00+00:00,19.239,16.489,84.10893,Sunny
2023-01-03 04:00:00+00:00,22.139,16.389,69.90534,Sunny
2023-01-03 05:00:00+00:00,25.088999,14.639,52.314926,Sunny
2023-01-03 06:00:00+00:00,27.189,11.639,37.989548,Sunny
2023-01-03 07:00:00+00:00,28.189,10.438999,33.090343,Sunny
2023-01-03 08:00:00+00:00,28.739,9.938999,30.996683,Sunny
2023-01-03 09:00:00+00:00,28.838999,10.089,31.128296,Sunny
2023-01-03 10:00:00+00:00,28.639,10.289,31.914986,Sunny
2023-01-03 11:00:00+00:00,28.039,10.589,33.71608,Sunny
2023-01-03 12:00:00+00:00,26.239,11.789,40.574306,Sunny
2023-01-03 13:00:00+00:00,22.588999,12.488999,52.866474,Cloudy
2023-01-03 14:00:00+00:00,22.889,12.938999,53.46605,Cloudy
2023-01-03 15:00:00+00:00,22.439,12.089,51.96646,Cloudy
2023-01-03 16:00:00+00:00,21.639,11.839,53.672424,Sunny
2023-01-03 17:00:00+00:00,21.088999,12.339,57.36902,Sunny
2023-01-03 18:00:00+00:00,20.189,14.039,67.753265,Sunny
2023-01-03 19:00:00+00:00,19.088999,15.839,81.45226,Sunny
2023-01-03 20:00:00+00:00,18.088999,16.489,90.38143,Sunny
2023-01-03 21:00:00+00:00,17.639,16.289,91.8014,Sunny
2023-01-03 22:00:00+00:00,16.338999,15.688999,95.93593,Sunny
2023-01-03 23:00:00+00:00,15.988999,15.488999,96.8523,Sunny
2023-01-04 00:00:00+00:00,15.889,15.339,96.53976,Sunny
2023-01-04 01:00:00+00:00,16.189,15.488999,95.62446,Sunny
2023-01-04 02:00:00+00:00,17.639,16.088999,90.63845,Sunny
2023-01-04 03:00:00+00:00,20.039,15.988999,77.524055,Sunny
2023-01-04 04:00:00+00:00,22.838999,15.438999,63.049976,Sunny
2023-01-04 05:00:00+00:00,25.539,12.738999,45.01647,Sunny
2023-01-04 06:00:00+00:00,27.139,10.539,35.420227,Sunny
2023-01-04 07:00:00+00:00,27.889,9.789,32.242428,Sunny
2023-01-04 08:00:00+00:00,28.489,8.889,29.306803,Sunny
2023-01-04 09:00:00+00:00,28.689,8.789,28.773552,Sunny
2023-01-04 10:00:00+00:00,28.389,8.738999,29.180538,Sunny
2023-01-04 11:00:00+00:00,27.588999,8.789,30.67757,Sunny
2023-01-04 12:00:00+00:00,25.838999,10.789,38.88373,Sunny
2023-01-04 13:00:00+00:00,22.239,11.688999,51.233734,Sunny
2023-01-04 14:00:00+00:00,22.189,11.639,51.22055,Sunny
2023-01-04 15:00:00+00:00,22.189,12.039,52.589485,Sunny
2023-01-04 16:00:00+00:00,22.389,13.488999,57.1265,Sunny
2023-01-04 17:00:00+00:00,21.189,15.188999,68.61355,Sunny
2023-01-04 18:00:00+00:00,19.989,16.539,80.537476,Sunny
2023-01-04 19:00:00+00:00,19.239,16.989,86.82114,Sunny
2023-01-04 20:00:00+00:00,18.639,17.088999,90.706635,Sunny
2023-01-04 21:00:00+00:00,18.088999,16.989,93.295906,Sunny
2023-01-04 22:00:00+00:00,17.689,16.689,93.870384,Sunny
2023-01-04 23:00:00+00:00,17.439,16.389,93.56081,Sunny
2023-01-05 00:00:00+00:00,17.239,16.338999,94.449455,Sunny
2023-01-05 01:00:00+00:00,17.088999,16.289,95.04697,Sunny
2023-01-05 02:00:00+00:00,17.739,16.289,91.22475,Sunny
2023-01-05 03:00:00+00:00,20.039,16.289,79.02142,Sunny
2023-01-05 04:00:00+00:00,22.439,15.639,65.43226,Sunny
2023-01-05 05:00:00+00:00,24.439,14.289,53.169983,Sunny
2023-01-05 06:00:00+00:00,26.189,12.438999,42.472523,Sunny
2023-01-05 07:00:00+00:00,27.539,11.289,36.36693,Sunny
2023-01-05 08:00:00+00:00,28.139,10.839,34.082325,Cloudy
2023-01-05 09:00:00+00:00,27.739,11.188999,35.706825,Cloudy
2023-01-05 10:00:00+00:00,27.489,10.938999,35.636684,Cloudy
2023-01-05 11:00:00+00:00,26.838999,11.289,37.89132,Cloudy
2023-01-05 12:00:00+00:00,26.039,11.988999,41.601707,Cloudy
2023-01-05 13:00:00+00:00,24.689,11.738999,44.342003,Cloudy
2023-01-05 14:00:00+00:00,23.789,12.488999,49.16812,Cloudy
2023-01-05 15:00:00+00:00,22.739,14.188999,58.52517,Sunny
2023-01-05 16:00:00+00:00,21.939,14.688999,63.460835,Sunny
2023-01-05 17:00:00+00:00,20.939,14.988999,68.784996,Sunny
2023-01-05 18:00:00+00:00,20.139,15.289,73.66964,Sunny
2023-01-05 19:00:00+00:00,19.289,15.589,79.16731,Sunny
2023-01-05 20:00:00+00:00,18.389,15.988999,85.91467,Sunny
2023-01-05 21:00:00+00:00,17.338999,16.239,93.258484,Sunny
2023-01-05 22:00:00+00:00,16.739,16.039,95.64258,Sunny
2023-01-05 23:00:00+00:00,16.838999,16.338999,96.87255,Cloudy
2023-01-06 00:00:00+00:00,17.439,16.838999,96.27441,Cloudy
2023-01-06 01:00:00+00:00,17.939,16.338999,90.37089,Cloudy
2023-01-06 02:00:00+00:00,18.139,16.338999,89.242134,Cloudy
2023-01-06 03:00:00+00:00,20.189,15.889,76.3191,Cloudy
2023-01-06 04:00:00+00:00,22.439,15.539,65.01457,Sunny
2023-01-06 05:00:00+00:00,25.088999,13.389,48.24282,Sunny
2023-01-06 06:00:00+00:00,26.489,13.188999,43.825924,Sunny
2023-01-06 07:00:00+00:00,27.239,13.738999,43.46398,Sunny
2023-01-06 08:00:00+00:00,28.139,12.839,38.886913,Sunny
2023-01-06 09:00:00+00:00,28.739,12.289,36.224087,Cloudy
2023-01-06 10:00:00+00:00,28.689,11.789,35.152893,Sunny
2023-01-06 11:00:00+00:00,28.289,11.289,34.809826,Sunny
2023-01-06 12:00:00+00:00,25.939,13.589,46.468765,Cloudy
2023-01-06 13:00:00+00:00,24.338999,13.988999,52.46018,Sunny
2023-01-06 14:00:00+00:00,23.239,14.839,59.21459,Sunny
2023-01-06 15:00:00+00:00,22.588999,15.089,62.590923,Sunny
2023-01-06 16:00:00+00:00,21.689,15.488999,67.83784,Sunny
2023-01-06 17:00:00+00:00,20.889,15.839,72.862045,Sunny
2023-01-06 18:00:00+00:00,20.039,15.789,76.539734,Sunny
2023-01-06 19:00:00+00:00,19.088999,16.039,82.49937,Sunny
2023-01-06 20:00:00+00:00,18.088999,16.338999,89.522835,Sunny
2023-01-06 21:00:00+00:00,17.338999,16.289,93.55602,Sunny
2023-01-06 22:00:00+00:00,16.838999,15.889,94.13171,Sunny
2023-01-06 23:00:00+00:00,16.189,15.339,94.70905,Sunny
2023-01-07 00:00:00+00:00,15.938999,15.188999,95.30961,Sunny
2023-01-07 01:00:00+00:00,16.439,15.539,94.41612,Sunny
2023-01-07 02:00:00+00:00,17.539,15.738999,89.19515,Sunny
2023-01-07 03:00:00+00:00,19.989,15.988999,77.76438,Sunny
2023-01-07 04:00:00+00:00,22.338999,16.039,67.536095,Sunny
2023-01-07 05:00:00+00:00,24.239,15.438999,57.947567,Sunny
