Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,18.6455,14.0955,74.852394,Sunny
2023-01-01 01:00:00+00:00,18.8955,14.3455,74.894135,Sunny
2023-01-01 02:00:00+00:00,19.4955,14.5955,73.32125,Sunny
2023-01-01 03:00:00+00:00,22.4455,15.0455,62.962536,Sunny
2023-01-01 04:00:00+00:00,25.4455,14.2455,49.93109,Sunny
2023-01-01 05:00:00+00:00,27.3955,13.3455,41.97849,Sunny
2023-01-01 06:00:00+00:00,28.6455,12.5455,37.03951,Sunny
2023-01-01 07:00:00+00:00,29.3955,12.4955,35.350094,Sunny
2023-01-01 08:00:00+00:00,29.8955,12.2455,33.787163,Sunny
2023-01-01 09:00:00+00:00,30.1455,11.945499,32.6543,Sunny
2023-01-01 10:00:00+00:00,30.3955,11.3455,30.938988,Sunny
2023-01-01 11:00:00+00:00,30.595499,10.695499,29.2954,Sunny
2023-01-01 12:00:00+00:00,29.0455,11.0455,32.781483,Sunny
2023-01-01 13:00:00+00:00,26.345499,11.6455,39.93987,Sunny
2023-01-01 14:00:00+00:00,25.1955,11.7955,43.183067,Sunny
2023-01-01 15:00:00+00:00,23.1455,12.695499,51.810425,Sunny
2023-01-01 16:00:00+00:00,22.9955,12.695499,52.28267,Sunny
2023-01-01 17:00:00+00:00,21.845499,12.445499,55.156757,Sunny
2023-01-01 18:00:00+00:00,20.595499,12.445499,59.55228,Sunny
2023-01-01 19:00:00+00:00,21.1455,12.1455,56.44784,Sunny
2023-01-01 20:00:00+00:00,21.4955,12.0455,54.887405,Sunny
2023-01-01 21:00:00+00:00,19.9455,12.1455,60.78256,Sunny
2023-01-01 22:00:00+00:00,18.7955,11.945499,64.436195,Sunny
2023-01-01 23:00:00+00:00,19.1955,11.7955,62.229748,Sunny
2023-01-02 00:00:00+00:00,17.7955,12.4955,71.1332,Sunny
2023-01-02 01:00:00+00:00,17.3955,12.5955,73.430176,Sunny
2023-01-02 02:00:00+00:00,18.6455,12.9955,69.68235,Sunny
2023-01-02 03:00:00+00:00,21.595499,13.5955,60.375774,Sunny
2023-01-02 04:00:00+00:00,23.845499,13.8455,53.536755,Sunny
2023-01-02 05:00:00+00:00,26.3955,13.695499,45.545975,Sunny
2023-01-02 06:00:00+00:00,28.1455,13.0455,39.400494,Sunny
2023-01-02 07:00:00+00:00,29.2455,12.8955,36.60416,Sunny
2023-01-02 08:00:00+00:00,30.1955,12.5955,33.981724,Sunny
2023-01-02 09:00:00+00:00,30.7455,12.195499,32.074726,Sunny
2023-01-02 10:00:00+00:00,30.7455,11.8455,31.343998,Sunny
2023-01-02 11:00:00+00:00,30.1455,11.695499,32.120346,Sunny
2023-01-02 12:00:00+00:00,29.1955,12.945499,36.83029,Sunny
2023-01-02 13:00:00+00:00,26.5455,13.7455,45.29176,Sunny
2023-01-02 14:00:00+00:00,24.1455,14.2455,53.961536,Sunny
2023-01-02 15:00:00+00:00,24.6455,13.5955,50.207115,Cloudy
2023-01-02 16:00:00+00:00,24.5455,13.1455,49.04892,Sunny
2023-01-02 17:00:00+00:00,24.2455,12.945499,49.29004,Sunny
2023-01-02 18:00:00+00:00,23.845499,12.8955,50.323532,Sunny
2023-01-02 19:00:00+00:00,23.7955,12.8455,50.31029,Sunny
2023-01-02 20:00:00+00:00,22.9955,12.7955,52.6261,Sunny
2023-01-02 21:00:00+00:00,21.7455,12.8455,56.968353,Sunny
2023-01-02 22:00:00+00:00,21.3955,13.0455,58.96724,Sunny
2023-01-02 23:00:00+00:00,20.6955,13.2955,62.570305,Sunny
2023-01-03 00:00:00+00:00,19.3955,12.5955,64.77941,Sunny
2023-01-03 01:00:00+00:00,19.095499,12.4955,65.5695,Sunny
2023-01-03 02:00:00+00:00,19.3955,12.6455,64.99203,Sunny
2023-01-03 03:00:00+00:00,21.6455,13.1455,58.4523,Sunny
2023-01-03 04:00:00+00:00,24.4955,13.5455,50.495106,Sunny
2023-01-03 05:00:00+00:00,26.8955,13.1455,42.668186,Sunny
2023-01-03 06:00:00+00:00,28.2955,12.3455,37.307625,Sunny
2023-01-03 07:00:00+00:00,28.9455,11.7955,34.649014,Sunny
2023-01-03 08:00:00+00:00,29.6455,11.2955,32.194454,Sunny
2023-01-03 09:00:00+00:00,30.4455,10.3955,28.963392,Cloudy
2023-01-03 10:00:00+00:00,30.5455,9.1455,26.483704,Cloudy
2023-01-03 11:00:00+00:00,30.1955,8.945499,26.658398,Sunny
2023-01-03 12:00:00+00:00,28.1455,10.7955,33.97105,Sunny
2023-01-03 13:00:00+00:00,26.1455,10.195499,36.703968,Sunny
2023-01-03 14:00:00+00:00,23.8955,9.6455,40.45532,Sunny
2023-01-03 15:00:00+00:00,23.6455,9.0455,39.444424,Sunny
2023-01-03 16:00:00+00:00,22.6455,8.8955,41.48083,Cloudy
2023-01-03 17:00:00+00:00,21.2955,8.8955,45.04098,Sunny
2023-01-03 18:00:00+00:00,19.595499,9.4955,52.08426,Sunny
2023-01-03 19:00:00+00:00,18.845499,9.5955,54.94244,Sunny
2023-01-03 20:00:00+00:00,19.1955,9.8955,54.848003,Sunny
2023-01-03 21:00:00+00:00,19.345499,10.0455,54.886368,Sunny
2023-01-03 22:00:00+00:00,18.2955,10.5955,60.798183,Sunny
2023-01-03 23:00:00+00:00,17.7955,10.945499,64.21607,Sunny
2023-01-04 00:00:00+00:00,17.6455,11.7955,68.57704,Sunny
2023-01-04 01:00:00+00:00,17.6955,11.6455,67.68786,Sunny
2023-01-04 02:00:00+00:00,18.345499,12.1455,67.15526,Sunny
2023-01-04 03:00:00+00:00,20.595499,12.8955,61.334,Sunny
2023-01-04 04:00:00+00:00,23.2455,13.695499,54.97016,Sunny
2023-01-04 05:00:00+00:00,25.4455,13.4955,47.558895,Sunny
2023-01-04 06:00:00+00:00,27.0455,12.1455,39.6114,Sunny
2023-01-04 07:00:00+00:00,28.4455,10.945499,33.717617,Cloudy
2023-01-04 08:00:00+00:00,29.0455,9.945499,30.464449,Cloudy
2023-01-04 09:00:00+00:00,29.0455,10.8455,32.349,Sunny
2023-01-04 10:00:00+00:00,28.9455,10.6455,32.106876,Sunny
2023-01-04 11:00:00+00:00,28.4955,10.445499,32.51976,Sunny
2023-01-04 12:00:00+00:00,27.3955,10.9955,35.96697,Sunny
2023-01-04 13:00:00+00:00,25.2455,11.445499,42.0708,Sunny
2023-01-04 14:00:00+00:00,23.595499,10.945499,44.926235,Sunny
2023-01-04 15:00:00+00:00,23.2955,8.3955,38.55448,Sunny
2023-01-04 16:00:00+00:00,22.595499,8.6455,40.910126,Sunny
2023-01-04 17:00:00+00:00,21.3955,9.8955,47.87847,Sunny
2023-01-04 18:00:00+00:00,20.7455,9.0955,47.221428,Sunny
2023-01-04 19:00:00+00:00,20.2455,7.3954997,43.395733,Sunny
2023-01-04 20:00:00+00:00,19.6955,9.2455,50.89916,Sunny
