Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,20.871,15.870999,73.09205,Sunny
2023-01-01 01:00:00+00:00,20.171001,16.171,77.791626,Sunny
2023-01-01 02:00:00+00:00,20.371,17.021,81.10057,Sunny
2023-01-01 03:00:00+00:00,23.121,16.521,66.41616,Sunny
2023-01-01 04:00:00+00:00,25.571001,16.671001,57.8978,Sunny
2023-01-01 05:00:00+00:00,27.471,15.870999,49.19085,Sunny
2023-01-01 06:00:00+00:00,28.871,15.120999,43.21172,Sunny
2023-01-01 07:00:00+00:00,29.571001,14.571,40.05425,Sunny
2023-01-01 08:00:00+00:00,30.021,13.971,37.54429,Sunny
2023-01-01 09:00:00+00:00,30.271,13.421,35.70992,Sunny
2023-01-01 10:00:00+00:00,30.121,12.771,34.52191,Sunny
2023-01-01 11:00:00+00:00,29.621,12.571,35.066586,Sunny
2023-01-01 12:00:00+00:00,27.221,17.421001,55.081413,Sunny
2023-01-01 13:00:00+00:00,24.371,15.271,56.87462,Sunny
2023-01-01 14:00:00+00:00,23.371,15.221,60.205677,Sunny
2023-01-01 15:00:00+00:00,22.571001,15.021,62.385956,Sunny
2023-01-01 16:00:00+00:00,21.721,15.120999,66.12492,Sunny
2023-01-01 17:00:00+00:00,20.821001,15.471,71.46412,Sunny
2023-01-01 18:00:00+00:00,20.721,15.571,72.36753,Sunny
2023-01-01 19:00:00+00:00,20.021,15.721,76.29254,Sunny
2023-01-01 20:00:00+00:00,19.821001,15.620999,76.75085,Sunny
2023-01-01 21:00:00+00:00,19.871,15.671,76.75862,Sunny
2023-01-01 22:00:00+00:00,20.171001,15.870999,76.31624,Sunny
2023-01-01 23:00:00+00:00,20.071001,16.021,77.528885,Sunny
2023-01-02 00:00:00+00:00,20.071001,16.071001,77.77668,Sunny
2023-01-02 01:00:00+00:00,18.721,16.221,85.40213,Sunny
2023-01-02 02:00:00+00:00,19.821001,16.421001,80.77165,Sunny
2023-01-02 03:00:00+00:00,22.421001,16.521,69.29544,Sunny
2023-01-02 04:00:00+00:00,24.721,16.771,61.29213,Sunny
2023-01-02 05:00:00+00:00,26.571001,16.171,52.863625,Sunny
2023-01-02 06:00:00+00:00,28.021,15.471,46.43147,Sunny
2023-01-02 07:00:00+00:00,29.071001,15.021,42.4405,Cloudy
2023-01-02 08:00:00+00:00,29.471,14.370999,39.76875,Sunny
2023-01-02 09:00:00+00:00,29.571001,14.271,39.285202,Sunny
2023-01-02 10:00:00+00:00,29.471,14.120999,39.13056,Sunny
2023-01-02 11:00:00+00:00,28.871,13.821,39.73111,Sunny
2023-01-02 12:00:00+00:00,26.521,15.120999,49.573185,Sunny
2023-01-02 13:00:00+00:00,25.071001,14.971,53.503376,Sunny
2023-01-02 14:00:00+00:00,24.271,14.921,55.943493,Sunny
2023-01-02 15:00:00+00:00,23.521,15.271,59.855263,Sunny
2023-01-02 16:00:00+00:00,22.621,16.021,66.31254,Sunny
2023-01-02 17:00:00+00:00,21.771,16.321001,71.18352,Sunny
2023-01-02 18:00:00+00:00,21.171001,16.371,74.08246,Sunny
2023-01-02 19:00:00+00:00,20.221,16.521,79.29906,Sunny
2023-01-02 20:00:00+00:00,19.921001,16.621,81.299934,Sunny
2023-01-02 21:00:00+00:00,19.121,16.721,85.987785,Sunny
2023-01-02 22:00:00+00:00,18.421001,16.921001,90.97979,Sunny
2023-01-02 23:00:00+00:00,18.171001,17.021,93.00502,Sunny
2023-01-03 00:00:00+00:00,18.221,17.521,95.690834,Sunny
2023-01-03 01:00:00+00:00,18.421001,17.821001,96.301865,Cloudy
2023-01-03 02:00:00+00:00,19.671001,18.071001,90.491585,Cloudy
2023-01-03 03:00:00+00:00,21.521,18.371,82.27486,Sunny
2023-01-03 04:00:00+00:00,23.921001,18.071001,69.80306,Sunny
2023-01-03 05:00:00+00:00,25.971,16.621,56.36178,Sunny
2023-01-03 06:00:00+00:00,27.271,15.521,48.668324,Sunny
2023-01-03 07:00:00+00:00,28.171001,14.921,44.429672,Sunny
2023-01-03 08:00:00+00:00,28.621,14.421,41.908813,Sunny
2023-01-03 09:00:00+00:00,28.821001,13.971,40.236115,Sunny
2023-01-03 10:00:00+00:00,28.771,13.571,39.318043,Sunny
2023-01-03 11:00:00+00:00,28.321001,13.120999,39.192783,Sunny
2023-01-03 12:00:00+00:00,26.221,18.471,62.40901,Cloudy
2023-01-03 13:00:00+00:00,25.821001,13.921,47.814827,Cloudy
2023-01-03 14:00:00+00:00,24.371,14.120999,52.80952,Sunny
2023-01-03 15:00:00+00:00,22.221,14.721,62.508354,Sunny
2023-01-03 16:00:00+00:00,21.071001,15.171,69.03244,Sunny
2023-01-03 17:00:00+00:00,20.521,15.221,71.63862,Sunny
2023-01-03 18:00:00+00:00,20.071001,15.071,72.9513,Sunny
2023-01-03 19:00:00+00:00,19.671001,14.921,74.06405,Cloudy
2023-01-03 20:00:00+00:00,19.371,14.721,74.49162,Sunny
2023-01-03 21:00:00+00:00,19.071001,14.921,76.88069,Cloudy
2023-01-03 22:00:00+00:00,18.171001,15.671,85.34505,Cloudy
2023-01-03 23:00:00+00:00,18.271,16.171,87.56357,Cloudy
2023-01-04 00:00:00+00:00,18.771,16.871,88.727135,Cloudy
2023-01-04 01:00:00+00:00,18.221,16.921001,92.128006,Sunny
2023-01-04 02:00:00+00:00,18.571001,17.321001,92.43991,Cloudy
2023-01-04 03:00:00+00:00,20.771,17.821001,83.22499,Sunny
2023-01-04 04:00:00+00:00,23.221,17.621,70.777435,Sunny
2023-01-04 05:00:00+00:00,25.471,16.771,58.6136,Sunny
2023-01-04 06:00:00+00:00,27.071001,15.271,48.459473,Sunny
2023-01-04 07:00:00+00:00,28.171001,14.571,43.438526,Sunny
2023-01-04 08:00:00+00:00,28.521,14.021,41.075565,Sunny
2023-01-04 09:00:00+00:00,28.821001,13.471,38.94994,Sunny
2023-01-04 10:00:00+00:00,28.621,13.071,38.389954,Sunny
2023-01-04 11:00:00+00:00,27.921001,12.521,38.57235,Sunny
2023-01-04 12:00:00+00:00,25.121,14.221,50.823795,Sunny
2023-01-04 13:00:00+00:00,22.771,14.620999,60.065582,Sunny
2023-01-04 14:00:00+00:00,21.871,14.921,64.6844,Sunny
2023-01-04 15:00:00+00:00,20.721,15.171,70.53424,Sunny
2023-01-04 16:00:00+00:00,19.821001,15.521,76.26083,Sunny
2023-01-04 17:00:00+00:00,19.471,15.721,78.94027,Sunny
2023-01-04 18:00:00+00:00,19.321001,16.021,81.2224,Sunny
2023-01-04 19:00:00+00:00,19.171001,16.221,83.03704,Sunny
2023-01-04 20:00:00+00:00,19.021,16.221,83.817154,Sunny
2023-01-04 21:00:00+00:00,18.471,16.921001,90.695244,Sunny
2023-01-04 22:00:00+00:00,17.971,17.471,96.89922,Cloudy
2023-01-04 23:00:00+00:00,18.471,17.921001,96.60664,Cloudy
2023-01-05 00:00:00+00:00,19.671001,18.521,93.082016,Cloudy
2023-01-05 01:00:00+00:00,19.721,18.621,93.37626,Rainy
2023-01-05 02:00:00+00:00,20.071001,18.371,89.95372,Rainy
2023-01-05 03:00:00+00:00,20.821001,18.171001,84.81504,Rainy
2023-01-05 04:00:00+00:00,22.121,18.071001,77.83579,Rainy
2023-01-05 05:00:00+00:00,23.221,17.971,72.35442,Rainy
