Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,11.887,6.537,69.75388,Sunny
2023-01-01 01:00:00+00:00,11.537001,6.487,71.13898,Sunny
2023-01-01 02:00:00+00:00,11.587001,6.587,71.39359,Sunny
2023-01-01 03:00:00+00:00,13.487,7.287,66.12797,Sunny
2023-01-01 04:00:00+00:00,16.137,7.987,58.473522,Sunny
2023-01-01 05:00:00+00:00,18.937,9.037001,52.61528,Sunny
2023-01-01 06:00:00+00:00,20.937,9.637,48.398853,Sunny
2023-01-01 07:00:00+00:00,22.087,10.087001,46.48959,Sunny
2023-01-01 08:00:00+00:00,22.737,10.237,45.138557,Sunny
2023-01-01 09:00:00+00:00,23.137,10.187,43.91154,Sunny
2023-01-01 10:00:00+00:00,23.087,9.887,43.169594,Sunny
2023-01-01 11:00:00+00:00,22.437,9.687,44.30705,Sunny
2023-01-01 12:00:00+00:00,19.987,13.337001,65.54557,Sunny
2023-01-01 13:00:00+00:00,17.937,11.087001,64.24734,Sunny
2023-01-01 14:00:00+00:00,17.036999,10.887,67.10535,Sunny
2023-01-01 15:00:00+00:00,15.937,10.637,70.78144,Sunny
2023-01-01 16:00:00+00:00,14.887,10.437,74.70955,Sunny
2023-01-01 17:00:00+00:00,14.237,10.037001,75.85749,Sunny
2023-01-01 18:00:00+00:00,13.687,9.687,76.79083,Sunny
2023-01-01 19:00:00+00:00,13.237,9.537001,78.281975,Sunny
2023-01-01 20:00:00+00:00,12.787001,9.537001,80.617714,Sunny
2023-01-01 21:00:00+00:00,12.137,9.487,83.84851,Sunny
2023-01-01 22:00:00+00:00,11.637,9.487,86.657936,Sunny
2023-01-01 23:00:00+00:00,11.037001,9.437,89.86682,Sunny
2023-01-02 00:00:00+00:00,10.587001,9.187,91.0515,Sunny
2023-01-02 01:00:00+00:00,9.987,8.837001,92.56171,Sunny
2023-01-02 02:00:00+00:00,10.087001,8.937,92.567375,Sunny
2023-01-02 03:00:00+00:00,12.787001,9.637,81.16064,Sunny
2023-01-02 04:00:00+00:00,16.237,9.887,66.048325,Sunny
2023-01-02 05:00:00+00:00,19.087,8.637,50.736317,Sunny
2023-01-02 06:00:00+00:00,20.687,7.837,43.520203,Sunny
2023-01-02 07:00:00+00:00,21.837,7.437,39.46598,Sunny
2023-01-02 08:00:00+00:00,22.587,7.337,37.44776,Sunny
2023-01-02 09:00:00+00:00,22.937,7.387,36.786922,Sunny
2023-01-02 10:00:00+00:00,22.987,7.387,36.67574,Sunny
2023-01-02 11:00:00+00:00,22.437,7.287,37.661625,Sunny
2023-01-02 12:00:00+00:00,19.837,8.137,46.811913,Sunny
2023-01-02 13:00:00+00:00,17.786999,8.137,53.20809,Sunny
2023-01-02 14:00:00+00:00,16.786999,8.487,58.04095,Sunny
2023-01-02 15:00:00+00:00,15.787001,8.887,63.553677,Sunny
2023-01-02 16:00:00+00:00,14.887,9.187,68.70744,Sunny
2023-01-02 17:00:00+00:00,14.087001,9.237,72.594925,Sunny
2023-01-02 18:00:00+00:00,13.387,9.237,75.972565,Sunny
2023-01-02 19:00:00+00:00,12.837001,9.137,78.22158,Sunny
2023-01-02 20:00:00+00:00,12.287001,9.087001,80.821106,Sunny
2023-01-02 21:00:00+00:00,11.737,8.987,83.23884,Sunny
