Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,10.396,3.6959999,63.193645,Sunny
2023-01-01 01:00:00+00:00,9.396,3.546,66.85985,Sunny
2023-01-01 02:00:00+00:00,9.246,3.4959998,67.3003,Sunny
2023-01-01 03:00:00+00:00,10.396,3.796,63.63968,Sunny
2023-01-01 04:00:00+00:00,13.696,3.6959999,50.853592,Sunny
2023-01-01 05:00:00+00:00,17.696,3.4459999,38.682148,Sunny
2023-01-01 06:00:00+00:00,19.746,1.896,30.485214,Sunny
2023-01-01 07:00:00+00:00,21.046,0.84599996,26.094027,Sunny
2023-01-01 08:00:00+00:00,21.746,0.096,23.680359,Sunny
2023-01-01 09:00:00+00:00,22.246,-0.454,22.06982,Sunny
2023-01-01 10:00:00+00:00,22.496,-0.90400004,21.035093,Sunny
2023-01-01 11:00:00+00:00,22.446,-0.90400004,21.099102,Sunny
2023-01-01 12:00:00+00:00,21.546,4.0959997,31.881638,Sunny
2023-01-01 13:00:00+00:00,18.996,3.346,35.403793,Sunny
2023-01-01 14:00:00+00:00,17.796,2.046,34.806644,Sunny
2023-01-01 15:00:00+00:00,16.696,1.446,35.74698,Sunny
2023-01-01 16:00:00+00:00,16.096,0.896,35.69988,Sunny
2023-01-01 17:00:00+00:00,15.096,1.196,38.89065,Sunny
2023-01-01 18:00:00+00:00,14.296,1.296,41.24459,Sunny
2023-01-01 19:00:00+00:00,13.296,1.496,44.64741,Sunny
2023-01-01 20:00:00+00:00,12.796,1.196,45.147675,Sunny
2023-01-01 21:00:00+00:00,12.296,1.046,46.152344,Sunny
2023-01-01 22:00:00+00:00,11.646,0.896,47.654255,Sunny
2023-01-01 23:00:00+00:00,11.296,0.84599996,48.59483,Sunny
2023-01-02 00:00:00+00:00,10.696,1.146,51.67229,Sunny
2023-01-02 01:00:00+00:00,10.396,0.99600005,52.149933,Sunny
2023-01-02 02:00:00+00:00,10.446,0.99600005,51.97636,Sunny
2023-01-02 03:00:00+00:00,10.596,1.746,54.30281,Sunny
2023-01-02 04:00:00+00:00,13.296,1.796,45.61608,Sunny
2023-01-02 05:00:00+00:00,16.896,1.896,36.45089,Sunny
2023-01-02 06:00:00+00:00,19.746,0.696,27.970188,Sunny
2023-01-02 07:00:00+00:00,21.446,-0.204,23.59962,Sunny
2023-01-02 08:00:00+00:00,22.246,-0.804,21.513863,Sunny
2023-01-02 09:00:00+00:00,22.696,-1.254,20.255827,Sunny
2023-01-02 10:00:00+00:00,22.846,-1.504,19.707733,Sunny
2023-01-02 11:00:00+00:00,22.546,-1.754,19.704248,Sunny
2023-01-02 12:00:00+00:00,21.646,-1.454,21.279028,Sunny
2023-01-02 13:00:00+00:00,19.496,-0.204,26.616362,Sunny
2023-01-02 14:00:00+00:00,18.196,1.496,32.633907,Sunny
2023-01-02 15:00:00+00:00,16.896,2.7459998,38.72349,Sunny
2023-01-02 16:00:00+00:00,15.696,3.1959999,43.15191,Sunny
2023-01-02 17:00:00+00:00,14.546,3.7459998,48.298996,Sunny
2023-01-02 18:00:00+00:00,13.396,4.296,54.086536,Sunny
2023-01-02 19:00:00+00:00,12.546,4.396,57.57784,Sunny
