Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,11.1,11.1,100.0,Cloudy
2023-01-01 01:00:00+00:00,10.35,10.3,99.666916,Cloudy
2023-01-01 02:00:00+00:00,10.2,10.15,99.66652,Cloudy
2023-01-01 03:00:00+00:00,11.6,11.4,98.68641,Cloudy
2023-01-01 04:00:00+00:00,13.9,13.65,98.389404,Cloudy
2023-01-01 05:00:00+00:00,16.55,14.25,86.28532,Sunny
2023-01-01 06:00:00+00:00,18.95,14.25,74.18012,Sunny
2023-01-01 07:00:00+00:00,20.15,14.15,68.40701,Sunny
2023-01-01 08:00:00+00:00,20.75,14.0,65.28331,Sunny
2023-01-01 09:00:00+00:00,21.05,13.6,62.446842,Sunny
2023-01-01 10:00:00+00:00,20.8,13.2,61.78308,Sunny
2023-01-01 11:00:00+00:00,18.45,14.8,79.3028,Sunny
2023-01-01 12:00:00+00:00,15.95,13.1,83.19099,Sunny
2023-01-01 13:00:00+00:00,15.25,12.75,85.036476,Sunny
2023-01-01 14:00:00+00:00,13.9,12.25,89.78503,Sunny
2023-01-01 15:00:00+00:00,13.65,12.1,90.35899,Sunny
2023-01-01 16:00:00+00:00,13.4,11.95,90.93844,Sunny
2023-01-01 17:00:00+00:00,13.1,11.9,92.43008,Sunny
2023-01-01 18:00:00+00:00,12.6,11.65,93.94118,Sunny
2023-01-01 19:00:00+00:00,12.0,11.3,95.48266,Sunny
2023-01-01 20:00:00+00:00,11.2,10.75,97.05674,Sunny
2023-01-01 21:00:00+00:00,11.15,10.8,97.703224,Sunny
2023-01-01 22:00:00+00:00,10.55,10.3,98.34692,Sunny
2023-01-01 23:00:00+00:00,9.85,9.7,98.99974,Sunny
2023-01-02 00:00:00+00:00,10.0,10.0,100.0,Cloudy
2023-01-02 01:00:00+00:00,10.45,10.45,100.0,Cloudy
2023-01-02 02:00:00+00:00,10.35,10.25,99.3348,Cloudy
2023-01-02 03:00:00+00:00,11.4,11.2,98.68436,Cloudy
2023-01-02 04:00:00+00:00,13.2,12.9,98.059586,Cloudy
