Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,6.313,6.013,97.95197,Sunny
2023-01-01 01:00:00+00:00,6.963,6.513,96.95758,Sunny
2023-01-01 02:00:00+00:00,7.363,6.963,97.30008,Cloudy
2023-01-01 03:00:00+00:00,7.513,7.113,97.30326,Cloudy
2023-01-01 04:00:00+00:00,9.813,8.212999,89.77339,Cloudy
2023-01-01 05:00:00+00:00,12.212999,9.162999,81.632034,Cloudy
2023-01-01 06:00:00+00:00,13.962999,9.662999,75.30576,Cloudy
2023-01-01 07:00:00+00:00,14.712999,9.613,71.50045,Cloudy
2023-01-01 08:00:00+00:00,15.162999,9.313,68.07327,Cloudy
2023-01-01 09:00:00+00:00,15.763,8.712999,62.907646,Cloudy
2023-01-01 10:00:00+00:00,15.863,8.313,60.836933,Cloudy
2023-01-01 11:00:00+00:00,15.162999,11.412999,78.31002,Cloudy
2023-01-01 12:00:00+00:00,14.763,8.763,67.30593,Cloudy
2023-01-01 13:00:00+00:00,13.863,8.712999,71.09942,Cloudy
2023-01-01 14:00:00+00:00,12.712999,8.462999,75.34975,Sunny
2023-01-01 15:00:00+00:00,11.013,7.813,80.64716,Sunny
2023-01-01 16:00:00+00:00,9.563,7.213,85.27902,Sunny
2023-01-01 17:00:00+00:00,7.363,6.213,92.41075,Sunny
2023-01-01 18:00:00+00:00,6.863,6.063,94.64392,Sunny
2023-01-01 19:00:00+00:00,7.013,6.363,95.63355,Sunny
2023-01-01 20:00:00+00:00,6.563,6.213,97.61898,Sunny
2023-01-01 21:00:00+00:00,7.013,6.863,98.97703,Sunny
2023-01-01 22:00:00+00:00,5.813,5.813,100.0,Cloudy
2023-01-01 23:00:00+00:00,3.613,3.613,100.0,Cloudy
2023-01-02 00:00:00+00:00,3.963,3.713,98.25831,Cloudy
2023-01-02 01:00:00+00:00,4.813,4.813,100.0,Cloudy
2023-01-02 02:00:00+00:00,5.013,5.013,100.0,Cloudy
2023-01-02 03:00:00+00:00,5.913,5.013,93.94796,Cloudy
2023-01-02 04:00:00+00:00,5.913,4.913,93.29592,Cloudy
2023-01-02 05:00:00+00:00,7.563,6.563,93.38111,Cloudy
2023-01-02 06:00:00+00:00,9.313,8.613,95.388084,Cloudy
2023-01-02 07:00:00+00:00,11.462999,10.013,90.80616,Cloudy
2023-01-02 08:00:00+00:00,13.613,10.513,81.54151,Sunny
2023-01-02 09:00:00+00:00,14.863,10.113,73.22409,Sunny
2023-01-02 10:00:00+00:00,15.113,9.363,68.52238,Sunny
2023-01-02 11:00:00+00:00,14.412999,9.462999,72.16806,Sunny
2023-01-02 12:00:00+00:00,10.613,8.912999,89.23068,Sunny
2023-01-02 13:00:00+00:00,8.912999,7.763,92.500465,Sunny
2023-01-02 14:00:00+00:00,8.412999,7.263,92.4717,Sunny
2023-01-02 15:00:00+00:00,7.263,6.663,95.97126,Sunny
2023-01-02 16:00:00+00:00,6.713,6.413,97.958466,Sunny
2023-01-02 17:00:00+00:00,6.813,6.663,98.9754,Sunny
2023-01-02 18:00:00+00:00,6.163,6.163,100.0,Cloudy
2023-01-02 19:00:00+00:00,5.363,5.363,99.99999,Cloudy
2023-01-02 20:00:00+00:00,5.163,5.013,98.9618,Cloudy
2023-01-02 21:00:00+00:00,5.713,5.713,100.0,Cloudy
2023-01-02 22:00:00+00:00,5.363,5.363,99.99999,Cloudy
2023-01-02 23:00:00+00:00,5.663,5.663,100.0,Cloudy
2023-01-03 00:00:00+00:00,5.513,5.213,97.93889,Cloudy
2023-01-03 01:00:00+00:00,6.113,5.763,97.61047,Cloudy
2023-01-03 02:00:00+00:00,6.013,5.763,98.28663,Cloudy
2023-01-03 03:00:00+00:00,6.013,5.713,97.94708,Cloudy
2023-01-03 04:00:00+00:00,6.963,6.313,95.63185,Cloudy
2023-01-03 05:00:00+00:00,8.263,7.713,96.330284,Cloudy
2023-01-03 06:00:00+00:00,10.162999,8.513,89.49686,Cloudy
2023-01-03 07:00:00+00:00,12.712999,9.212999,79.26368,Cloudy
2023-01-03 08:00:00+00:00,14.113,9.962999,76.091324,Sunny
2023-01-03 09:00:00+00:00,15.063,10.212999,72.77232,Sunny
2023-01-03 10:00:00+00:00,15.313,9.912999,70.1907,Sunny
2023-01-03 11:00:00+00:00,14.662999,10.113,74.174095,Sunny
2023-01-03 12:00:00+00:00,10.712999,9.212999,90.44929,Sunny
