Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,15.082,11.182,77.52378,Cloudy
2023-01-01 01:00:00+00:00,15.482,11.382,76.56602,Cloudy
2023-01-01 02:00:00+00:00,16.731998,11.682,72.114265,Cloudy
2023-01-01 03:00:00+00:00,18.282,12.132,67.36335,Cloudy
2023-01-01 04:00:00+00:00,20.231998,12.832,62.46551,Cloudy
2023-01-01 05:00:00+00:00,21.782,13.532001,59.445354,Cloudy
2023-01-01 06:00:00+00:00,23.282,14.182,56.607586,Sunny
2023-01-01 07:00:00+00:00,24.581999,14.432,53.20658,Sunny
2023-01-01 08:00:00+00:00,25.382,14.282001,50.238407,Sunny
2023-01-01 09:00:00+00:00,25.731998,13.882,47.94629,Sunny
2023-01-01 10:00:00+00:00,25.581999,13.432,46.98025,Sunny
2023-01-01 11:00:00+00:00,24.331999,13.782001,51.781914,Sunny
2023-01-01 12:00:00+00:00,21.581999,13.782001,61.162525,Sunny
2023-01-01 13:00:00+00:00,20.331999,13.882,66.47692,Sunny
2023-01-01 14:00:00+00:00,19.731998,13.732,68.3234,Sunny
2023-01-01 15:00:00+00:00,18.932,13.532001,70.8829,Sunny
2023-01-01 16:00:00+00:00,17.182,13.832,80.68,Sunny
2023-01-01 17:00:00+00:00,16.782,13.882,83.01973,Sunny
2023-01-01 18:00:00+00:00,16.682,13.932,83.81987,Sunny
2023-01-01 19:00:00+00:00,16.432,13.782001,84.33736,Sunny
2023-01-01 20:00:00+00:00,16.081999,13.582,85.12534,Sunny
2023-01-01 21:00:00+00:00,15.832,13.332,85.0987,Sunny
2023-01-01 22:00:00+00:00,15.532001,12.982,84.78923,Cloudy
2023-01-01 23:00:00+00:00,15.232,12.782001,85.31335,Cloudy
2023-01-02 00:00:00+00:00,15.382,13.682,89.60449,Rainy
2023-01-02 01:00:00+00:00,15.932,13.832,87.35195,Cloudy
2023-01-02 02:00:00+00:00,16.682,13.982,84.09212,Sunny
2023-01-02 03:00:00+00:00,18.231998,14.282001,77.75002,Sunny
2023-01-02 04:00:00+00:00,20.231998,14.732,70.66927,Sunny
