Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,10.688999,6.839,77.09618,Sunny
2023-01-01 01:00:00+00:00,10.188999,7.039,80.809784,Sunny
2023-01-01 02:00:00+00:00,9.889,7.289,83.87003,Sunny
2023-01-01 03:00:00+00:00,12.438999,8.188999,75.303604,Sunny
2023-01-01 04:00:00+00:00,15.289,9.039,66.2902,Sunny
2023-01-01 05:00:00+00:00,18.039,9.339,56.802544,Sunny
2023-01-01 06:00:00+00:00,19.989,8.988999,49.12526,Sunny
2023-01-01 07:00:00+00:00,21.239,9.238999,46.255844,Sunny
2023-01-01 08:00:00+00:00,22.039,9.188999,43.899593,Sunny
2023-01-01 09:00:00+00:00,22.489,8.938999,41.999985,Sunny
2023-01-01 10:00:00+00:00,22.489,8.738999,41.43664,Sunny
2023-01-01 11:00:00+00:00,22.039,8.639,42.300205,Sunny
2023-01-01 12:00:00+00:00,19.139,11.688999,62.01185,Sunny
2023-01-01 13:00:00+00:00,17.189,9.688999,61.355103,Sunny
2023-01-01 14:00:00+00:00,16.088999,9.789,66.23825,Sunny
2023-01-01 15:00:00+00:00,17.239,9.289,59.539948,Sunny
2023-01-01 16:00:00+00:00,14.539,8.589,67.48698,Sunny
2023-01-01 17:00:00+00:00,13.688999,6.489,61.78922,Sunny
2023-01-01 18:00:00+00:00,13.089,6.089,62.505367,Sunny
2023-01-01 19:00:00+00:00,12.238999,6.389,67.46571,Sunny
2023-01-01 20:00:00+00:00,11.339,6.439,71.83915,Sunny
2023-01-01 21:00:00+00:00,10.589,6.389,75.24751,Sunny
2023-01-01 22:00:00+00:00,9.889,6.389,78.84823,Sunny
2023-01-01 23:00:00+00:00,9.389,6.439,81.81925,Sunny
2023-01-02 00:00:00+00:00,8.738999,6.489,85.77795,Sunny
2023-01-02 01:00:00+00:00,8.339,6.489,88.131836,Sunny
2023-01-02 02:00:00+00:00,8.289,6.539,88.73576,Sunny
2023-01-02 03:00:00+00:00,11.389,7.289,75.90039,Sunny
2023-01-02 04:00:00+00:00,14.488999,8.238999,66.11873,Sunny
2023-01-02 05:00:00+00:00,17.539,9.188999,58.03055,Sunny
2023-01-02 06:00:00+00:00,19.739,8.688999,48.891884,Sunny
2023-01-02 07:00:00+00:00,20.939,8.139,43.739388,Sunny
2023-01-02 08:00:00+00:00,21.789,7.939,40.959206,Sunny
2023-01-02 09:00:00+00:00,22.239,7.839,39.580463,Sunny
2023-01-02 10:00:00+00:00,22.289,7.639,38.926308,Sunny
2023-01-02 11:00:00+00:00,21.889,7.489,39.48081,Sunny
2023-01-02 12:00:00+00:00,18.689,11.738999,63.98935,Sunny
2023-01-02 13:00:00+00:00,16.689,8.839,59.80977,Sunny
2023-01-02 14:00:00+00:00,16.639,7.689,55.497734,Sunny
2023-01-02 15:00:00+00:00,15.589,7.589,58.938576,Sunny
2023-01-02 16:00:00+00:00,14.539,7.739,63.70321,Sunny
2023-01-02 17:00:00+00:00,13.289,7.789,69.32029,Sunny
2023-01-02 18:00:00+00:00,12.139,7.839,74.99735,Sunny
2023-01-02 19:00:00+00:00,11.389,7.789,78.53405,Sunny
2023-01-02 20:00:00+00:00,10.839,7.739,81.17448,Sunny
2023-01-02 21:00:00+00:00,10.639,7.539,81.1476,Sunny
2023-01-02 22:00:00+00:00,10.389,7.289,81.113945,Sunny
