Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,9.574,9.224,97.67477,Sunny
2023-01-01 01:00:00+00:00,10.424,9.874,96.39152,Sunny
2023-01-01 02:00:00+00:00,10.624,10.274,97.69379,Sunny
2023-01-01 03:00:00+00:00,12.924,11.524,91.20721,Sunny
2023-01-01 04:00:00+00:00,15.774,12.824,82.62783,Sunny
2023-01-01 05:00:00+00:00,17.924002,13.424,74.97516,Sunny
2023-01-01 06:00:00+00:00,19.324001,13.374,68.46419,Sunny
2023-01-01 07:00:00+00:00,20.224,12.924,62.87357,Sunny
2023-01-01 08:00:00+00:00,20.724,12.274,58.421055,Sunny
2023-01-01 09:00:00+00:00,20.924002,11.174,53.665657,Sunny
2023-01-01 10:00:00+00:00,20.824001,10.324,51.02895,Sunny
2023-01-01 11:00:00+00:00,19.424002,14.724,74.26084,Sunny
2023-01-01 12:00:00+00:00,16.174002,11.324,72.97232,Sunny
2023-01-01 13:00:00+00:00,14.274,11.424,82.99001,Sunny
2023-01-01 14:00:00+00:00,12.674,10.674,87.62972,Sunny
2023-01-01 15:00:00+00:00,12.274,9.974,85.8545,Sunny
2023-01-01 16:00:00+00:00,11.424,9.674,88.99672,Sunny
2023-01-01 17:00:00+00:00,10.874,9.424,90.76538,Sunny
2023-01-01 18:00:00+00:00,10.324,9.274,93.206055,Sunny
2023-01-01 19:00:00+00:00,9.774,8.824,93.80902,Sunny
2023-01-01 20:00:00+00:00,9.474,8.624,94.43151,Sunny
2023-01-01 21:00:00+00:00,8.974,8.274,95.37594,Sunny
2023-01-01 22:00:00+00:00,8.874,8.274,96.02165,Sunny
2023-01-01 23:00:00+00:00,8.674,8.224,96.99821,Sunny
2023-01-02 00:00:00+00:00,8.424,7.924,96.66312,Sunny
2023-01-02 01:00:00+00:00,8.924,8.374,96.349174,Sunny
2023-01-02 02:00:00+00:00,9.624,8.974,95.721504,Sunny
2023-01-02 03:00:00+00:00,12.024,10.274,89.04565,Sunny
2023-01-02 04:00:00+00:00,14.924,11.674,80.90663,Sunny
2023-01-02 05:00:00+00:00,17.074001,11.774,70.99734,Sunny
2023-01-02 06:00:00+00:00,18.524,10.424,59.252834,Sunny
2023-01-02 07:00:00+00:00,19.324001,10.124,55.24902,Sunny
2023-01-02 08:00:00+00:00,19.824001,9.924,52.847874,Sunny
2023-01-02 09:00:00+00:00,20.024,9.674,51.330063,Sunny
2023-01-02 10:00:00+00:00,19.874,9.224,50.266052,Sunny
2023-01-02 11:00:00+00:00,18.424002,13.874,74.81532,Sunny
2023-01-02 12:00:00+00:00,15.774,10.924,72.90056,Sunny
2023-01-02 13:00:00+00:00,13.674,10.474,81.007965,Sunny
2023-01-02 14:00:00+00:00,13.874,10.174,78.377655,Sunny
2023-01-02 15:00:00+00:00,11.874,9.724,86.681114,Sunny
2023-01-02 16:00:00+00:00,10.574,9.374,92.28418,Sunny
2023-01-02 17:00:00+00:00,10.074,9.274,94.77556,Sunny
2023-01-02 18:00:00+00:00,9.824,9.324,96.69939,Sunny
2023-01-02 19:00:00+00:00,9.224,8.924,97.99852,Sunny
2023-01-02 20:00:00+00:00,9.224,8.874,97.6684,Sunny
2023-01-02 21:00:00+00:00,8.624,8.424,98.65536,Sunny
2023-01-02 22:00:00+00:00,8.474,8.274,98.65378,Sunny
2023-01-02 23:00:00+00:00,7.924,7.774,98.984406,Sunny
2023-01-03 00:00:00+00:00,7.474,7.374,99.319496,Sunny
2023-01-03 01:00:00+00:00,7.974,7.824,98.98481,Sunny
2023-01-03 02:00:00+00:00,8.974,8.674,97.994576,Sunny
2023-01-03 03:00:00+00:00,11.474,9.874,89.899864,Sunny
2023-01-03 04:00:00+00:00,14.474,11.074,80.046326,Sunny
2023-01-03 05:00:00+00:00,16.524,11.474,72.07609,Sunny
2023-01-03 06:00:00+00:00,17.924002,11.124,64.457855,Sunny
2023-01-03 07:00:00+00:00,18.724,10.874,60.295193,Sunny
2023-01-03 08:00:00+00:00,19.274,10.274,55.979313,Sunny
2023-01-03 09:00:00+00:00,19.374,9.774,53.80225,Sunny
2023-01-03 10:00:00+00:00,19.174002,9.624,53.93108,Sunny
2023-01-03 11:00:00+00:00,17.924002,13.774,76.7014,Sunny
2023-01-03 12:00:00+00:00,16.174002,9.374,64.07034,Sunny
2023-01-03 13:00:00+00:00,15.224,9.324,67.85724,Sunny
2023-01-03 14:00:00+00:00,11.924,9.174,83.26135,Sunny
2023-01-03 15:00:00+00:00,10.574,9.024,90.13502,Sunny
2023-01-03 16:00:00+00:00,10.324,9.174,92.58077,Sunny
2023-01-03 17:00:00+00:00,10.074,9.024,93.19307,Sunny
2023-01-03 18:00:00+00:00,9.674,8.674,93.48777,Sunny
2023-01-03 19:00:00+00:00,9.524,8.524,93.48028,Sunny
2023-01-03 20:00:00+00:00,9.524,8.574,93.79712,Sunny
2023-01-03 21:00:00+00:00,8.974,8.324,95.69985,Sunny
2023-01-03 22:00:00+00:00,7.974,7.624,97.645386,Sunny
2023-01-03 23:00:00+00:00,7.274,7.074,98.640915,Sunny
2023-01-04 00:00:00+00:00,6.774,6.724,99.657326,Sunny
2023-01-04 01:00:00+00:00,7.724,7.524,98.64577,Sunny
2023-01-04 02:00:00+00:00,8.724,8.274,96.99939,Sunny
2023-01-04 03:00:00+00:00,10.774,9.174,89.84685,Sunny
2023-01-04 04:00:00+00:00,13.124,10.174,82.29867,Sunny
2023-01-04 05:00:00+00:00,15.074,10.224,72.7743,Sunny
