Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,13.412999,8.013,69.81821,Sunny
2023-01-01 01:00:00+00:00,13.113,7.863,70.474884,Sunny
2023-01-01 02:00:00+00:00,12.912999,7.913,71.64513,Sunny
2023-01-01 03:00:00+00:00,14.662999,8.863,68.20034,Sunny
2023-01-01 04:00:00+00:00,17.163,9.712999,61.555088,Sunny
2023-01-01 05:00:00+00:00,20.013,10.912999,55.7934,Sunny
2023-01-01 06:00:00+00:00,22.263,11.113,49.245888,Sunny
2023-01-01 07:00:00+00:00,23.463001,11.513,47.021683,Sunny
2023-01-01 08:00:00+00:00,24.113,11.613,45.518085,Sunny
2023-01-01 09:00:00+00:00,24.363,11.712999,45.13789,Sunny
2023-01-01 10:00:00+00:00,24.063,11.563,45.50435,Sunny
2023-01-01 11:00:00+00:00,23.363,11.813,48.25267,Sunny
2023-01-01 12:00:00+00:00,20.613,14.863,69.612144,Sunny
2023-01-01 13:00:00+00:00,18.463001,12.063,66.30164,Sunny
2023-01-01 14:00:00+00:00,17.413,11.712999,69.21259,Sunny
2023-01-01 15:00:00+00:00,16.063,11.662999,75.15656,Sunny
2023-01-01 16:00:00+00:00,15.863,11.462999,75.123116,Sunny
2023-01-01 17:00:00+00:00,15.313,11.212999,76.53906,Sunny
2023-01-01 18:00:00+00:00,15.013,11.113,77.513145,Sunny
2023-01-01 19:00:00+00:00,14.712999,10.912999,77.98328,Sunny
2023-01-01 20:00:00+00:00,14.313,10.613,78.44325,Sunny
2023-01-01 21:00:00+00:00,13.912999,10.313,78.908554,Sunny
2023-01-01 22:00:00+00:00,13.712999,9.912999,77.83093,Sunny
2023-01-01 23:00:00+00:00,13.613,9.662999,77.037025,Sunny
2023-01-02 00:00:00+00:00,12.313,9.712999,84.15069,Sunny
2023-01-02 01:00:00+00:00,11.613,9.662999,87.8269,Sunny
2023-01-02 02:00:00+00:00,11.863,9.712999,86.68003,Sunny
2023-01-02 03:00:00+00:00,14.113,10.662999,79.73024,Sunny
2023-01-02 04:00:00+00:00,17.263,11.763,70.10257,Sunny
2023-01-02 05:00:00+00:00,20.213001,12.412999,60.84498,Sunny
2023-01-02 06:00:00+00:00,22.063,11.662999,51.6971,Sunny
2023-01-02 07:00:00+00:00,23.213001,11.363,47.265423,Sunny
2023-01-02 08:00:00+00:00,23.963001,11.313,45.027683,Sunny
2023-01-02 09:00:00+00:00,24.413,11.212999,43.53916,Sunny
2023-01-02 10:00:00+00:00,24.513,11.013,42.70906,Sunny
2023-01-02 11:00:00+00:00,23.863,11.363,45.449337,Sunny
2023-01-02 12:00:00+00:00,21.413,11.513,53.261127,Sunny
2023-01-02 13:00:00+00:00,19.163,10.863,58.622772,Sunny
2023-01-02 14:00:00+00:00,17.713001,11.013,64.84051,Sunny
2023-01-02 15:00:00+00:00,16.763,10.662999,67.2717,Sunny
2023-01-02 16:00:00+00:00,16.163,9.912999,66.47621,Sunny
2023-01-02 17:00:00+00:00,15.813,9.462999,65.95743,Sunny
2023-01-02 18:00:00+00:00,15.712999,9.363,65.93596,Sunny
2023-01-02 19:00:00+00:00,15.363,9.462999,67.885864,Sunny
2023-01-02 20:00:00+00:00,14.763,9.613,71.27036,Sunny
2023-01-02 21:00:00+00:00,14.113,9.662999,74.57716,Sunny
2023-01-02 22:00:00+00:00,13.563,9.662999,77.28797,Sunny
2023-01-02 23:00:00+00:00,13.113,9.563,79.05582,Sunny
2023-01-03 00:00:00+00:00,12.813,9.263,79.01194,Sunny
2023-01-03 01:00:00+00:00,12.162999,8.912999,80.532166,Sunny
2023-01-03 02:00:00+00:00,12.063,8.813,80.51841,Sunny
2023-01-03 03:00:00+00:00,13.912999,9.813,76.31397,Sunny
2023-01-03 04:00:00+00:00,16.463001,10.912999,69.715454,Sunny
2023-01-03 05:00:00+00:00,19.413,11.813,61.46391,Sunny
2023-01-03 06:00:00+00:00,21.763,11.063,50.602257,Sunny
2023-01-03 07:00:00+00:00,23.113,9.912999,43.176865,Sunny
2023-01-03 08:00:00+00:00,23.813,9.462999,40.161423,Sunny
2023-01-03 09:00:00+00:00,23.963001,8.962999,38.4835,Sunny
2023-01-03 10:00:00+00:00,23.563,8.063,37.09105,Sunny
2023-01-03 11:00:00+00:00,22.713001,7.563,37.740364,Sunny
2023-01-03 12:00:00+00:00,19.963001,8.563,47.80862,Sunny
2023-01-03 13:00:00+00:00,17.813,8.313,53.759186,Sunny
2023-01-03 14:00:00+00:00,16.563,8.813,60.184692,Sunny
2023-01-03 15:00:00+00:00,15.763,9.313,65.50477,Sunny
2023-01-03 16:00:00+00:00,15.212999,9.462999,68.54266,Sunny
2023-01-03 17:00:00+00:00,14.712999,9.212999,69.60379,Sunny
2023-01-03 18:00:00+00:00,14.113,8.813,70.4304,Sunny
2023-01-03 19:00:00+00:00,13.513,8.462999,71.51542,Sunny
2023-01-03 20:00:00+00:00,12.863,8.162999,73.111275,Sunny
2023-01-03 21:00:00+00:00,12.263,7.863,74.509964,Sunny
2023-01-03 22:00:00+00:00,11.863,7.463,74.44053,Sunny
2023-01-03 23:00:00+00:00,11.513,7.013,73.87195,Sunny
2023-01-04 00:00:00+00:00,11.063,6.913,75.58672,Sunny
2023-01-04 01:00:00+00:00,10.662999,6.713,76.56466,Sunny
2023-01-04 02:00:00+00:00,10.462999,6.863,78.39428,Sunny
2023-01-04 03:00:00+00:00,11.912999,7.813,75.987076,Sunny
2023-01-04 04:00:00+00:00,13.962999,8.613,70.16363,Sunny
2023-01-04 05:00:00+00:00,16.413,9.212999,62.422626,Sunny
2023-01-04 06:00:00+00:00,18.413,8.863,53.733635,Sunny
2023-01-04 07:00:00+00:00,19.963001,8.113,46.372253,Sunny
2023-01-04 08:00:00+00:00,20.963001,7.263,41.14445,Sunny
2023-01-04 09:00:00+00:00,21.363,6.763,38.794884,Sunny
2023-01-04 10:00:00+00:00,21.263,6.363,37.974533,Sunny
2023-01-04 11:00:00+00:00,20.563,5.913,38.43269,Sunny
2023-01-04 12:00:00+00:00,18.013,6.363,46.464436,Sunny
2023-01-04 13:00:00+00:00,15.763,5.413,50.182735,Sunny
2023-01-04 14:00:00+00:00,14.563,5.263,53.64339,Sunny
2023-01-04 15:00:00+00:00,13.863,4.913,54.779488,Sunny
2023-01-04 16:00:00+00:00,13.513,4.313,53.739998,Sunny
2023-01-04 17:00:00+00:00,13.212999,4.213,54.41831,Sunny
2023-01-04 18:00:00+00:00,12.912999,4.613,57.06983,Sunny
2023-01-04 19:00:00+00:00,12.563,4.913,59.62766,Sunny
2023-01-04 20:00:00+00:00,12.162999,4.863,61.001747,Sunny
2023-01-04 21:00:00+00:00,11.763,4.863,62.6305,Sunny
2023-01-04 22:00:00+00:00,11.412999,5.213,65.676254,Sunny
2023-01-04 23:00:00+00:00,11.113,5.463,68.16748,Sunny
2023-01-05 00:00:00+00:00,11.013,6.163,72.02557,Sunny
2023-01-05 01:00:00+00:00,10.813,6.613,75.28558,Sunny
2023-01-05 02:00:00+00:00,10.863,7.163,77.92003,Sunny
2023-01-05 03:00:00+00:00,12.462999,8.412999,76.3358,Sunny
2023-01-05 04:00:00+00:00,14.763,9.513,70.79352,Sunny
2023-01-05 05:00:00+00:00,17.563,10.863,64.80775,Sunny
