Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,8.879001,8.329,96.3479,Sunny
2023-01-01 01:00:00+00:00,8.129001,7.679,96.98535,Sunny
2023-01-01 02:00:00+00:00,8.529,7.9789996,96.337906,Sunny
2023-01-01 03:00:00+00:00,11.329,9.429,88.096924,Sunny
2023-01-01 04:00:00+00:00,13.629001,9.729,77.2983,Sunny
2023-01-01 05:00:00+00:00,15.729,9.629001,67.05592,Sunny
2023-01-01 06:00:00+00:00,17.479,9.079,57.820644,Sunny
2023-01-01 07:00:00+00:00,18.629,8.779,52.711967,Sunny
2023-01-01 08:00:00+00:00,19.379,8.429,49.1256,Sunny
2023-01-01 09:00:00+00:00,19.729,8.029,46.782024,Sunny
2023-01-01 10:00:00+00:00,19.678999,7.9289994,46.609463,Sunny
2023-01-01 11:00:00+00:00,18.928999,8.929,52.259537,Sunny
2023-01-01 12:00:00+00:00,15.179,10.129001,71.82756,Sunny
2023-01-01 13:00:00+00:00,13.729,9.629001,76.28416,Sunny
2023-01-01 14:00:00+00:00,12.979,9.229,77.98022,Sunny
2023-01-01 15:00:00+00:00,11.929,8.979,82.147285,Sunny
2023-01-01 16:00:00+00:00,11.279,8.729,84.31631,Sunny
2023-01-01 17:00:00+00:00,10.679,8.379001,85.68877,Sunny
2023-01-01 18:00:00+00:00,10.679,8.129001,84.24789,Sunny
2023-01-01 19:00:00+00:00,12.429,8.329,76.07203,Sunny
2023-01-01 20:00:00+00:00,9.529,7.579,87.637474,Sunny
2023-01-01 21:00:00+00:00,10.929,7.9789996,82.01916,Sunny
2023-01-01 22:00:00+00:00,10.879001,7.879,81.73425,Sunny
2023-01-01 23:00:00+00:00,8.379001,6.829,89.970474,Sunny
2023-01-02 00:00:00+00:00,7.879,6.3789997,90.242645,Sunny
2023-01-02 01:00:00+00:00,8.329,6.679,89.351036,Sunny
2023-01-02 02:00:00+00:00,8.879001,6.929,87.5775,Sunny
2023-01-02 03:00:00+00:00,10.679,8.229,84.82164,Sunny
2023-01-02 04:00:00+00:00,13.379001,9.079,75.2076,Sunny
2023-01-02 05:00:00+00:00,15.529,10.379001,71.41478,Sunny
2023-01-02 06:00:00+00:00,17.129,9.979,62.796608,Sunny
2023-01-02 07:00:00+00:00,18.178999,9.329,56.2674,Sunny
2023-01-02 08:00:00+00:00,18.828999,8.979,52.764538,Sunny
2023-01-02 09:00:00+00:00,19.078999,8.479,50.221794,Sunny
2023-01-02 10:00:00+00:00,18.928999,8.079,49.337208,Sunny
2023-01-02 11:00:00+00:00,18.229,8.329,52.428623,Sunny
2023-01-02 12:00:00+00:00,13.979,9.879001,76.32464,Sunny
2023-01-02 13:00:00+00:00,12.929,9.479,79.56181,Sunny
2023-01-02 14:00:00+00:00,12.679,9.279,79.79404,Sunny
2023-01-02 15:00:00+00:00,11.279,8.879001,85.17483,Sunny
2023-01-02 16:00:00+00:00,11.729,8.829,82.39955,Sunny
2023-01-02 17:00:00+00:00,12.229,8.929,80.27005,Sunny
2023-01-02 18:00:00+00:00,12.029,8.829,80.78608,Sunny
2023-01-02 19:00:00+00:00,11.879001,8.679,80.76565,Sunny
2023-01-02 20:00:00+00:00,8.429,7.279,92.47262,Sunny
2023-01-02 21:00:00+00:00,8.029,7.1289997,94.04663,Sunny
2023-01-02 22:00:00+00:00,8.279,7.1289997,92.46395,Sunny
2023-01-02 23:00:00+00:00,6.829,6.179,95.62725,Sunny
2023-01-03 00:00:00+00:00,7.579,6.7289996,94.349266,Sunny
2023-01-03 01:00:00+00:00,7.429,6.6289997,94.66747,Sunny
2023-01-03 02:00:00+00:00,8.029,6.9789996,93.08545,Sunny
2023-01-03 03:00:00+00:00,9.729,8.079,89.46262,Sunny
2023-01-03 04:00:00+00:00,12.279,9.029,80.54812,Sunny
2023-01-03 05:00:00+00:00,14.429,9.579,72.65728,Sunny
2023-01-03 06:00:00+00:00,16.029,9.629001,65.78278,Sunny
2023-01-03 07:00:00+00:00,17.178999,9.629001,61.147335,Sunny
2023-01-03 08:00:00+00:00,17.928999,9.579,58.126526,Sunny
2023-01-03 09:00:00+00:00,18.279,9.279,55.727654,Sunny
2023-01-03 10:00:00+00:00,18.178999,8.929,54.7715,Sunny
2023-01-03 11:00:00+00:00,17.578999,8.829,56.496166,Sunny
2023-01-03 12:00:00+00:00,13.179,10.029,81.212776,Sunny
2023-01-03 13:00:00+00:00,11.279,9.379001,88.09252,Sunny
2023-01-03 14:00:00+00:00,10.629001,8.729,88.035,Sunny
2023-01-03 15:00:00+00:00,10.679,8.379001,85.68877,Sunny
2023-01-03 16:00:00+00:00,9.979,7.9289994,87.0847,Sunny
2023-01-03 17:00:00+00:00,9.029,7.579,90.63589,Sunny
2023-01-03 18:00:00+00:00,8.879001,7.6289997,91.87033,Sunny
2023-01-03 19:00:00+00:00,8.529,7.279,91.84859,Sunny
2023-01-03 20:00:00+00:00,8.479,7.3789997,92.79194,Sunny
2023-01-03 21:00:00+00:00,8.179,7.329,94.37551,Sunny
2023-01-03 22:00:00+00:00,7.579,6.8789997,95.32546,Sunny
