Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,7.011,6.511,96.62591,Cloudy
2023-01-01 01:00:00+00:00,7.211,6.711,96.63121,Cloudy
2023-01-01 02:00:00+00:00,6.811,6.361,96.953926,Sunny
2023-01-01 03:00:00+00:00,8.561001,7.361,92.164925,Sunny
2023-01-01 04:00:00+00:00,11.361,8.511001,82.632385,Sunny
2023-01-01 05:00:00+00:00,14.111,9.311001,72.84394,Sunny
2023-01-01 06:00:00+00:00,16.161001,9.511001,64.71651,Sunny
2023-01-01 07:00:00+00:00,17.511,9.211,58.219337,Cloudy
2023-01-01 08:00:00+00:00,18.061,8.711,54.37255,Cloudy
2023-01-01 09:00:00+00:00,18.311,8.261001,51.919662,Cloudy
2023-01-01 10:00:00+00:00,18.211,7.811,50.673,Cloudy
2023-01-01 11:00:00+00:00,17.411001,9.211,58.587994,Cloudy
2023-01-01 12:00:00+00:00,16.511,8.761001,60.172264,Cloudy
2023-01-01 13:00:00+00:00,15.961,8.611,61.68976,Sunny
2023-01-01 14:00:00+00:00,15.211,8.311001,63.4234,Sunny
2023-01-01 15:00:00+00:00,14.261001,8.261001,67.2007,Sunny
2023-01-01 16:00:00+00:00,11.911,8.211,78.08086,Sunny
2023-01-01 17:00:00+00:00,9.861,7.861,87.370224,Sunny
2023-01-01 18:00:00+00:00,7.961,7.111,94.366005,Sunny
2023-01-01 19:00:00+00:00,7.711,7.061,95.657326,Sunny
2023-01-01 20:00:00+00:00,7.361,6.711,95.64543,Sunny
2023-01-01 21:00:00+00:00,7.061,6.411,95.6352,Sunny
2023-01-01 22:00:00+00:00,6.461,6.061,97.28076,Sunny
2023-01-01 23:00:00+00:00,6.111,5.811,97.948685,Sunny
2023-01-02 00:00:00+00:00,6.961,6.661,97.96247,Sunny
2023-01-02 01:00:00+00:00,6.511,6.311,98.63265,Cloudy
2023-01-02 02:00:00+00:00,5.511,5.511,100.0,Cloudy
2023-01-02 03:00:00+00:00,7.161,6.961,98.6397,Cloudy
2023-01-02 04:00:00+00:00,9.811001,8.761001,93.179375,Cloudy
2023-01-02 05:00:00+00:00,12.611,10.061001,84.46669,Sunny
2023-01-02 06:00:00+00:00,14.911,10.561001,75.21311,Sunny
2023-01-02 07:00:00+00:00,16.561,9.511001,63.089382,Sunny
2023-01-02 08:00:00+00:00,17.361,8.211,54.932228,Sunny
2023-01-02 09:00:00+00:00,17.511,8.111,54.046326,Sunny
2023-01-02 10:00:00+00:00,17.211,8.511001,56.594635,Sunny
2023-01-02 11:00:00+00:00,16.211,9.161,63.009827,Sunny
2023-01-02 12:00:00+00:00,12.361,9.911,85.00605,Sunny
2023-01-02 13:00:00+00:00,10.511001,8.661,88.32266,Sunny
2023-01-02 14:00:00+00:00,11.661,8.411,80.46295,Sunny
2023-01-02 15:00:00+00:00,11.961,8.311001,78.35372,Sunny
2023-01-02 16:00:00+00:00,9.111,7.211,87.89912,Sunny
2023-01-02 17:00:00+00:00,7.561,6.561,93.381004,Sunny
2023-01-02 18:00:00+00:00,7.061,6.411,95.6352,Sunny
2023-01-02 19:00:00+00:00,8.211,7.461,95.02361,Sunny
2023-01-02 20:00:00+00:00,6.561,6.361,98.633194,Sunny
2023-01-02 21:00:00+00:00,6.011,6.011,100.0,Cloudy
2023-01-02 22:00:00+00:00,5.061,5.061,100.0,Cloudy
2023-01-02 23:00:00+00:00,5.161,5.111,99.65286,Cloudy
2023-01-03 00:00:00+00:00,4.711,4.461,98.26872,Cloudy
2023-01-03 01:00:00+00:00,5.511,5.361,98.964676,Cloudy
2023-01-03 02:00:00+00:00,5.061,4.961,99.30624,Cloudy
2023-01-03 03:00:00+00:00,5.761,5.611,98.96676,Cloudy
2023-01-03 04:00:00+00:00,7.811,7.561,98.310905,Cloudy
2023-01-03 05:00:00+00:00,9.311001,8.261001,93.15322,Cloudy
2023-01-03 06:00:00+00:00,11.361,9.711,89.59054,Cloudy
2023-01-03 07:00:00+00:00,13.411,10.061001,80.165085,Sunny
2023-01-03 08:00:00+00:00,14.961,9.411,69.419174,Sunny
2023-01-03 09:00:00+00:00,15.611,8.711,63.51393,Sunny
2023-01-03 10:00:00+00:00,15.661,8.461,62.249157,Sunny
2023-01-03 11:00:00+00:00,15.011001,8.911,66.90495,Sunny
2023-01-03 12:00:00+00:00,10.861,9.261001,89.85347,Sunny
2023-01-03 13:00:00+00:00,9.061001,7.911,92.50895,Sunny
2023-01-03 14:00:00+00:00,9.061001,8.011001,93.14008,Sunny
2023-01-03 15:00:00+00:00,8.511001,7.561,93.74856,Sunny
2023-01-03 16:00:00+00:00,7.661,6.861,94.677086,Sunny
2023-01-03 17:00:00+00:00,7.961,7.211,95.01394,Sunny
2023-01-03 18:00:00+00:00,7.861,7.261,95.990074,Sunny
2023-01-03 19:00:00+00:00,7.611,7.111,96.641785,Sunny
2023-01-03 20:00:00+00:00,7.311,6.911,97.298965,Sunny
2023-01-03 21:00:00+00:00,6.661,6.361,97.95762,Sunny
2023-01-03 22:00:00+00:00,6.411,6.161,98.29204,Sunny
2023-01-03 23:00:00+00:00,6.111,5.811,97.948685,Sunny
2023-01-04 00:00:00+00:00,4.861,4.811,99.652016,Sunny
2023-01-04 01:00:00+00:00,4.711,4.711,100.0,Sunny
2023-01-04 02:00:00+00:00,4.511,4.511,100.0,Cloudy
2023-01-04 03:00:00+00:00,6.611,6.511,99.3148,Cloudy
2023-01-04 04:00:00+00:00,9.011001,8.061001,93.7726,Cloudy
2023-01-04 05:00:00+00:00,11.361,9.211,86.6309,Sunny
2023-01-04 06:00:00+00:00,13.411,9.661,78.04601,Sunny
