Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,8.911,4.511,73.91982,Sunny
2023-01-01 01:00:00+00:00,8.511001,4.511,75.945496,Sunny
2023-01-01 02:00:00+00:00,8.261001,4.611,77.7846,Sunny
2023-01-01 03:00:00+00:00,9.761001,4.861,71.53926,Sunny
2023-01-01 04:00:00+00:00,13.011001,5.411,59.94488,Sunny
2023-01-01 05:00:00+00:00,16.461,5.661,48.829945,Sunny
2023-01-01 06:00:00+00:00,19.261,4.111,36.749214,Sunny
2023-01-01 07:00:00+00:00,20.761,2.711,30.341665,Sunny
2023-01-01 08:00:00+00:00,21.661001,1.661,26.642782,Sunny
2023-01-01 09:00:00+00:00,22.211,0.961,24.50172,Sunny
2023-01-01 10:00:00+00:00,22.261,0.56100005,23.733152,Sunny
2023-01-01 11:00:00+00:00,21.861,0.361,23.970036,Sunny
2023-01-01 12:00:00+00:00,19.161001,3.111,34.464634,Sunny
2023-01-01 13:00:00+00:00,16.761,0.861,34.134747,Sunny
2023-01-01 14:00:00+00:00,15.261001,0.311,36.1028,Sunny
2023-01-01 15:00:00+00:00,14.761001,0.161,36.880295,Sunny
2023-01-01 16:00:00+00:00,14.161,-0.039,37.786137,Sunny
2023-01-01 17:00:00+00:00,14.211,0.711,39.763306,Sunny
2023-01-01 18:00:00+00:00,12.961,1.661,46.17671,Sunny
2023-01-01 19:00:00+00:00,11.661,2.011,51.566998,Sunny
2023-01-01 20:00:00+00:00,10.861,1.661,53.03067,Sunny
2023-01-01 21:00:00+00:00,10.361,1.0109999,52.328243,Sunny
2023-01-01 22:00:00+00:00,9.911,1.2609999,54.903137,Sunny
2023-01-01 23:00:00+00:00,9.611,2.361,60.598747,Sunny
2023-01-02 00:00:00+00:00,8.761001,4.211,73.12085,Sunny
2023-01-02 01:00:00+00:00,8.461,5.161,79.7357,Sunny
2023-01-02 02:00:00+00:00,8.211,5.761,84.54507,Sunny
2023-01-02 03:00:00+00:00,9.811001,6.361,79.10856,Sunny
2023-01-02 04:00:00+00:00,13.261001,7.161,66.53303,Sunny
2023-01-02 05:00:00+00:00,16.861,7.711,54.80333,Sunny
2023-01-02 06:00:00+00:00,20.111,7.061,42.768425,Sunny
2023-01-02 07:00:00+00:00,22.061,3.211,29.028738,Sunny
2023-01-02 08:00:00+00:00,22.911001,1.361,24.166561,Sunny
2023-01-02 09:00:00+00:00,23.261,0.461,22.176212,Sunny
2023-01-02 10:00:00+00:00,23.261,0.111,21.621716,Sunny
2023-01-02 11:00:00+00:00,22.711,0.011,22.192196,Sunny
2023-01-02 12:00:00+00:00,19.561,3.3109999,34.095886,Sunny
2023-01-02 13:00:00+00:00,16.561,3.511,41.753693,Sunny
2023-01-02 14:00:00+00:00,15.961,3.961,44.775734,Sunny
2023-01-02 15:00:00+00:00,15.611,4.361,47.091167,Sunny
2023-01-02 16:00:00+00:00,14.761001,4.161,49.04222,Sunny
2023-01-02 17:00:00+00:00,14.061001,3.911,50.41953,Sunny
2023-01-02 18:00:00+00:00,13.161,3.511,51.97512,Sunny
2023-01-02 19:00:00+00:00,12.461,3.161,53.08387,Sunny
2023-01-02 20:00:00+00:00,12.111,2.961,53.55588,Sunny
2023-01-02 21:00:00+00:00,11.411,3.161,56.886387,Sunny
2023-01-02 22:00:00+00:00,10.761001,4.061,63.278187,Sunny
2023-01-02 23:00:00+00:00,10.411,5.461,71.415245,Sunny
2023-01-03 00:00:00+00:00,9.861,7.161,83.29506,Sunny
2023-01-03 01:00:00+00:00,9.561001,7.561,87.34208,Sunny
2023-01-03 02:00:00+00:00,9.361,7.711,89.43347,Sunny
2023-01-03 03:00:00+00:00,10.661,7.811,82.54481,Sunny
2023-01-03 04:00:00+00:00,13.311001,8.111,70.75326,Sunny
2023-01-03 05:00:00+00:00,16.461,8.361,58.75194,Sunny
2023-01-03 06:00:00+00:00,19.611,7.661,45.96034,Sunny
2023-01-03 07:00:00+00:00,21.311,4.611,33.530872,Sunny
2023-01-03 08:00:00+00:00,22.161001,2.261,26.97271,Sunny
2023-01-03 09:00:00+00:00,22.511,0.911,23.972347,Sunny
2023-01-03 10:00:00+00:00,22.461,0.311,23.026491,Sunny
2023-01-03 11:00:00+00:00,21.911001,-0.139,23.046785,Sunny
2023-01-03 12:00:00+00:00,19.461,0.711,28.500414,Sunny
2023-01-03 13:00:00+00:00,17.261,0.911,33.18987,Sunny
2023-01-03 14:00:00+00:00,16.411001,0.211,33.30234,Sunny
2023-01-03 15:00:00+00:00,15.611,-0.18900001,34.045177,Sunny
2023-01-03 16:00:00+00:00,14.561001,0.011,36.955246,Sunny
2023-01-03 17:00:00+00:00,13.511001,0.361,40.5732,Sunny
2023-01-03 18:00:00+00:00,12.711,0.611,43.527527,Sunny
2023-01-03 19:00:00+00:00,12.011001,0.861,46.403847,Sunny
2023-01-03 20:00:00+00:00,11.311001,0.861,48.59905,Sunny
2023-01-03 21:00:00+00:00,10.661,0.661,50.0158,Sunny
2023-01-03 22:00:00+00:00,10.011001,0.51100004,51.670315,Sunny
2023-01-03 23:00:00+00:00,9.261001,0.611,54.730553,Sunny
2023-01-04 00:00:00+00:00,7.911,0.261,58.467167,Sunny
2023-01-04 01:00:00+00:00,7.261,0.461,62.007362,Sunny
2023-01-04 02:00:00+00:00,7.011,0.81100005,64.69039,Sunny
2023-01-04 03:00:00+00:00,8.311001,1.361,61.59265,Sunny
2023-01-04 04:00:00+00:00,11.161,2.211,54.066635,Sunny
2023-01-04 05:00:00+00:00,14.111,2.711,46.175037,Sunny
2023-01-04 06:00:00+00:00,16.511,0.661,34.184887,Sunny
2023-01-04 07:00:00+00:00,18.311,-1.839,25.430086,Sunny
2023-01-04 08:00:00+00:00,19.511,-4.439,19.443249,Sunny
2023-01-04 09:00:00+00:00,20.061,-5.939,16.773766,Sunny
2023-01-04 10:00:00+00:00,20.061,-6.189,16.456928,Sunny
2023-01-04 11:00:00+00:00,19.411001,-6.189,17.134077,Sunny
2023-01-04 12:00:00+00:00,17.111,-3.639,23.998882,Sunny
2023-01-04 13:00:00+00:00,14.811001,-3.089,28.959337,Sunny
2023-01-04 14:00:00+00:00,13.811001,-2.739,31.708097,Sunny
2023-01-04 15:00:00+00:00,12.761001,-2.039,35.75909,Sunny
2023-01-04 16:00:00+00:00,12.111,-1.339,39.288857,Sunny
2023-01-04 17:00:00+00:00,11.661,-0.73899996,42.28736,Sunny
2023-01-04 18:00:00+00:00,10.711,-0.289,46.5359,Sunny
2023-01-04 19:00:00+00:00,9.661,0.061,51.201668,Sunny
2023-01-04 20:00:00+00:00,9.111,0.361,54.29677,Sunny
2023-01-04 21:00:00+00:00,8.761001,0.711,57.016907,Sunny
2023-01-04 22:00:00+00:00,8.461,1.111,59.885323,Sunny
2023-01-04 23:00:00+00:00,7.911,1.611,64.43242,Sunny
2023-01-05 00:00:00+00:00,7.011,1.861,69.75072,Sunny
2023-01-05 01:00:00+00:00,6.461,1.861,72.43509,Sunny
2023-01-05 02:00:00+00:00,6.261,1.961,73.96584,Sunny
2023-01-05 03:00:00+00:00,7.461,2.611,71.34705,Sunny
2023-01-05 04:00:00+00:00,10.011001,3.8109999,65.3663,Sunny
2023-01-05 05:00:00+00:00,12.861,4.911,58.467117,Sunny
2023-01-05 06:00:00+00:00,15.511001,3.461,44.49045,Sunny
2023-01-05 07:00:00+00:00,17.711,1.211,32.963856,Sunny
2023-01-05 08:00:00+00:00,19.311,-0.539,26.276197,Sunny
2023-01-05 09:00:00+00:00,20.261,-1.589,22.941242,Sunny
