Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,10.7699995,10.72,99.668015,Cloudy
2023-01-01 01:00:00+00:00,10.87,10.87,100.0,Cloudy
2023-01-01 02:00:00+00:00,11.87,11.67,98.68917,Cloudy
2023-01-01 03:00:00+00:00,13.57,12.42,92.760765,Cloudy
2023-01-01 04:00:00+00:00,16.27,13.12,81.61672,Sunny
2023-01-01 05:00:00+00:00,18.67,13.67,72.70234,Sunny
2023-01-01 06:00:00+00:00,20.220001,13.67,66.02315,Sunny
2023-01-01 07:00:00+00:00,21.070002,13.57,62.24859,Sunny
2023-01-01 08:00:00+00:00,21.42,13.67,61.32415,Sunny
2023-01-01 09:00:00+00:00,21.42,13.5199995,60.728775,Sunny
2023-01-01 10:00:00+00:00,21.17,13.42,61.26653,Sunny
2023-01-01 11:00:00+00:00,19.220001,14.5199995,74.22616,Sunny
2023-01-01 12:00:00+00:00,17.67,13.42,76.16396,Sunny
2023-01-01 13:00:00+00:00,18.02,13.17,73.30013,Sunny
2023-01-01 14:00:00+00:00,17.52,13.17,75.64484,Sunny
2023-01-01 15:00:00+00:00,16.42,13.0199995,80.31476,Rainy
2023-01-01 16:00:00+00:00,14.32,12.62,89.52291,Cloudy
2023-01-01 17:00:00+00:00,13.87,12.82,93.38638,Cloudy
2023-01-01 18:00:00+00:00,14.32,13.12,92.49908,Cloudy
2023-01-01 19:00:00+00:00,13.37,12.47,94.28533,Sunny
2023-01-01 20:00:00+00:00,12.22,11.67,96.44126,Sunny
2023-01-01 21:00:00+00:00,11.47,11.0199995,97.062874,Sunny
2023-01-01 22:00:00+00:00,11.5199995,10.97,96.42201,Sunny
2023-01-01 23:00:00+00:00,12.32,11.57,95.17881,Sunny
2023-01-02 00:00:00+00:00,11.82,11.37,97.07084,Sunny
2023-01-02 01:00:00+00:00,10.12,10.07,99.666306,Sunny
2023-01-02 02:00:00+00:00,11.57,11.07,96.7438,Sunny
2023-01-02 03:00:00+00:00,13.87,12.07,88.90122,Sunny
2023-01-02 04:00:00+00:00,16.42,12.92,79.791565,Sunny
2023-01-02 05:00:00+00:00,18.67,13.5199995,71.9965,Sunny
2023-01-02 06:00:00+00:00,20.27,14.07,67.550514,Sunny
2023-01-02 07:00:00+00:00,21.12,14.07,64.10541,Sunny
2023-01-02 08:00:00+00:00,21.62,13.57,60.185455,Sunny
2023-01-02 09:00:00+00:00,21.67,13.42,59.418762,Sunny
2023-01-02 10:00:00+00:00,21.12,13.87,63.27933,Sunny
2023-01-02 11:00:00+00:00,18.220001,14.97,81.34027,Sunny
2023-01-02 12:00:00+00:00,15.5199995,13.42,87.31413,Sunny
2023-01-02 13:00:00+00:00,15.0199995,12.97,87.55371,Sunny
2023-01-02 14:00:00+00:00,14.07,12.32,89.21014,Sunny
2023-01-02 15:00:00+00:00,13.67,12.17,90.6581,Sunny
2023-01-02 16:00:00+00:00,13.22,12.0199995,92.4369,Sunny
2023-01-02 17:00:00+00:00,12.57,11.62,93.9398,Sunny
2023-01-02 18:00:00+00:00,11.87,11.17,95.47814,Sunny
2023-01-02 19:00:00+00:00,11.17,10.62,96.412315,Sunny
2023-01-02 20:00:00+00:00,10.37,10.07,98.0164,Sunny
2023-01-02 21:00:00+00:00,9.87,9.62,98.33808,Sunny
2023-01-02 22:00:00+00:00,9.42,9.32,99.3299,Sunny
2023-01-02 23:00:00+00:00,9.2699995,9.17,99.32912,Sunny
2023-01-03 00:00:00+00:00,10.0199995,9.82,98.670074,Cloudy
2023-01-03 01:00:00+00:00,10.22,10.12,99.334114,Cloudy
2023-01-03 02:00:00+00:00,10.7699995,10.47,98.022606,Cloudy
2023-01-03 03:00:00+00:00,12.37,11.67,95.49545,Cloudy
2023-01-03 04:00:00+00:00,15.2699995,12.62,84.20725,Sunny
2023-01-03 05:00:00+00:00,17.92,13.12,73.52215,Sunny
2023-01-03 06:00:00+00:00,19.820002,13.0199995,64.87145,Sunny
2023-01-03 07:00:00+00:00,20.92,12.42,58.27692,Sunny
