Date,temperature_2m,dew_point_2m,relative_humidity_2m,Weather_Condition
2023-01-01 00:00:00+00:00,6.7935004,6.3935003,97.2879,Cloudy
2023-01-01 01:00:00+00:00,6.3935003,6.0435004,97.615776,Sunny
2023-01-01 02:00:00+00:00,5.4435,5.2935004,98.964134,Sunny
2023-01-01 03:00:00+00:00,7.8435,7.1435003,95.335106,Sunny
2023-01-01 04:00:00+00:00,10.4435,8.5935,88.3168,Cloudy
2023-01-01 05:00:00+00:00,12.8435,9.5935,80.625435,Cloudy
2023-01-01 06:00:00+00:00,14.7935,10.2935,74.444786,Cloudy
2023-01-01 07:00:00+00:00,16.1935,10.5435,69.20025,Cloudy
2023-01-01 08:00:00+00:00,17.1435,10.393499,64.500496,Cloudy
2023-01-01 09:00:00+00:00,17.6435,9.9435,60.644558,Cloudy
2023-01-01 10:00:00+00:00,17.5935,9.3435,58.435787,Cloudy
2023-01-01 11:00:00+00:00,16.4435,11.7435,73.74732,Cloudy
2023-01-01 12:00:00+00:00,14.0435,10.893499,81.32703,Cloudy
2023-01-01 13:00:00+00:00,11.7935,9.8435,87.84312,Cloudy
2023-01-01 14:00:00+00:00,11.643499,9.7435,88.124596,Sunny
2023-01-01 15:00:00+00:00,9.893499,8.2435,89.475624,Sunny
2023-01-01 16:00:00+00:00,9.0935,7.7935004,91.57142,Sunny
2023-01-01 17:00:00+00:00,8.393499,7.4435,93.742905,Sunny
2023-01-01 18:00:00+00:00,7.8435,7.1435003,95.335106,Sunny
2023-01-01 19:00:00+00:00,7.4435,6.9435,96.63737,Sunny
2023-01-01 20:00:00+00:00,6.9935,6.8435,98.97687,Sunny
2023-01-01 21:00:00+00:00,6.1435003,6.1435003,100.0,Sunny
2023-01-01 22:00:00+00:00,6.1935,6.1935,100.0,Cloudy
2023-01-01 23:00:00+00:00,6.8935003,6.7935004,99.31634,Cloudy
2023-01-02 00:00:00+00:00,5.8935003,5.6935,98.62591,Cloudy
2023-01-02 01:00:00+00:00,6.1935,5.9935,98.62918,Cloudy
2023-01-02 02:00:00+00:00,6.5435004,5.1935,91.08844,Cloudy
2023-01-02 03:00:00+00:00,7.4435,4.1435003,79.58787,Cloudy
2023-01-02 04:00:00+00:00,7.7435,5.7435,87.16961,Cloudy
2023-01-02 05:00:00+00:00,8.9435,7.8935003,93.133896,Cloudy
2023-01-02 06:00:00+00:00,10.8435,9.5435,91.68254,Cloudy
2023-01-02 07:00:00+00:00,12.393499,10.393499,87.60421,Cloudy
