temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
9.9805,9.2805,95.41185,0.0,0.0,0.0,0.0,Sunny
9.4305,8.8805,96.36355,0.0,0.0,0.0,0.0,Sunny
9.6305,9.1305,96.69441,0.0,0.0,0.0,0.0,Sunny
11.7805,10.1305,89.62303,0.0,0.0,0.0,0.0,Sunny
14.1305,10.7805,80.26484,0.0,0.0,0.0,0.0,Sunny
16.4805,11.2305,71.120186,0.0,0.0,0.0,0.0,Sunny
18.280499,10.9805,62.433258,0.0,0.0,0.0,0.0,Sunny
19.4305,10.8805,57.721863,0.0,0.0,0.0,0.0,Sunny
20.2305,9.6805,50.70074,0.0,0.0,0.0,0.0,Sunny
20.630499,8.7305,46.40006,0.0,0.0,0.0,0.0,Sunny
20.6805,8.1805,44.566032,0.0,0.0,0.0,0.0,Sunny
19.630499,11.6305,59.912846,0.0,0.0,0.0,0.0,Sunny
17.0805,10.1305,63.631077,0.0,0.0,0.0,0.0,Sunny
14.080501,9.9305,76.08603,0.0,0.0,0.0,0.0,Sunny
12.9305,9.330501,78.76388,0.0,0.0,0.0,0.0,Sunny
11.9805,8.9805,81.87733,0.0,0.0,0.0,0.0,Sunny
11.2305,9.0305,86.326645,0.0,0.0,0.0,0.0,Sunny
11.3805,8.9305,84.89894,0.0,0.0,0.0,0.0,Sunny
10.9805,8.8805,86.886246,0.0,0.0,0.0,0.0,Sunny
11.580501,9.1305,84.92089,0.0,0.0,0.0,0.0,Sunny
11.4805,9.2805,86.351685,0.0,0.0,0.0,0.0,Sunny
10.9805,9.1805,88.66139,0.0,0.0,0.0,0.0,Sunny
10.5305,9.080501,90.74148,0.0,0.0,0.0,0.0,Sunny
9.5305,8.580501,93.79743,0.0,0.0,0.0,0.0,Sunny
9.1305,7.9305,92.19895,0.0,0.0,0.0,27.6,Sunny
8.9305,7.8805003,93.13321,0.0,0.0,0.0,23.1,Sunny
8.7805,7.9305,94.40164,0.0,0.0,0.0,14.400001,Sunny
10.4805,8.830501,89.5218,0.0,0.0,0.0,17.400002,Sunny
13.4305,9.9805,79.6334,0.0,0.0,0.0,6.3,Sunny
15.830501,10.1805,69.128,0.0,0.0,0.0,0.0,Sunny
17.4805,9.7305,60.403244,0.0,0.0,0.0,5.1000004,Sunny
18.630499,9.4305,55.07217,0.0,0.0,0.0,24.300001,Sunny
19.3305,8.9305,50.973255,0.0,0.0,0.0,21.900002,Sunny
19.7305,8.580501,48.560055,0.0,0.0,0.0,0.0,Sunny
19.6805,8.3805,48.055737,0.0,0.0,0.0,0.0,Sunny
18.8305,9.6805,55.30846,0.0,0.0,0.0,0.90000004,Sunny
14.330501,9.2805,71.669174,0.0,0.0,0.0,0.0,Sunny
13.1805,8.9305,75.42819,0.0,0.0,0.0,0.3,Sunny
12.1805,8.830501,79.99282,0.0,0.0,0.0,0.0,Sunny
11.1305,8.830501,85.73596,0.0,0.0,0.0,0.0,Sunny
10.580501,8.6805,88.0307,0.0,0.0,0.0,0.0,Sunny
9.9305,8.4305,90.39289,0.0,0.0,0.0,0.0,Sunny
9.080501,7.8805003,92.19596,0.0,0.0,0.0,0.0,Sunny
8.6305,7.6305003,93.43537,0.0,0.0,0.0,0.0,Sunny
9.080501,7.7805004,91.57059,0.0,0.0,0.0,0.0,Sunny
9.9305,8.330501,89.7824,0.0,0.0,0.0,0.0,Sunny
7.8305,7.0805,95.00887,0.0,0.0,0.0,0.0,Sunny
7.0305004,6.6305003,97.292984,0.0,0.0,0.0,0.0,Sunny
6.3805003,6.2305,98.97186,0.0,0.0,0.0,0.0,Sunny
7.1305003,6.8305,97.965195,0.0,0.0,0.0,0.0,Sunny
8.2305,7.7305,96.65806,0.0,0.0,0.0,0.0,Sunny
9.6305,8.4805,92.54146,0.0,0.0,0.0,0.0,Sunny
12.4305,9.580501,82.76494,0.0,0.0,0.0,0.0,Sunny
15.080501,10.2305,72.77548,0.0,0.0,0.0,0.0,Sunny
16.8305,10.080501,64.43146,0.0,0.0,0.0,0.0,Sunny
17.9805,9.830501,58.923985,0.0,0.0,0.0,0.0,Sunny
18.880499,9.580501,54.767326,0.0,0.0,0.0,1.5,Sunny
19.4305,9.080501,51.172142,0.0,0.0,0.0,0.0,Sunny
19.380499,8.580501,49.62741,0.0,0.0,0.0,0.0,Sunny
18.530499,9.0305,53.94576,0.0,0.0,0.0,0.0,Sunny
13.9805,9.830501,76.06972,0.0,0.0,0.0,8.099999,Sunny
12.830501,9.7805,81.712425,0.0,0.0,0.0,7.2,Sunny
11.4805,9.4305,87.22707,0.0,0.0,0.0,2.6999998,Sunny
10.4805,8.9305,90.12808,0.0,0.0,0.0,0.0,Sunny
10.4805,8.8805,89.82449,0.0,0.0,0.0,0.0,Sunny
9.2305,8.2805,93.78311,0.0,0.0,0.0,1.8,Sunny
8.5305,7.8805003,95.68499,0.0,0.0,0.0,2.6999998,Sunny
8.2305,7.7305,96.65806,0.0,0.0,0.0,0.0,Sunny
8.2305,7.7305,96.65806,0.0,0.0,0.0,1.8,Sunny
8.1805,7.6805,96.65675,0.0,0.0,0.0,0.0,Sunny
7.8805003,7.4305,96.97946,0.0,0.0,0.0,0.0,Sunny
7.7305,7.1805,96.31495,0.0,0.0,0.0,0.9,Sunny
6.8305,6.6305003,98.63613,0.0,0.0,0.0,5.3999996,Sunny
7.0805,6.8305,98.301094,0.0,0.0,0.0,7.2,Sunny
7.1805,7.0305004,98.97839,0.0,0.0,0.0,15.299999,Sunny
8.5305,7.5805,93.74951,0.0,0.0,0.0,11.7,Sunny
10.8805,8.3805,84.556984,0.0,0.0,0.0,0.9,Sunny
13.4805,8.830501,73.47017,0.0,0.0,0.0,0.0,Sunny
15.1805,8.6305,64.93764,0.0,0.0,0.0,0.0,Sunny
16.280499,8.5305,60.117092,0.0,0.0,0.0,0.0,Sunny
17.130499,8.1805,55.623425,0.0,0.0,0.0,0.0,Sunny
17.630499,8.080501,53.529522,0.0,0.0,0.0,0.0,Sunny
17.630499,8.080501,53.529522,0.0,0.0,0.0,0.0,Sunny
16.9805,8.330501,56.728527,0.0,0.0,0.0,0.0,Sunny
13.8805,8.7805,71.34336,0.0,0.0,0.0,0.0,Sunny
11.5305,8.5305,81.81908,0.0,0.0,0.0,0.0,Sunny
9.7805,8.0305,88.86102,0.0,0.0,0.0,0.0,Sunny
8.830501,7.5805,91.867325,0.0,0.0,0.0,0.0,Sunny
8.2305,6.9305,91.51581,0.0,0.0,0.0,0.0,Sunny
7.6805,6.4805,92.1119,0.0,0.0,0.0,0.0,Sunny
7.2305,6.1805,93.04274,0.0,0.0,0.0,0.0,Sunny
6.2805004,5.6805,95.94006,0.0,0.0,0.0,0.0,Sunny
6.0305004,5.5805,96.93509,0.0,0.0,0.0,0.0,Sunny
5.7805004,5.4805,97.94328,0.0,0.0,0.0,0.0,Sunny
4.9805,4.9305,99.65236,0.0,0.0,0.0,0.0,Sunny
4.5305004,4.5305004,100.0,0.0,0.0,0.0,89.1,Cloudy
4.3305,4.3305,100.0,0.0,0.0,0.0,90.0,Cloudy
4.5805,4.4305,98.95693,0.0,0.0,0.0,90.0,Cloudy
4.5805,4.3805003,98.61138,0.0,0.0,0.0,90.0,Cloudy
5.9305,5.7305,98.626305,0.0,0.0,0.0,90.0,Cloudy
7.5805,6.7305,94.34934,0.0,0.0,0.0,90.0,Cloudy
10.580501,7.9805,83.95081,0.0,0.0,0.0,46.8,Cloudy
13.1805,8.4805,73.16854,0.0,0.0,0.0,0.0,Sunny
14.8805,8.3805,65.09178,0.0,0.0,0.0,0.0,Sunny
16.0805,8.3805,60.273052,0.0,0.0,0.0,0.0,Sunny
16.8305,7.6305003,54.609035,0.0,0.0,0.0,0.0,Sunny
16.9805,7.3805003,53.17724,0.0,0.0,0.0,0.0,Sunny
16.3305,7.9805,57.731434,0.0,0.0,0.0,0.0,Sunny
11.4305,8.4305,81.8061,0.0,0.0,0.0,0.0,Sunny
10.2305,7.9805,85.9333,0.0,0.0,0.0,0.0,Sunny
8.9305,7.2805004,89.3992,0.0,0.0,0.0,0.0,Sunny
7.7305,6.4305,91.48335,0.0,0.0,0.0,0.0,Sunny
7.5305004,6.1305003,90.84165,0.0,0.0,0.0,0.0,Sunny
9.0305,6.8805003,86.39925,0.0,0.0,0.0,0.0,Sunny
8.4305,6.7305,89.05299,0.0,0.0,0.0,0.0,Sunny
5.7305,5.2305,96.59165,0.0,0.0,0.0,0.0,Sunny
4.6805,4.5805,99.30411,0.0,0.0,0.0,13.5,Sunny
4.3805003,4.3805003,99.99999,0.0,0.0,0.0,90.0,Cloudy
3.8305,3.8305,99.99999,0.0,0.0,0.0,90.0,Cloudy
3.7805,3.7305,99.64897,0.0,0.0,0.0,90.0,Cloudy
4.3305,4.1805,98.95483,0.0,0.0,0.0,90.0,Cloudy
4.6805,4.4305,98.2683,0.0,0.0,0.0,90.0,Cloudy
4.9805,4.7805004,98.61584,0.0,0.0,0.0,90.0,Cloudy
5.9805,5.7305,98.28618,0.0,0.0,0.0,90.0,Cloudy
7.4305,6.7305,95.32005,0.0,0.0,0.0,90.0,Cloudy
8.330501,7.6805,95.67827,0.0,0.0,0.0,90.0,Cloudy
11.3805,8.1305,80.424126,0.0,0.0,0.0,71.1,Cloudy
13.4305,8.830501,73.70974,0.0,0.0,0.0,60.3,Cloudy
14.7305,8.7305,67.29915,0.0,0.0,0.0,7.2,Sunny
15.6305,8.5305,62.66497,0.0,0.0,0.0,0.0,Sunny
15.8805,8.330501,60.841106,0.0,0.0,0.0,0.9,Sunny
15.3805,8.7305,64.54413,0.0,0.0,0.0,0.0,Sunny
12.1805,8.7305,79.45429,0.0,0.0,0.0,0.0,Sunny
9.2805,7.8305,90.6537,0.0,0.0,0.0,0.0,Sunny
8.1805,7.1805,93.41256,0.0,0.0,0.0,0.0,Sunny
8.7805,7.3305,90.61825,0.0,0.0,0.0,0.0,Sunny
7.1305003,6.3305,94.65506,0.0,0.0,0.0,0.0,Sunny
6.1805,5.6805,96.603745,0.0,0.0,0.0,0.0,Sunny
5.3305,5.0305004,97.935905,0.0,0.0,0.0,0.0,Sunny
5.0805,4.8305,98.27383,0.0,0.0,0.0,0.0,Sunny
5.1305003,4.9805,98.96152,0.0,0.0,0.0,0.0,Sunny
