temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
16.9875,13.487499,79.87068,0.0,0.0,0.0,28.2,Sunny
17.0375,13.5875,80.13787,0.0,0.0,0.0,27.300001,Sunny
17.0875,13.8375,81.19289,0.0,0.0,0.0,10.8,Sunny
20.1875,14.3875,69.30538,0.0,0.0,0.0,0.0,Sunny
23.7875,14.237499,55.10629,0.0,0.0,0.0,0.0,Sunny
25.9875,13.787499,46.937195,0.0,0.0,0.0,7.8,Sunny
27.3375,13.1875,41.68965,0.0,0.0,0.0,16.5,Sunny
28.2375,12.6375,38.157757,0.0,0.0,0.0,21.6,Sunny
28.887499,12.1375,35.5577,0.0,0.0,0.0,6.6000004,Sunny
29.2375,11.037499,32.402367,0.0,0.0,0.0,13.500001,Sunny
29.137499,10.237499,30.900116,0.0,0.0,0.0,18.900002,Sunny
28.5375,9.737499,30.940836,0.0,0.0,0.0,0.0,Sunny
27.637499,11.1375,35.796856,0.0,0.0,0.0,0.0,Sunny
23.137499,12.787499,52.148666,0.0,0.0,0.0,0.0,Sunny
21.6875,12.3875,55.48007,0.0,0.0,0.0,0.0,Sunny
21.2875,12.4375,57.042263,0.0,0.0,0.0,0.0,Sunny
20.9875,13.4375,62.027637,0.0,0.0,0.0,0.0,Sunny
21.0875,13.487499,61.848812,0.0,0.0,0.0,0.0,Sunny
20.5875,13.537499,63.98867,0.0,0.0,0.0,0.0,Sunny
20.137499,13.3375,64.94009,0.0,0.0,0.0,0.0,Sunny
19.5875,13.1875,66.53782,0.0,0.0,0.0,0.0,Sunny
19.0375,13.0875,68.40681,0.0,0.0,0.0,0.0,Sunny
18.637499,13.0875,70.13747,0.0,0.0,0.0,0.0,Sunny
18.2375,13.1875,72.38835,0.0,0.0,0.0,0.0,Sunny
17.637499,13.487499,76.65631,0.0,0.0,0.0,0.0,Sunny
17.3375,13.6375,78.88754,0.0,0.0,0.0,0.0,Sunny
17.5375,13.8875,79.17297,0.0,0.0,0.0,0.0,Sunny
19.9375,14.5875,71.30102,0.0,0.0,0.0,0.0,Sunny
23.137499,14.987499,60.15122,0.0,0.0,0.0,0.0,Sunny
25.4375,15.1375,52.912605,0.0,0.0,0.0,0.0,Sunny
26.9375,14.5875,46.738766,0.0,0.0,0.0,0.0,Sunny
27.887499,14.1375,42.94179,0.0,0.0,0.0,0.0,Sunny
28.5375,13.8875,40.682438,0.0,0.0,0.0,0.0,Sunny
28.887499,13.487499,38.841846,0.0,0.0,0.0,0.0,Sunny
28.9375,13.1875,37.97968,0.0,0.0,0.0,0.0,Sunny
28.5875,13.1375,38.632057,0.0,0.0,0.0,1.8,Sunny
26.4375,16.137499,53.16768,0.0,0.0,0.0,11.7,Sunny
24.387499,14.6875,54.72479,0.0,0.0,0.0,12.9,Sunny
23.0875,14.4375,58.23133,0.0,0.0,0.0,0.6,Sunny
21.9375,14.8375,64.07697,0.0,0.0,0.0,0.0,Sunny
21.5375,14.787499,65.45116,0.0,0.0,0.0,0.0,Sunny
21.137499,14.5875,66.215904,0.0,0.0,0.0,1.8,Sunny
20.9375,14.8875,68.34338,0.0,0.0,0.0,8.4,Sunny
20.5375,14.8875,70.047295,0.0,0.0,0.0,10.8,Sunny
20.0875,14.8875,72.021484,0.0,0.0,0.0,34.800003,Cloudy
19.7375,14.787499,73.12761,0.0,0.0,0.0,33.6,Cloudy
19.1875,14.8375,75.91524,0.0,0.0,0.0,10.5,Sunny
18.887499,14.9375,77.84864,0.0,0.0,0.0,17.7,Sunny
18.4375,15.4375,82.684425,0.0,0.0,0.0,33.0,Cloudy
18.3375,15.537499,83.73926,0.0,0.0,0.0,35.4,Cloudy
19.0875,15.537499,79.903305,0.0,0.0,0.0,66.6,Cloudy
21.387499,15.787499,70.434166,0.0,0.0,0.0,22.5,Sunny
23.637499,15.787499,61.43631,0.0,0.0,0.0,0.0,Sunny
25.5875,15.287499,52.950985,0.0,0.0,0.0,0.0,Sunny
27.0875,14.5875,46.328796,0.0,0.0,0.0,19.8,Sunny
27.887499,13.9375,42.38873,0.0,0.0,0.0,35.1,Cloudy
28.4375,13.4375,39.73984,0.0,0.0,0.0,7.2000003,Sunny
28.6875,12.9375,37.909966,0.0,0.0,0.0,15.900001,Sunny
28.5375,12.287499,36.646572,0.0,0.0,0.0,18.6,Sunny
28.0375,11.5875,36.027824,0.0,0.0,0.0,14.400001,Sunny
25.5875,16.7875,58.27048,0.0,0.0,0.0,18.0,Sunny
25.6875,11.737499,41.778576,0.0,0.0,0.0,6.0,Sunny
22.7375,12.6375,52.90489,0.0,0.0,0.0,25.800001,Sunny
21.887499,12.8875,56.631886,0.0,0.0,0.0,27.900002,Sunny
21.4875,12.737499,57.466717,0.0,0.0,0.0,34.2,Cloudy
