temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
17.0125,10.762501,66.65568,0.0,0.0,0.0,26.7,Sunny
16.5125,10.8125,69.03378,0.0,0.0,0.0,29.1,Sunny
16.1125,10.8625,71.05062,0.0,0.0,0.0,29.1,Sunny
18.5125,11.262501,62.693493,0.0,0.0,0.0,29.1,Sunny
21.6625,11.6625,52.974792,0.0,0.0,0.0,27.900002,Sunny
24.5125,12.1125,45.929058,0.0,0.0,0.0,26.400002,Sunny
26.612501,12.1125,40.545044,0.0,0.0,0.0,27.300001,Sunny
28.0625,11.6625,36.15402,0.0,0.0,0.0,27.000002,Sunny
28.612501,12.6625,37.396214,0.0,0.0,0.0,13.8,Sunny
28.3125,14.762501,43.617664,0.0,0.0,0.0,14.700001,Sunny
27.2125,15.962501,50.234356,0.0,0.0,0.0,7.8,Sunny
25.8125,14.8625,50.840614,0.0,0.0,0.0,17.1,Sunny
24.5125,16.1125,59.51476,0.0,0.0,0.0,0.0,Sunny
22.8125,17.112501,70.25552,0.0,0.0,0.0,0.0,Sunny
22.1625,17.362501,74.25004,0.0,0.0,0.0,0.0,Sunny
21.8125,17.2125,75.13615,0.0,0.0,0.0,0.0,Sunny
21.5125,16.5625,73.43725,0.0,0.0,0.0,0.0,Sunny
21.0125,15.712501,71.72844,0.0,0.0,0.0,0.0,Sunny
20.5625,14.462501,68.04838,0.0,0.0,0.0,0.0,Sunny
19.9625,13.4125,65.96879,0.0,0.0,0.0,0.0,Sunny
19.4625,12.962501,66.07854,0.0,0.0,0.0,0.0,Sunny
18.9125,13.0625,68.82997,0.0,0.0,0.0,0.0,Sunny
18.2625,13.262501,72.62931,0.0,0.0,0.0,0.0,Sunny
17.6625,13.462501,76.41113,0.0,0.0,0.0,0.0,Sunny
16.7125,13.762501,82.74231,0.0,0.0,0.0,0.0,Sunny
16.3125,13.9125,85.70426,0.0,0.0,0.0,0.0,Sunny
16.0625,13.962501,87.36388,0.0,0.0,0.0,0.0,Sunny
18.4125,14.212501,76.52997,0.0,0.0,0.0,0.0,Sunny
22.5625,14.6625,60.993347,0.0,0.0,0.0,0.0,Sunny
26.112501,14.5625,48.988914,0.0,0.0,0.0,0.0,Sunny
28.4625,14.3625,42.13675,0.0,0.0,0.0,0.0,Sunny
29.9625,14.212501,38.264748,0.0,0.0,0.0,0.0,Sunny
30.5625,14.712501,38.18416,0.0,0.0,0.0,0.0,Sunny
30.1625,16.5125,43.842167,0.0,0.0,0.0,0.0,Sunny
29.2125,16.612501,46.602924,0.0,0.0,0.0,0.0,Sunny
27.7125,16.0125,48.94125,0.0,0.0,0.0,0.0,Sunny
26.0125,17.0625,57.82012,0.0,0.0,0.0,0.0,Sunny
24.1625,16.612501,62.741634,0.0,0.0,0.0,0.0,Sunny
23.2625,16.4125,65.397736,0.0,0.0,0.0,0.0,Sunny
22.7625,16.3125,66.97905,0.0,0.0,0.0,0.0,Sunny
22.362501,15.5625,65.41605,0.0,0.0,0.0,0.0,Sunny
21.9625,14.3125,61.847656,0.0,0.0,0.0,0.0,Sunny
21.4625,13.3125,59.757862,0.0,0.0,0.0,0.0,Sunny
20.7125,13.0625,61.561733,0.0,0.0,0.0,0.0,Sunny
19.9625,13.1125,64.69082,0.0,0.0,0.0,0.0,Sunny
19.2625,13.262501,68.22912,0.0,0.0,0.0,0.0,Sunny
18.2125,13.3625,73.33401,0.0,0.0,0.0,0.0,Sunny
17.3125,13.462501,78.11774,0.0,0.0,0.0,0.0,Sunny
16.862501,13.4125,80.113815,0.0,0.0,0.0,0.0,Sunny
16.3125,13.462501,83.23399,0.0,0.0,0.0,0.0,Sunny
16.0125,13.512501,85.11793,0.0,0.0,0.0,0.0,Sunny
18.7125,13.6625,72.47405,0.0,0.0,0.0,0.0,Sunny
22.7625,13.8625,57.217945,0.0,0.0,0.0,0.0,Sunny
26.3125,13.9125,46.41914,0.0,0.0,0.0,0.0,Sunny
28.7625,13.8625,40.089603,0.0,0.0,0.0,0.0,Sunny
30.112501,14.212501,37.93645,0.0,0.0,0.0,0.0,Sunny
29.9125,15.762501,42.399208,0.0,0.0,0.0,2.7,Sunny
29.0125,16.9625,48.203777,0.0,0.0,0.0,18.6,Sunny
28.2625,15.8625,46.944534,0.0,0.0,0.0,19.2,Sunny
27.2625,16.2125,50.892494,0.0,0.0,0.0,6.9,Sunny
25.7625,17.112501,58.868687,0.0,0.0,0.0,19.5,Sunny
23.7625,17.1625,66.54851,0.0,0.0,0.0,27.000002,Sunny
22.862501,17.2125,70.48753,0.0,0.0,0.0,25.2,Sunny
22.612501,16.7625,69.5529,0.0,0.0,0.0,26.1,Sunny
22.362501,15.462501,64.998215,0.0,0.0,0.0,27.6,Sunny
22.112501,13.212501,57.05864,0.0,0.0,0.0,22.800001,Sunny
21.4125,12.1625,55.59341,0.0,0.0,0.0,4.2000003,Sunny
20.5125,11.8625,57.605843,0.0,0.0,0.0,5.4,Sunny
19.8125,12.0625,60.951763,0.0,0.0,0.0,7.8,Sunny
19.2125,12.4125,64.739655,0.0,0.0,0.0,11.400001,Sunny
18.4625,12.8125,69.64673,0.0,0.0,0.0,1.2,Sunny
17.9625,13.1625,73.5296,0.0,0.0,0.0,1.8000001,Sunny
17.5625,13.712501,78.15502,0.0,0.0,0.0,0.0,Sunny
17.3125,13.8625,80.17559,0.0,0.0,0.0,0.0,Sunny
17.2625,13.962501,80.95289,0.0,0.0,0.0,0.0,Sunny
19.6625,14.3125,71.25,0.0,0.0,0.0,0.0,Sunny
23.1625,14.712501,59.005955,0.0,0.0,0.0,0.0,Sunny
26.112501,15.012501,50.430275,0.0,0.0,0.0,0.0,Sunny
28.5125,15.262501,44.522694,0.0,0.0,0.0,0.0,Sunny
30.0125,15.1125,40.435463,0.0,0.0,0.0,1.2,Sunny
30.4125,15.3125,40.029026,0.0,0.0,0.0,0.3,Sunny
29.112501,17.1625,48.536472,0.0,0.0,0.0,0.0,Sunny
28.0125,16.5625,49.80634,0.0,0.0,0.0,0.0,Sunny
27.2625,16.0125,50.247425,0.0,0.0,0.0,0.0,Sunny
26.2625,16.7625,55.898647,0.0,0.0,0.0,0.0,Sunny
24.7125,17.4625,64.0667,0.0,0.0,0.0,0.0,Sunny
24.1625,15.762501,59.432556,0.0,0.0,0.0,0.0,Sunny
23.5125,14.262501,56.117302,0.0,0.0,0.0,0.0,Sunny
22.6625,14.3125,59.269142,0.0,0.0,0.0,0.0,Sunny
21.7625,14.3625,62.810093,0.0,0.0,0.0,0.0,Sunny
20.862501,14.4125,66.5874,0.0,0.0,0.0,0.0,Sunny
20.7625,14.6625,68.08856,0.0,0.0,0.0,0.0,Sunny
21.4625,15.262501,67.79221,0.0,0.0,0.0,0.0,Sunny
21.5625,15.712501,69.3501,0.0,0.0,0.0,0.0,Sunny
21.4125,15.762501,70.21403,0.0,0.0,0.0,0.0,Sunny
21.1625,15.762501,71.29851,0.0,0.0,0.0,0.0,Sunny
20.2625,15.712501,75.12068,0.0,0.0,0.0,1.2,Sunny
19.612501,15.5625,77.45945,0.0,0.0,0.0,2.4,Sunny
18.9625,15.462501,80.14259,0.0,0.0,0.0,0.0,Sunny
21.2125,15.762501,71.08013,0.0,0.0,0.0,0.0,Sunny
24.5125,16.4625,60.856453,0.0,0.0,0.0,0.0,Sunny
27.3125,17.0625,53.55881,0.0,0.0,0.0,0.0,Sunny
29.612501,17.2625,47.454716,0.0,0.0,0.0,0.0,Sunny
30.8125,17.1625,44.018425,0.0,0.0,0.0,0.0,Sunny
30.612501,18.0625,47.124126,0.0,0.0,0.0,0.6,Sunny
28.612501,19.0125,56.120724,0.0,0.0,0.0,0.9,Sunny
27.8125,18.3125,56.277706,0.0,0.0,0.0,0.0,Sunny
27.612501,18.1625,56.405853,0.0,0.0,0.0,0.0,Sunny
26.7125,18.1625,59.46439,0.0,0.0,0.0,0.0,Sunny
24.6625,18.362501,68.001335,0.0,0.0,0.0,0.0,Sunny
23.6625,17.612501,68.88045,0.0,0.0,0.0,0.0,Sunny
23.3125,17.4625,69.687065,0.0,0.0,0.0,0.0,Sunny
23.0625,17.5625,71.19579,0.0,0.0,0.0,0.0,Sunny
22.6625,17.9625,74.80303,0.0,0.0,0.0,0.0,Sunny
22.1625,17.9625,77.11159,0.0,0.0,0.0,0.0,Sunny
21.9625,17.862501,77.56788,0.0,0.0,0.0,0.0,Sunny
21.5125,17.7125,78.98071,0.0,0.0,0.0,0.0,Sunny
21.7125,17.1625,75.35787,0.0,0.0,0.0,2.1,Sunny
22.2625,16.5625,70.15153,0.0,0.0,0.0,18.3,Sunny
22.2625,16.6625,70.59867,0.0,0.0,0.0,16.5,Sunny
