temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
9.2,4.1,70.43744,0.0,0.0,0.0,0.0,Sunny
8.6,3.85,72.072,0.0,0.0,0.0,0.0,Sunny
8.45,3.75,72.29741,0.0,0.0,0.0,0.0,Sunny
10.85,3.95,62.416756,0.0,0.0,0.0,0.0,Sunny
14.15,4.45,52.059647,0.0,0.0,0.0,0.0,Sunny
17.55,5.05,43.68227,0.0,0.0,0.0,0.0,Sunny
20.35,5.3,37.321796,0.0,0.0,0.0,0.0,Sunny
21.85,4.75,32.75964,0.0,0.0,0.0,0.0,Sunny
22.75,4.15,29.739576,0.0,0.0,0.0,0.0,Sunny
23.3,3.6,27.675695,0.0,0.0,0.0,0.0,Sunny
23.4,3.1,26.555532,0.0,0.0,0.0,0.0,Sunny
22.95,2.65,26.431646,0.0,0.0,0.0,0.0,Sunny
19.6,5.25,38.960396,0.0,0.0,0.0,0.0,Sunny
16.7,3.6,41.646904,0.0,0.0,0.0,0.0,Sunny
15.25,3.5,45.366093,0.0,0.0,0.0,0.0,Sunny
14.3,3.05,46.72207,0.0,0.0,0.0,0.0,Sunny
13.4,2.55,47.808224,0.0,0.0,0.0,0.0,Sunny
12.5,2.4,50.167572,0.0,0.0,0.0,0.0,Sunny
11.25,2.35,54.283096,0.0,0.0,0.0,0.0,Sunny
10.2,2.55,59.04345,0.0,0.0,0.0,0.0,Sunny
9.45,2.95,63.871975,0.0,0.0,0.0,0.0,Sunny
9.25,3.65,68.01594,0.0,0.0,0.0,0.0,Sunny
9.35,4.6,72.21355,0.0,0.0,0.0,0.0,Sunny
9.15,5.5,77.92328,0.0,0.0,0.0,0.0,Sunny
8.0,5.15,82.20611,0.0,0.0,0.0,0.6,Sunny
7.7,5.35,85.075745,0.0,0.0,0.0,9.3,Sunny
7.4,5.45,87.439445,0.0,0.0,0.0,8.700001,Sunny
10.5,6.5,76.275406,0.0,0.0,0.0,3.6000001,Sunny
14.25,6.9,61.287556,0.0,0.0,0.0,1.2,Sunny
17.75,6.85,48.84771,0.0,0.0,0.0,0.0,Sunny
20.6,6.25,39.247505,0.0,0.0,0.0,0.0,Sunny
22.4,4.8,31.790823,0.0,0.0,0.0,0.0,Sunny
23.4,3.0,26.368362,0.0,0.0,0.0,0.0,Sunny
23.95,1.7,23.256102,0.0,0.0,0.0,0.0,Sunny
24.05,0.75,21.592733,0.0,0.0,0.0,0.0,Sunny
23.55,0.8,22.332422,0.0,0.0,0.0,0.0,Sunny
19.6,6.25,41.75217,0.0,0.0,0.0,0.0,Sunny
17.05,3.4,40.162735,0.0,0.0,0.0,0.0,Sunny
16.4,3.55,42.299522,0.0,0.0,0.0,0.0,Sunny
15.4,3.75,45.729343,0.0,0.0,0.0,0.0,Sunny
14.6,3.9,48.654774,0.0,0.0,0.0,0.0,Sunny
13.75,4.45,53.42794,0.0,0.0,0.0,0.0,Sunny
12.95,5.35,59.930042,0.0,0.0,0.0,0.0,Sunny
12.4,6.15,65.66539,0.0,0.0,0.0,0.0,Sunny
11.9,6.9,71.45325,0.0,0.0,0.0,0.0,Sunny
11.6,7.3,74.905174,0.0,0.0,0.0,0.0,Sunny
11.25,7.65,78.513145,0.0,0.0,0.0,0.0,Sunny
10.8,7.9,82.281975,0.0,0.0,0.0,0.0,Sunny
10.65,8.15,84.53107,0.0,0.0,0.0,0.0,Sunny
10.1,8.2,87.9879,0.0,0.0,0.0,0.0,Sunny
10.0,8.25,88.87929,0.0,0.0,0.0,0.0,Sunny
12.1,8.45,78.374695,0.0,0.0,0.0,0.0,Sunny
15.15,8.5,64.493004,0.0,0.0,0.0,22.2,Sunny
18.2,8.3,52.42096,0.0,0.0,0.0,29.7,Sunny
20.9,7.4,41.692616,0.0,0.0,0.0,0.0,Sunny
22.4,5.2,32.688637,0.0,0.0,0.0,9.900001,Sunny
23.3,3.15,26.810911,0.0,0.0,0.0,8.700001,Sunny
23.6,1.55,23.497492,0.0,0.0,0.0,0.0,Sunny
23.4,0.45,21.97343,0.0,0.0,0.0,0.0,Sunny
22.75,0.05,22.202457,0.0,0.0,0.0,0.0,Sunny
19.85,0.55,27.499199,0.0,0.0,0.0,0.0,Sunny
17.6,0.65,31.881767,0.0,0.0,0.0,0.0,Sunny
16.4,1.0,35.278072,0.0,0.0,0.0,0.0,Sunny
15.5,0.9,37.097206,0.0,0.0,0.0,9.6,Sunny
14.55,0.9,39.434708,0.0,0.0,0.0,6.9,Sunny
13.55,1.15,42.83834,0.0,0.0,0.0,0.90000004,Sunny
12.6,1.25,45.908623,0.0,0.0,0.0,0.0,Sunny
11.9,1.35,48.416294,0.0,0.0,0.0,0.0,Sunny
11.05,1.75,52.703705,0.0,0.0,0.0,0.0,Sunny
10.35,2.2,57.018036,0.0,0.0,0.0,0.0,Sunny
9.8,2.1,58.73382,0.0,0.0,0.0,0.0,Sunny
9.35,1.95,59.890835,0.0,0.0,0.0,0.0,Sunny
8.7,2.65,65.769875,0.0,0.0,0.0,0.0,Sunny
8.0,2.35,67.51124,0.0,0.0,0.0,0.0,Sunny
7.55,1.7,66.45827,0.0,0.0,0.0,0.0,Sunny
