temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
6.9045,6.3545003,96.291,0.0,0.0,0.0,17.400002,Sunny
6.9045,6.3545003,96.291,0.0,0.0,0.0,30.000002,Cloudy
7.7045,7.1045003,95.98516,0.0,0.0,0.0,30.000002,Cloudy
9.554501,8.054501,90.36561,0.0,0.0,0.0,4.5,Sunny
11.8545,9.2545,84.098145,0.0,0.0,0.0,0.0,Sunny
14.304501,10.304501,76.88886,0.0,0.0,0.0,0.0,Sunny
16.2545,10.6045,69.21237,0.0,0.0,0.0,0.0,Sunny
17.404501,10.6045,64.34341,0.0,0.0,0.0,0.0,Sunny
18.154501,10.3545,60.361153,0.0,0.0,0.0,0.0,Sunny
18.5045,10.0045,57.686172,0.0,0.0,0.0,0.0,Sunny
18.5045,9.4045,55.411285,0.0,0.0,0.0,12.900001,Sunny
17.6045,12.4545,71.80103,0.0,0.0,0.0,7.8,Sunny
17.3045,9.1545,58.759525,0.0,0.0,0.0,4.5,Sunny
15.1045,9.2545,68.061264,0.0,0.0,0.0,4.2000003,Sunny
12.9045,9.1545,77.96884,0.0,0.0,0.0,2.4,Sunny
12.8545,9.1045,77.961205,0.0,0.0,0.0,0.6,Sunny
10.304501,8.4545,88.30472,0.0,0.0,0.0,0.0,Sunny
10.4545,8.4045,87.130035,0.0,0.0,0.0,0.0,Sunny
12.0045,8.9045,81.32995,0.0,0.0,0.0,0.0,Sunny
11.3545,8.804501,84.32489,0.0,0.0,0.0,0.0,Sunny
10.4045,8.6045,88.61267,0.0,0.0,0.0,0.0,Sunny
9.554501,8.2545,91.60091,0.0,0.0,0.0,0.0,Sunny
6.9545,6.5545,97.29136,0.0,0.0,0.0,0.0,Sunny
7.5545,6.9545,95.980446,0.0,0.0,0.0,0.0,Sunny
7.0545,6.2045,94.32621,0.0,0.0,0.0,0.0,Sunny
6.5045004,5.8045,95.28603,0.0,0.0,0.0,0.0,Sunny
6.2545004,5.5545,95.27679,0.0,0.0,0.0,0.0,Sunny
9.1545,7.2545004,87.903046,0.0,0.0,0.0,0.0,Sunny
12.4545,9.3545,81.389496,0.0,0.0,0.0,0.0,Sunny
14.9545,10.1545,72.9962,0.0,0.0,0.0,0.0,Sunny
16.5045,10.2545,66.548515,0.0,0.0,0.0,0.0,Sunny
17.5045,9.4045,59.006287,0.0,0.0,0.0,0.0,Sunny
18.0545,8.7545,54.554893,0.0,0.0,0.0,0.0,Sunny
18.3045,8.6045,53.163532,0.0,0.0,0.0,0.0,Sunny
18.2045,8.4545,52.957737,0.0,0.0,0.0,0.0,Sunny
17.3045,11.804501,70.1106,0.0,0.0,0.0,0.0,Sunny
15.8545,9.1045,64.215004,0.0,0.0,0.0,4.5,Sunny
12.9045,9.1545,77.96884,0.0,0.0,0.0,0.0,Sunny
13.1545,9.0045,75.93435,0.0,0.0,0.0,0.0,Sunny
12.4045,8.7545,78.42054,0.0,0.0,0.0,0.0,Sunny
10.5045,8.2545,85.96158,0.0,0.0,0.0,0.0,Sunny
9.9545,8.2045,88.87551,0.0,0.0,0.0,0.0,Sunny
10.0045,8.4045,89.78808,0.0,0.0,0.0,4.8,Sunny
8.304501,7.5545,95.02723,0.0,0.0,0.0,22.800001,Sunny
6.9545,6.7545004,98.63747,0.0,0.0,0.0,4.5,Sunny
8.054501,7.8045,98.31415,0.0,0.0,0.0,7.2,Sunny
7.1545,7.1545,100.0,0.0,0.0,0.0,90.0,Cloudy
5.7545004,5.7545004,100.0,0.0,0.0,0.0,90.0,Cloudy
5.3045,5.0045004,97.93548,0.0,0.0,0.0,90.0,Cloudy
6.3045,6.1045003,98.630394,0.0,0.0,0.0,90.0,Cloudy
5.9045,5.8045,99.31091,0.0,0.0,0.0,90.0,Cloudy
7.1545,6.9045,98.30209,0.0,0.0,0.0,90.0,Cloudy
9.554501,9.2545,98.0037,0.0,0.0,0.0,90.0,Cloudy
11.6045,10.2545,91.424545,0.0,0.0,0.0,22.5,Sunny
14.304501,10.7545,79.22886,0.0,0.0,0.0,0.0,Sunny
15.9545,9.9545,67.55392,0.0,0.0,0.0,0.0,Sunny
16.904501,9.304501,60.877773,0.0,0.0,0.0,0.0,Sunny
17.3545,8.6045,56.439583,0.0,0.0,0.0,0.0,Sunny
17.2545,8.0045,54.533043,0.0,0.0,0.0,0.0,Sunny
16.3045,8.7045,60.73586,0.0,0.0,0.0,0.0,Sunny
12.5045,8.9545,78.96666,0.0,0.0,0.0,1.8,Sunny
11.054501,8.2545,82.87479,0.0,0.0,0.0,0.0,Sunny
10.1545,7.9045,85.925446,0.0,0.0,0.0,0.0,Sunny
9.054501,7.4545,89.71484,0.0,0.0,0.0,0.0,Sunny
7.9545,6.8045,92.445175,0.0,0.0,0.0,0.0,Sunny
7.2045,6.3045,94.00848,0.0,0.0,0.0,0.0,Sunny
