temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
7.411,5.811,89.58632,0.0,0.0,0.0,26.400002,Sunny
6.961,4.761,85.888565,0.0,0.0,0.0,32.100002,Cloudy
7.261,3.711,78.17544,0.0,0.0,0.0,47.4,Cloudy
9.761001,3.661,65.772125,0.0,0.0,0.0,52.200005,Cloudy
11.361,5.011,64.983086,0.0,0.0,0.0,69.3,Cloudy
12.261001,6.461,67.70292,0.0,0.0,0.0,85.8,Cloudy
13.961,7.111,63.355053,0.0,0.0,0.0,90.00001,Cloudy
15.161,7.411,59.84771,0.0,0.0,0.0,90.00001,Cloudy
15.911,7.561,57.626972,0.0,0.0,0.0,85.8,Cloudy
16.561,7.661,55.667145,0.0,0.0,0.0,89.700005,Cloudy
16.361,8.061001,57.93553,0.0,0.0,0.0,90.00001,Cloudy
15.411,8.861,64.98829,0.0,0.0,0.0,90.00001,Cloudy
13.061001,10.161,82.56615,0.0,0.0,0.0,88.200005,Cloudy
12.311001,10.161,86.723656,0.0,0.0,0.0,57.9,Cloudy
10.311001,9.061001,91.958405,0.0,0.0,0.0,0.0,Sunny
10.961,8.211,83.14493,0.0,0.0,0.0,12.900001,Sunny
10.011001,7.261,83.028915,0.0,0.0,0.0,1.2,Sunny
9.211,6.511,83.216095,0.0,0.0,0.0,0.0,Sunny
9.061001,6.161,82.05884,0.0,0.0,0.0,0.0,Sunny
8.411,5.861,83.98526,0.0,0.0,0.0,0.0,Sunny
7.211,5.311,87.725815,0.0,0.0,0.0,0.0,Sunny
6.711,5.161,89.842735,0.0,0.0,0.0,0.0,Sunny
7.661,5.361,85.36732,0.0,0.0,0.0,0.0,Sunny
9.011001,5.811,80.3692,0.0,0.0,0.0,0.0,Sunny
7.811,5.361,84.49956,0.0,0.0,0.0,1.8,Sunny
6.461,4.711,88.579384,0.0,0.0,0.0,0.0,Sunny
5.411,4.211,91.97277,0.0,0.0,0.0,2.6999998,Sunny
8.161,5.211,81.65755,0.0,0.0,0.0,2.6999998,Sunny
10.511001,6.211,74.717476,0.0,0.0,0.0,9.0,Sunny
12.161,7.661,73.98651,0.0,0.0,0.0,14.4,Sunny
13.861,8.311001,69.19967,0.0,0.0,0.0,0.0,Sunny
15.111,8.261001,63.61615,0.0,0.0,0.0,0.0,Sunny
15.861,8.311001,60.83648,0.0,0.0,0.0,0.0,Sunny
16.261,8.111,58.50401,0.0,0.0,0.0,0.0,Sunny
16.061,8.361,60.26838,0.0,0.0,0.0,0.0,Sunny
15.261001,8.561001,64.29976,0.0,0.0,0.0,0.0,Sunny
11.961,9.561001,85.24821,0.0,0.0,0.0,0.0,Sunny
10.961,9.161,88.65975,0.0,0.0,0.0,0.0,Sunny
10.211,8.611,89.8039,0.0,0.0,0.0,0.0,Sunny
9.661,8.111,90.067055,0.0,0.0,0.0,0.0,Sunny
8.861,7.511,91.24471,0.0,0.0,0.0,0.0,Sunny
7.561,6.461,92.740906,0.0,0.0,0.0,0.0,Sunny
7.811,6.261,89.927246,0.0,0.0,0.0,0.0,Sunny
7.811,6.061,88.695175,0.0,0.0,0.0,0.0,Sunny
7.761,5.761,87.17128,0.0,0.0,0.0,0.0,Sunny
6.861,5.161,88.92256,0.0,0.0,0.0,0.0,Sunny
6.811,5.011,88.30172,0.0,0.0,0.0,0.0,Sunny
6.761,4.961,88.29731,0.0,0.0,0.0,0.0,Sunny
