temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
7.011,6.661,97.62742,0.0,0.0,0.0,33.0,Cloudy
6.861,6.561,97.96085,0.0,0.0,0.0,39.9,Cloudy
6.411,6.161,98.29204,0.0,0.0,0.0,20.1,Sunny
8.661,7.661,93.436905,0.0,0.0,0.0,17.100002,Sunny
11.211,8.861,85.45548,0.0,0.0,0.0,30.900002,Cloudy
13.611,9.661,77.03673,0.0,0.0,0.0,46.500004,Cloudy
15.611,10.111,69.78074,0.0,0.0,0.0,48.600002,Cloudy
17.011,10.361,64.902985,0.0,0.0,0.0,35.7,Cloudy
17.861,10.061001,60.291542,0.0,0.0,0.0,60.000004,Cloudy
18.161001,9.561001,57.216045,0.0,0.0,0.0,54.9,Cloudy
18.061,9.161,56.048615,0.0,0.0,0.0,51.300003,Cloudy
17.111,10.211,63.850822,0.0,0.0,0.0,45.300003,Cloudy
14.711,11.061001,78.76337,0.0,0.0,0.0,48.9,Cloudy
14.361,10.461,77.4123,0.0,0.0,0.0,52.2,Cloudy
14.511001,10.461,76.66562,0.0,0.0,0.0,46.2,Cloudy
12.411,9.911,84.72744,0.0,0.0,0.0,2.4,Sunny
9.811001,8.711,92.86508,0.0,0.0,0.0,0.0,Sunny
9.411,8.561001,94.4288,0.0,0.0,0.0,0.0,Sunny
9.061001,8.411,95.70276,0.0,0.0,0.0,0.0,Sunny
8.261001,7.961,97.98329,0.0,0.0,0.0,0.0,Sunny
7.611,7.611,100.0,0.0,0.0,0.0,17.1,Sunny
7.411,7.361,99.659065,0.0,0.0,0.0,90.0,Cloudy
7.861,7.661,98.647224,0.0,0.0,0.0,90.0,Cloudy
7.611,7.511,99.32024,0.0,0.0,0.0,90.0,Cloudy
6.961,6.861,99.316696,0.0,0.0,0.0,90.0,Cloudy
7.211,6.961,98.30287,0.0,0.0,0.0,90.0,Cloudy
7.161,6.811,97.630226,0.0,0.0,0.0,90.0,Cloudy
7.661,7.011,95.65564,0.0,0.0,0.0,93.6,Cloudy
8.161,7.611,96.327354,0.0,0.0,0.0,91.5,Cloudy
9.361,8.711,95.71277,0.0,0.0,0.0,90.0,Cloudy
11.511001,10.211,91.72435,0.0,0.0,0.0,90.0,Cloudy
13.061001,11.061001,87.66481,0.0,0.0,0.0,90.0,Cloudy
15.161,11.411,78.30972,0.0,0.0,0.0,39.6,Cloudy
16.211,11.111,71.78017,0.0,0.0,0.0,19.8,Sunny
16.411001,10.311001,67.19845,0.0,0.0,0.0,0.9,Sunny
15.711,10.061001,69.10416,0.0,0.0,0.0,0.9,Sunny
11.911,9.911,87.56012,0.0,0.0,0.0,1.8,Sunny
11.211,9.311001,88.08652,0.0,0.0,0.0,0.0,Sunny
11.861,9.711,86.67984,0.0,0.0,0.0,0.0,Sunny
11.061001,9.461,89.868645,0.0,0.0,0.0,0.0,Sunny
9.461,8.511001,93.79411,0.0,0.0,0.0,0.0,Sunny
8.311001,7.711,96.00414,0.0,0.0,0.0,0.0,Sunny
7.111,6.761,97.62929,0.0,0.0,0.0,0.0,Sunny
6.561,6.311,98.29409,0.0,0.0,0.0,0.0,Sunny
6.561,6.261,97.956,0.0,0.0,0.0,0.0,Sunny
6.211,5.961,98.28933,0.0,0.0,0.0,0.0,Sunny
