temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
10.502,9.302,92.27996,0.0,0.0,0.0,0.0,Sunny
10.252,9.152,92.88905,0.0,0.0,0.0,0.0,Sunny
12.352,10.502,88.480934,0.0,0.0,0.0,0.0,Sunny
13.952,11.302,84.057755,0.0,0.0,0.0,0.0,Sunny
16.102,11.652,74.91539,0.0,0.0,0.0,0.0,Sunny
17.802,11.302,65.7253,0.0,0.0,0.0,0.0,Sunny
19.152,10.452,57.08005,0.0,0.0,0.0,0.0,Sunny
20.102,9.852,51.696014,0.0,0.0,0.0,0.0,Sunny
20.552,9.802,50.11099,0.0,0.0,0.0,1.8,Sunny
20.602,9.752,49.789673,0.0,0.0,0.0,7.2,Sunny
20.302,9.502,49.876118,0.0,0.0,0.0,17.1,Sunny
19.152,8.802,51.097816,0.0,0.0,0.0,29.7,Sunny
16.502,10.102,65.88444,0.0,0.0,0.0,4.5,Sunny
14.802,10.252,74.19818,0.0,0.0,0.0,0.9,Sunny
14.002,10.552,79.71454,0.0,0.0,0.0,0.0,Sunny
13.352,11.052,85.96496,0.0,0.0,0.0,0.0,Sunny
12.802,11.152,89.70157,0.0,0.0,0.0,0.0,Sunny
12.552,11.002,90.2799,0.0,0.0,0.0,0.0,Sunny
12.002,10.702,91.75491,0.0,0.0,0.0,0.0,Sunny
11.652,10.452,92.34695,0.0,0.0,0.0,0.0,Sunny
11.302,10.202,92.94565,0.0,0.0,0.0,0.0,Sunny
10.902,9.952,93.86227,0.0,0.0,0.0,0.0,Sunny
10.502,9.652,94.47539,0.0,0.0,0.0,0.0,Sunny
9.852,9.152,95.40728,0.0,0.0,0.0,0.0,Sunny
9.302,8.402,94.10486,0.0,0.0,0.0,0.0,Sunny
9.052,8.152,94.09348,0.0,0.0,0.0,18.6,Sunny
10.052,8.952,92.8782,0.0,0.0,0.0,23.7,Sunny
13.002,9.952,81.73466,0.0,0.0,0.0,11.400001,Sunny
15.152,9.702,69.92457,0.0,0.0,0.0,1.2,Sunny
16.752,9.702,63.132698,0.0,0.0,0.0,1.8000001,Sunny
18.052,9.652,57.962,0.0,0.0,0.0,0.3,Sunny
19.002,9.602,54.432068,0.0,0.0,0.0,0.0,Sunny
19.702,9.502,51.76365,0.0,0.0,0.0,9.6,Sunny
19.902,9.352,50.612907,0.0,0.0,0.0,8.4,Sunny
19.552,9.302,51.550266,0.0,0.0,0.0,28.2,Sunny
18.452,9.252,55.026493,0.0,0.0,0.0,6.6,Sunny
15.152,10.002,71.34382,0.0,0.0,0.0,20.400002,Sunny
13.702,9.702,76.79322,0.0,0.0,0.0,18.6,Sunny
12.802,9.802,81.98298,0.0,0.0,0.0,5.4,Sunny
11.902,9.852,87.26661,0.0,0.0,0.0,0.0,Sunny
11.052,9.452,89.86795,0.0,0.0,0.0,0.0,Sunny
10.702,9.202,90.4485,0.0,0.0,0.0,0.0,Sunny
10.402,9.052,91.3464,0.0,0.0,0.0,0.0,Sunny
9.902,8.702,92.244675,0.0,0.0,0.0,0.0,Sunny
9.502,8.302,92.22102,0.0,0.0,0.0,0.0,Sunny
9.252,8.002,91.8934,0.0,0.0,0.0,0.0,Sunny
9.452,8.002,90.66582,0.0,0.0,0.0,0.0,Sunny
9.152,7.802,91.264046,0.0,0.0,0.0,0.0,Sunny
8.652,7.502,92.485466,0.0,0.0,0.0,0.0,Sunny
9.052,7.852,92.19426,0.0,0.0,0.0,0.0,Sunny
9.452,8.102,91.28392,0.0,0.0,0.0,0.0,Sunny
12.202,9.252,82.18202,0.0,0.0,0.0,0.0,Sunny
14.502,9.302,70.981834,0.0,0.0,0.0,0.0,Sunny
16.152,9.652,65.36941,0.0,0.0,0.0,0.0,Sunny
17.352,9.902,61.59909,0.0,0.0,0.0,0.0,Sunny
18.252,9.952,58.4009,0.0,0.0,0.0,0.0,Sunny
18.552,9.752,56.550545,0.0,0.0,0.0,0.0,Sunny
18.452,9.502,55.959183,0.0,0.0,0.0,0.0,Sunny
18.052,9.302,56.61508,0.0,0.0,0.0,0.0,Sunny
17.002,9.102,59.68356,0.0,0.0,0.0,0.0,Sunny
13.552,10.152,79.9173,0.0,0.0,0.0,0.0,Sunny
11.952,10.102,88.44683,0.0,0.0,0.0,0.0,Sunny
10.902,9.552,91.37901,0.0,0.0,0.0,0.0,Sunny
10.402,9.102,91.65472,0.0,0.0,0.0,0.0,Sunny
9.752,8.452,91.61349,0.0,0.0,0.0,0.90000004,Sunny
9.102,7.902,92.19724,0.0,0.0,0.0,0.6,Sunny
8.702,7.602,92.80427,0.0,0.0,0.0,0.0,Sunny
8.802,7.702,92.809784,0.0,0.0,0.0,0.0,Sunny
9.152,8.102,93.14486,0.0,0.0,0.0,0.0,Sunny
9.352,8.502,94.42628,0.0,0.0,0.0,0.0,Sunny
8.952,8.302,95.69913,0.0,0.0,0.0,0.0,Sunny
8.902,8.152,95.05023,0.0,0.0,0.0,0.0,Sunny
7.752,7.052,95.33179,0.0,0.0,0.0,0.0,Sunny
7.952,7.052,94.04308,0.0,0.0,0.0,0.0,Sunny
9.052,8.002,93.139595,0.0,0.0,0.0,0.0,Sunny
11.152,8.902,86.02806,0.0,0.0,0.0,0.0,Sunny
12.752,8.802,76.900566,0.0,0.0,0.0,0.0,Sunny
14.202,8.302,67.64562,0.0,0.0,0.0,0.0,Sunny
15.552,7.752,59.738323,0.0,0.0,0.0,0.0,Sunny
16.702,7.452,54.38981,0.0,0.0,0.0,0.0,Sunny
17.452,7.252,51.163685,0.0,0.0,0.0,0.0,Sunny
17.602,7.202,50.50876,0.0,0.0,0.0,0.0,Sunny
17.102,7.102,51.77418,0.0,0.0,0.0,0.0,Sunny
16.052,7.552,57.07548,0.0,0.0,0.0,0.0,Sunny
12.602,8.502,76.1004,0.0,0.0,0.0,0.0,Sunny
11.202,8.702,84.593025,0.0,0.0,0.0,0.0,Sunny
10.452,8.752,89.21772,0.0,0.0,0.0,0.0,Sunny
9.902,8.552,91.31359,0.0,0.0,0.0,0.0,Sunny
9.402,8.252,92.52844,0.0,0.0,0.0,0.0,Sunny
8.802,7.802,93.44402,0.0,0.0,0.0,0.0,Sunny
8.452,7.502,93.74573,0.0,0.0,0.0,0.0,Sunny
8.152,7.302,94.37432,0.0,0.0,0.0,0.0,Sunny
8.002,7.202,94.69117,0.0,0.0,0.0,0.0,Sunny
7.402,6.752,95.646835,0.0,0.0,0.0,0.0,Sunny
7.152,6.602,96.298195,0.0,0.0,0.0,0.0,Sunny
6.552,6.102,96.9477,0.0,0.0,0.0,0.0,Sunny
6.252,5.752,96.60567,0.0,0.0,0.0,0.0,Sunny
6.002,5.652,97.60837,0.0,0.0,0.0,0.9,Sunny
7.002,6.802,98.63798,0.0,0.0,0.0,12.599999,Sunny
8.802,7.852,93.76257,0.0,0.0,0.0,45.0,Cloudy
10.902,8.552,85.42263,0.0,0.0,0.0,4.5,Sunny
13.202,8.902,75.17776,0.0,0.0,0.0,0.0,Sunny
15.102,9.202,67.83208,0.0,0.0,0.0,0.0,Sunny
16.252,9.402,63.872753,0.0,0.0,0.0,0.0,Sunny
16.602,9.102,61.217567,0.0,0.0,0.0,0.0,Sunny
16.402,8.402,59.136982,0.0,0.0,0.0,0.0,Sunny
15.952,7.702,58.031395,0.0,0.0,0.0,0.0,Sunny
