temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
16.5175,13.7675,83.80101,0.0,0.0,0.0,27.900002,Sunny
15.5175,13.5175,87.8842,0.0,0.0,0.0,29.400002,Sunny
15.467501,13.6675005,89.03064,0.0,0.0,0.0,29.7,Sunny
19.6675,14.1675005,70.56266,0.0,0.0,0.0,30.000002,Cloudy
23.1175,14.3675,57.863388,0.0,0.0,0.0,28.800001,Sunny
25.817501,14.0675,48.28119,0.0,0.0,0.0,27.000002,Sunny
27.8675,12.8675,39.581146,0.0,0.0,0.0,25.500002,Sunny
29.3675,11.5175,33.19881,0.0,0.0,0.0,25.800001,Sunny
30.3675,10.217501,28.749538,0.0,0.0,0.0,26.7,Sunny
30.9675,9.217501,25.978373,0.0,0.0,0.0,22.2,Sunny
30.7675,9.467501,26.722225,0.0,0.0,0.0,21.0,Sunny
29.7675,11.717501,32.873547,0.0,0.0,0.0,26.400002,Sunny
27.4175,15.0175,46.71758,0.0,0.0,0.0,0.0,Sunny
24.2175,15.7675,59.25576,0.0,0.0,0.0,0.0,Sunny
22.3675,15.6175,65.62689,0.0,0.0,0.0,0.0,Sunny
21.317501,15.5175,69.52493,0.0,0.0,0.0,0.0,Sunny
20.7175,15.4175005,71.67459,0.0,0.0,0.0,0.0,Sunny
20.1675,15.3675,73.91129,0.0,0.0,0.0,0.0,Sunny
19.4175,15.2675,76.9345,0.0,0.0,0.0,0.0,Sunny
18.9175,15.1675005,78.86078,0.0,0.0,0.0,0.0,Sunny
17.817501,15.1675005,84.49048,0.0,0.0,0.0,0.0,Sunny
17.8675,15.0175,83.41673,0.0,0.0,0.0,0.0,Sunny
17.7675,14.8675,83.13699,0.0,0.0,0.0,0.0,Sunny
17.3675,14.6675005,84.16917,0.0,0.0,0.0,0.0,Sunny
16.1175,14.3675,89.371124,0.0,0.0,0.0,0.0,Sunny
15.717501,14.0675,89.921005,0.0,0.0,0.0,0.0,Sunny
16.2175,13.9175005,86.25252,0.0,0.0,0.0,0.0,Sunny
19.9175,13.5675,66.82373,0.0,0.0,0.0,0.0,Sunny
24.7175,13.717501,50.389618,0.0,0.0,0.0,0.0,Sunny
28.567501,13.4175005,39.389507,0.0,0.0,0.0,0.0,Sunny
30.7675,14.0675,36.198135,0.0,0.0,0.0,0.0,Sunny
32.267498,13.8675,32.812157,0.0,0.0,0.0,0.0,Sunny
33.2675,13.217501,29.73113,0.0,0.0,0.0,0.0,Sunny
33.5675,12.1675005,27.292349,0.0,0.0,0.0,0.0,Sunny
33.3675,11.5175,26.441978,0.0,0.0,0.0,0.0,Sunny
32.4675,11.2675,27.358725,0.0,0.0,0.0,0.0,Sunny
30.567501,13.3675,34.98638,0.0,0.0,0.0,0.0,Sunny
26.6175,16.1175,52.53946,0.0,0.0,0.0,0.0,Sunny
24.9175,16.2175,58.482094,0.0,0.0,0.0,0.0,Sunny
24.067501,16.0675,60.948357,0.0,0.0,0.0,0.0,Sunny
23.2175,15.717501,62.73137,0.0,0.0,0.0,0.0,Sunny
22.1175,15.3175,65.364075,0.0,0.0,0.0,0.0,Sunny
20.9675,14.9175005,68.34939,0.0,0.0,0.0,0.0,Sunny
20.2675,14.5675,69.770096,0.0,0.0,0.0,0.0,Sunny
20.0175,14.3175,69.72181,0.0,0.0,0.0,0.0,Sunny
19.2675,14.1675005,72.33917,0.0,0.0,0.0,0.0,Sunny
18.3675,14.1175,76.275475,0.0,0.0,0.0,0.0,Sunny
18.0175,14.0675,77.717606,0.0,0.0,0.0,0.0,Sunny
17.2175,13.8175,80.423294,0.0,0.0,0.0,1.8000001,Sunny
16.9175,13.717501,81.43483,0.0,0.0,0.0,3.9,Sunny
17.1175,13.6675005,80.148865,0.0,0.0,0.0,0.0,Sunny
20.9175,14.0675,64.89737,0.0,0.0,0.0,0.0,Sunny
25.7175,14.3175,49.360703,0.0,0.0,0.0,0.0,Sunny
28.7175,14.6675005,42.34335,0.0,0.0,0.0,0.0,Sunny
30.7175,15.3175,39.34912,0.0,0.0,0.0,0.0,Sunny
32.1675,14.9175005,35.315487,0.0,0.0,0.0,0.0,Sunny
33.1175,13.6175,30.77391,0.0,0.0,0.0,0.0,Sunny
33.4175,12.717501,28.534214,0.0,0.0,0.0,0.0,Sunny
32.7175,13.9175005,32.093483,0.0,0.0,0.0,0.0,Sunny
30.317501,16.6675,43.88425,0.0,0.0,0.0,23.7,Sunny
28.817501,16.9675,48.76673,0.0,0.0,0.0,0.0,Sunny
26.0175,16.8675,57.0932,0.0,0.0,0.0,23.400002,Sunny
24.7175,16.4175,59.943207,0.0,0.0,0.0,30.000002,Cloudy
23.567501,16.5675,64.84133,0.0,0.0,0.0,28.800001,Sunny
22.9175,16.2175,65.95255,0.0,0.0,0.0,30.000002,Cloudy
22.1675,16.0175,68.15114,0.0,0.0,0.0,26.1,Sunny
21.2675,15.2675,68.62909,0.0,0.0,0.0,27.000002,Sunny
19.8675,15.0175,73.62269,0.0,0.0,0.0,27.300001,Sunny
19.2675,14.6675005,74.71479,0.0,0.0,0.0,23.7,Sunny
19.0175,14.3675,74.43191,0.0,0.0,0.0,23.400002,Sunny
18.067501,14.3175,78.73783,0.0,0.0,0.0,12.0,Sunny
17.7175,14.1175,79.45565,0.0,0.0,0.0,9.6,Sunny
17.8675,14.7675,82.08476,0.0,0.0,0.0,10.5,Sunny
17.6675,14.8675,83.662415,0.0,0.0,0.0,21.6,Sunny
17.567501,15.0175,85.00828,0.0,0.0,0.0,0.90000004,Sunny
21.1175,15.5675,70.60896,0.0,0.0,0.0,0.0,Sunny
24.817501,15.717501,56.983517,0.0,0.0,0.0,0.0,Sunny
27.6175,15.6675005,48.14044,0.0,0.0,0.0,0.0,Sunny
29.7675,15.5675,42.22408,0.0,0.0,0.0,0.0,Sunny
31.317501,15.467501,38.39296,0.0,0.0,0.0,0.0,Sunny
32.3175,15.2675,35.814148,0.0,0.0,0.0,0.0,Sunny
32.3675,15.2675,35.71315,0.0,0.0,0.0,0.0,Sunny
31.317501,15.6175,38.763676,0.0,0.0,0.0,0.0,Sunny
