temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
12.7695,11.669499,93.023636,0.0,0.0,0.0,0.0,Sunny
12.6195,11.8695,95.18984,0.0,0.0,0.0,0.9,Sunny
14.2195,12.3695,88.63828,0.0,0.0,0.0,0.9,Sunny
16.469501,12.8695,79.27842,0.0,0.0,0.0,0.9,Sunny
18.7695,13.5695,71.78085,0.0,0.0,0.0,4.8,Sunny
20.7695,14.169499,65.92503,0.0,0.0,0.0,5.4,Sunny
22.369501,14.3695,60.556206,0.0,0.0,0.0,2.6999998,Sunny
23.2695,14.3695,57.34171,0.0,0.0,0.0,14.7,Sunny
23.719501,14.169499,55.089237,0.0,0.0,0.0,9.9,Sunny
24.0195,14.169499,54.104427,0.0,0.0,0.0,8.7,Sunny
23.5695,13.6195,53.640305,0.0,0.0,0.0,6.0,Sunny
22.1695,14.4695,61.695168,0.0,0.0,0.0,7.2,Sunny
19.0695,14.2195,73.48404,0.0,0.0,0.0,4.8,Sunny
17.9195,13.919499,77.451164,0.0,0.0,0.0,0.0,Sunny
17.369501,13.4695,77.8724,0.0,0.0,0.0,0.0,Sunny
16.5195,12.919499,79.28559,0.0,0.0,0.0,28.2,Sunny
16.369501,12.6195,78.4892,0.0,0.0,0.0,22.2,Sunny
15.5195,13.169499,85.90255,0.0,0.0,0.0,23.400002,Sunny
14.669499,12.7695,88.386024,0.0,0.0,0.0,0.0,Sunny
13.9695,12.6195,91.57522,0.0,0.0,0.0,0.0,Sunny
13.0195,12.169499,94.58067,0.0,0.0,0.0,3.6,Sunny
12.7695,12.0195,95.19536,0.0,0.0,0.0,14.4,Sunny
13.2195,12.3195,94.27879,0.0,0.0,0.0,17.1,Sunny
12.8195,12.169499,95.8256,0.0,0.0,0.0,23.4,Sunny
13.169499,12.7195,97.1012,0.0,0.0,0.0,33.899998,Cloudy
14.0195,13.2195,94.93083,0.0,0.0,0.0,90.6,Cloudy
15.169499,13.419499,89.29702,0.0,0.0,0.0,93.0,Cloudy
16.619501,13.6195,82.46251,0.0,0.0,0.0,58.2,Cloudy
18.5195,13.8695,74.347435,0.0,0.0,0.0,54.899998,Cloudy
19.869501,14.3195,70.37296,0.1,0.1,0.0,41.1,Rainy
21.5695,14.7195,65.037445,0.0,0.0,0.0,23.1,Sunny
22.719501,14.4695,59.66699,0.1,0.1,0.0,59.1,Rainy
23.0695,14.0195,56.73887,0.1,0.1,0.0,27.0,Rainy
23.369501,13.7695,54.82306,0.0,0.0,0.0,28.5,Sunny
