temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
12.3654995,5.1655,61.476406,0.0,0.0,0.0,0.0,Sunny
11.565499,5.3655,65.709755,0.0,0.0,0.0,0.0,Sunny
11.315499,5.5655003,67.738625,0.0,0.0,0.0,0.0,Sunny
13.5155,5.6655,59.03739,0.0,0.0,0.0,0.0,Sunny
16.9655,5.5655003,46.978878,0.0,0.0,0.0,0.0,Sunny
20.0655,5.4155,38.289738,0.0,0.0,0.0,0.0,Sunny
22.7155,5.9655004,33.815445,0.0,0.0,0.0,0.0,Sunny
24.615501,6.7155004,31.758366,0.0,0.0,0.0,0.0,Sunny
25.5655,6.6655,29.907791,0.0,0.0,0.0,0.0,Sunny
26.0655,6.3655,28.441633,0.0,0.0,0.0,0.0,Sunny
26.2155,5.7655,27.046782,0.0,0.0,0.0,0.0,Sunny
25.9655,5.3655,26.699095,0.0,0.0,0.0,0.0,Sunny
23.515501,9.9155,42.14726,0.0,0.0,0.0,0.0,Sunny
21.265501,6.3655,37.975254,0.0,0.0,0.0,0.0,Sunny
21.115501,6.2155004,37.93226,0.0,0.0,0.0,0.0,Sunny
18.265501,6.2655,45.427345,0.0,0.0,0.0,0.0,Sunny
17.4655,6.0655003,47.118305,0.0,0.0,0.0,0.0,Sunny
16.8155,5.8655,48.423027,0.0,0.0,0.0,0.0,Sunny
15.8654995,5.1155,48.8351,0.0,0.0,0.0,0.0,Sunny
14.815499,4.5155,50.09814,0.0,0.0,0.0,0.0,Sunny
13.8654995,4.7155004,54.021503,0.0,0.0,0.0,0.0,Sunny
13.2155,5.2655,58.555332,0.0,0.0,0.0,1.5,Sunny
12.7155,5.6655,62.202652,0.0,0.0,0.0,21.0,Sunny
12.1154995,5.7155004,64.92575,0.0,0.0,0.0,20.7,Sunny
11.7655,6.8655,71.91943,0.0,0.0,0.0,12.6,Sunny
11.4655,6.7155004,72.607506,0.0,0.0,0.0,0.0,Sunny
11.4155,6.3655,71.11561,0.0,0.0,0.0,0.0,Sunny
13.6154995,6.0155,60.091602,0.0,0.0,0.0,0.0,Sunny
17.3155,6.3655,48.560932,0.0,0.0,0.0,0.0,Sunny
21.5655,6.6155,37.930626,0.0,0.0,0.0,24.0,Sunny
24.3155,6.3655,31.564898,0.0,0.0,0.0,25.800001,Sunny
25.515501,6.2155004,29.08195,0.0,0.0,0.0,21.900002,Sunny
26.2155,5.8655,27.234509,0.0,0.0,0.0,21.0,Sunny
26.6655,5.0655003,25.089504,0.0,0.0,0.0,29.7,Sunny
26.8155,4.2655,23.518108,0.0,0.0,0.0,26.7,Sunny
26.4655,3.7154999,23.098743,0.0,0.0,0.0,24.900002,Sunny
25.0655,7.5655003,32.768482,0.0,0.0,0.0,16.5,Sunny
24.615501,5.5655003,29.336096,0.0,0.0,0.0,20.1,Sunny
23.5655,5.5655003,31.244684,0.0,0.0,0.0,20.400002,Sunny
19.9655,5.8655,39.747307,0.0,0.0,0.0,20.1,Sunny
16.865501,5.5655003,47.27761,0.0,0.0,0.0,0.0,Sunny
16.265501,4.8655,46.782986,0.0,0.0,0.0,0.0,Sunny
15.565499,3.4654999,44.349453,0.0,0.0,0.0,4.8,Sunny
14.8654995,1.1655,39.385372,0.0,0.0,0.0,12.0,Sunny
13.6154995,2.2654998,46.198315,0.0,0.0,0.0,19.5,Sunny
13.565499,3.1155,49.229565,0.0,0.0,0.0,0.3,Sunny
13.4655,3.7154999,51.69267,0.0,0.0,0.0,0.0,Sunny
13.1655,4.0155,53.83642,0.0,0.0,0.0,0.0,Sunny
13.315499,6.4655004,63.20743,0.0,0.0,0.0,0.0,Sunny
13.065499,7.0655003,66.94821,0.0,0.0,0.0,0.0,Sunny
12.815499,7.4155,69.69976,0.0,0.0,0.0,0.0,Sunny
14.9655,7.7655,62.08777,0.0,0.0,0.0,0.6,Sunny
18.0655,7.9155,51.503036,0.0,0.0,0.0,12.3,Sunny
21.015501,8.1655,43.612625,0.0,0.0,0.0,27.900002,Sunny
23.4655,8.3654995,38.08346,0.0,0.0,0.0,0.3,Sunny
25.2155,8.0155,33.48746,0.0,0.0,0.0,3.0,Sunny
26.0655,7.1655,30.047197,0.0,0.0,0.0,1.5,Sunny
26.515501,6.7155004,28.370478,0.0,0.0,0.0,0.0,Sunny
26.615501,6.3155003,27.438396,0.0,0.0,0.0,0.0,Sunny
26.265501,5.6155,26.688383,0.0,0.0,0.0,0.0,Sunny
24.3155,5.8155003,30.389177,0.0,0.0,0.0,13.8,Sunny
21.765501,4.6155,32.621414,0.0,0.0,0.0,15.3,Sunny
20.365501,2.8655,31.432877,0.0,0.0,0.0,0.0,Sunny
19.365501,3.1155,34.039444,0.0,0.0,0.0,0.0,Sunny
18.865501,2.1655,32.82742,0.0,0.0,0.0,0.0,Sunny
18.6655,0.5155,29.53024,0.0,0.0,0.0,0.0,Sunny
17.765501,0.1655,30.46527,0.0,0.0,0.0,0.0,Sunny
16.515501,0.36549997,33.453568,0.0,0.0,0.0,0.0,Sunny
15.7655,0.6155,35.731804,0.0,0.0,0.0,0.0,Sunny
15.065499,1.0655,38.603333,0.0,0.0,0.0,0.0,Sunny
14.2155,1.8155,43.031166,0.0,0.0,0.0,0.0,Sunny
13.315499,2.5154998,47.95453,0.0,0.0,0.0,0.0,Sunny
12.315499,4.3655,58.330914,0.0,0.0,0.0,0.0,Sunny
11.2155,4.6655,64.050766,0.0,0.0,0.0,0.0,Sunny
10.565499,4.8655,67.81668,0.0,0.0,0.0,0.0,Sunny
12.3654995,5.4655004,62.770668,0.0,0.0,0.0,0.0,Sunny
15.4655,5.8155003,52.594162,0.0,0.0,0.0,0.0,Sunny
18.265501,5.0655003,41.80478,0.0,0.0,0.0,0.0,Sunny
20.5655,4.4155,34.626812,0.0,0.0,0.0,0.0,Sunny
22.515501,2.5655,26.975077,0.0,0.0,0.0,0.0,Sunny
23.765501,0.81549996,22.069086,0.0,0.0,0.0,0.0,Sunny
24.4655,0.015500002,19.972336,0.0,0.0,0.0,0.0,Sunny
24.6655,-0.43449998,19.100126,0.0,0.0,0.0,0.0,Sunny
