temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
6.7974997,6.4474998,97.623405,0.0,0.0,0.0,30.000002,Cloudy
6.4975,6.4975,100.0,0.0,0.0,0.0,42.3,Cloudy
6.1974998,6.0975,99.31253,0.0,0.0,0.0,100.0,Cloudy
7.6475,6.9474998,95.32797,0.0,0.0,0.0,39.0,Cloudy
10.8975,8.5975,85.71163,0.0,0.0,0.0,35.4,Cloudy
12.8975,9.7975,81.44784,0.0,0.0,0.0,32.7,Cloudy
14.0975,10.6975,79.993774,0.0,0.0,0.0,31.800001,Cloudy
14.6975,11.1475,79.28548,0.0,0.0,0.0,59.4,Cloudy
15.0975,11.0975,77.01389,0.0,0.0,0.0,79.200005,Cloudy
15.4475,10.3975,71.8774,0.0,0.0,0.0,86.4,Cloudy
15.497499,9.8475,69.0615,0.0,0.0,0.0,87.00001,Cloudy
14.7975,11.497499,80.62279,0.0,0.0,0.0,79.200005,Cloudy
11.5975,10.247499,91.424095,0.0,0.0,0.0,33.9,Cloudy
10.3475,9.497499,94.46881,0.0,0.0,0.0,30.000002,Cloudy
10.497499,9.4475,93.215065,0.0,0.0,0.0,0.0,Sunny
10.997499,9.6475,91.38523,0.0,0.0,0.0,0.0,Sunny
8.5975,8.3475,98.32136,0.0,0.0,0.0,14.4,Sunny
7.2475,7.1974998,99.658615,0.0,0.0,0.0,90.0,Cloudy
6.4474998,6.3475,99.313896,0.0,0.0,0.0,90.0,Cloudy
6.7974997,6.7974997,100.0,0.0,0.0,0.0,90.0,Cloudy
7.0975,7.0975,100.0,0.0,0.0,0.0,90.0,Cloudy
7.1475,7.1475,100.0,0.0,0.0,0.0,90.0,Cloudy
7.1475,7.0975,99.65835,0.0,0.0,0.0,30.599998,Cloudy
6.7974997,6.5474997,98.297295,0.0,0.0,0.0,2.6999998,Sunny
6.0975,6.0975,100.0,0.0,0.0,0.0,90.0,Cloudy
5.8975,5.8975,100.0,0.0,0.0,0.0,90.0,Cloudy
5.8475,5.7974997,99.65477,0.0,0.0,0.0,90.0,Cloudy
6.8475,5.8975,93.6676,0.0,0.0,0.0,13.5,Sunny
9.247499,7.6974998,90.036064,0.0,0.0,0.0,11.7,Sunny
11.747499,9.1975,84.369446,0.0,0.0,0.0,28.8,Sunny
13.0975,10.3475,83.40166,0.0,0.0,0.0,18.0,Sunny
13.997499,10.8475,81.32097,0.0,0.0,0.0,7.2,Sunny
14.6975,10.747499,77.207306,0.0,0.0,0.0,3.6,Sunny
15.0975,10.0475,71.812386,0.0,0.0,0.0,0.9,Sunny
15.0475,9.3475,68.73986,0.0,0.0,0.0,0.0,Sunny
14.1475,9.6475,74.33339,0.0,0.0,0.0,0.0,Sunny
12.0975,9.9475,86.7029,0.0,0.0,0.0,0.0,Sunny
11.9475,10.1475,88.74249,0.0,0.0,0.0,0.0,Sunny
