temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
6.863,6.513,97.62464,0.0,0.0,0.0,25.800001,Sunny
7.113,6.713,97.29475,0.0,0.0,0.0,59.100002,Cloudy
6.813,6.513,97.96008,0.0,0.0,0.0,30.0,Cloudy
8.313,7.613,95.35214,0.0,0.0,0.0,50.4,Cloudy
10.162999,8.763,91.02281,0.0,0.0,0.0,55.800003,Cloudy
12.313,9.712999,84.15069,0.0,0.0,0.0,78.600006,Cloudy
14.212999,10.412999,77.907295,0.0,0.0,0.0,84.600006,Cloudy
15.813,10.763,71.94507,0.0,0.0,0.0,89.100006,Cloudy
16.763,10.662999,67.2717,0.0,0.0,0.0,90.00001,Cloudy
16.813,10.363,65.7315,0.0,0.0,0.0,88.8,Cloudy
16.713001,10.313,65.92965,0.0,0.0,0.0,43.2,Cloudy
16.013,11.363,73.91621,0.0,0.0,0.0,49.800003,Cloudy
12.763,10.563,86.479065,0.0,0.0,0.0,78.9,Cloudy
12.912999,10.763,86.78195,0.0,0.0,0.0,46.500004,Cloudy
11.412999,9.962999,90.80273,0.0,0.0,0.0,0.6,Sunny
10.763,9.563,92.29525,0.0,0.0,0.0,0.0,Sunny
10.363,9.462999,94.152725,0.0,0.0,0.0,0.0,Sunny
7.913,7.713,98.64777,0.0,0.0,0.0,0.0,Sunny
8.113,7.963,98.98592,0.0,0.0,0.0,0.9,Sunny
7.863,7.813,99.660286,0.0,0.0,0.0,90.0,Cloudy
7.863,7.863,100.0,0.0,0.0,0.0,90.0,Cloudy
7.563,7.463,99.31997,0.0,0.0,0.0,90.0,Cloudy
7.413,7.263,98.98027,0.0,0.0,0.0,90.0,Cloudy
7.313,7.213,99.31862,0.0,0.0,0.0,90.0,Cloudy
5.913,5.813,99.31096,0.0,0.0,0.0,90.0,Cloudy
6.313,6.113,98.63049,0.0,0.0,0.0,90.0,Cloudy
6.463,6.013,96.94555,0.0,0.0,0.0,90.0,Cloudy
6.813,6.513,97.96008,0.0,0.0,0.0,90.0,Cloudy
7.863,7.563,97.97696,0.0,0.0,0.0,90.0,Cloudy
9.212999,8.063,92.51765,0.0,0.0,0.0,90.0,Cloudy
11.513,9.412999,86.93753,0.0,0.0,0.0,1.8,Sunny
13.763,10.113,78.6234,0.0,0.0,0.0,1.8,Sunny
15.113,9.962999,71.33647,0.0,0.0,0.0,0.0,Sunny
15.763,9.212999,65.06545,0.0,0.0,0.0,0.0,Sunny
15.763,8.563,62.27274,0.0,0.0,0.0,0.0,Sunny
14.863,9.962999,72.49318,0.0,0.0,0.0,0.0,Sunny
11.412999,9.563,88.40061,0.0,0.0,0.0,0.0,Sunny
9.763,8.712999,93.17687,0.0,0.0,0.0,0.0,Sunny
9.013,8.212999,94.732605,0.0,0.0,0.0,0.0,Sunny
8.063,7.413,95.66925,0.0,0.0,0.0,0.0,Sunny
7.363,6.763,95.97441,0.0,0.0,0.0,0.0,Sunny
6.713,6.413,97.958466,0.0,0.0,0.0,0.0,Sunny
5.863,5.813,99.65482,0.0,0.0,0.0,0.0,Sunny
5.413,5.413,100.0,0.0,0.0,0.0,0.0,Sunny
5.313,5.213,99.307625,0.0,0.0,0.0,0.0,Sunny
5.063,5.063,100.0,0.0,0.0,0.0,90.0,Cloudy
5.563,5.563,99.99999,0.0,0.0,0.0,90.0,Cloudy
5.213,5.213,99.99999,0.0,0.0,0.0,90.0,Cloudy
4.913,4.813,99.30541,0.0,0.0,0.0,90.3,Cloudy
5.513,5.313,98.62173,0.0,0.0,0.0,93.0,Cloudy
5.563,5.213,97.6,0.0,0.0,0.0,90.3,Cloudy
6.113,5.463,95.60262,0.0,0.0,0.0,90.0,Cloudy
7.163,6.613,96.298515,0.0,0.0,0.0,90.0,Cloudy
8.162999,7.763,97.317024,0.0,0.0,0.0,90.0,Cloudy
10.313,8.412999,88.006905,0.0,0.0,0.0,49.5,Cloudy
12.363,9.263,81.377396,0.0,0.0,0.0,54.0,Cloudy
