temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
18.7525,18.4025,97.8333,0.0,0.0,0.0,14.4,Sunny
19.5525,19.1025,97.23858,0.0,0.0,0.0,15.299999,Sunny
20.7025,19.5025,92.84536,0.0,0.0,0.0,11.7,Sunny
23.3025,20.3525,83.516205,0.0,0.0,0.0,1.5,Sunny
25.5025,20.0025,71.639275,0.0,0.0,0.0,6.6000004,Sunny
27.2025,19.2025,61.659145,0.0,0.0,0.0,23.7,Sunny
28.4525,18.3025,54.18421,0.0,0.0,0.0,25.2,Sunny
29.3025,17.8525,50.142773,0.0,0.0,0.0,0.3,Sunny
29.8025,17.7525,48.412346,0.0,0.0,0.0,3.6000001,Sunny
30.0525,17.3525,46.532505,0.0,0.0,0.0,25.500002,Sunny
29.8525,16.7525,45.315704,0.0,0.0,0.0,26.400002,Sunny
29.1025,16.9025,47.771416,0.0,0.0,0.0,17.400002,Sunny
27.6525,18.3025,56.77064,0.0,0.0,0.0,26.1,Sunny
25.6025,18.5525,65.06844,0.0,0.0,0.0,24.3,Sunny
24.7025,18.7025,69.298485,0.0,0.0,0.0,15.3,Sunny
23.5025,19.4025,77.79698,0.0,0.0,0.0,3.9,Sunny
22.2025,19.8525,86.55743,0.0,0.0,0.0,5.1000004,Sunny
21.2025,20.0025,92.87149,0.0,0.0,0.0,19.800001,Sunny
21.0525,20.0525,94.02106,0.0,0.0,0.0,8.400001,Sunny
20.7025,19.9525,95.47388,0.0,0.0,0.0,8.400001,Sunny
20.5525,19.8525,95.76523,0.0,0.0,0.0,18.3,Sunny
20.4025,19.8025,96.356316,0.0,0.0,0.0,19.8,Sunny
20.2525,19.7525,96.95195,0.0,0.0,0.0,28.8,Sunny
20.0525,19.6025,97.24893,0.0,0.0,0.0,54.6,Cloudy
22.3025,20.7525,90.950294,0.0,0.0,0.0,100.0,Cloudy
22.4525,20.7025,89.8475,0.0,0.0,0.0,100.0,Cloudy
22.8525,20.4525,86.351974,0.0,0.0,0.0,70.2,Cloudy
24.0025,20.0025,78.35446,0.0,0.0,0.0,41.1,Cloudy
25.6525,19.3525,68.19682,0.0,0.0,0.0,50.4,Cloudy
27.3025,18.5525,58.860535,0.0,0.0,0.0,35.4,Cloudy
28.6025,17.8025,52.052776,0.0,0.0,0.0,40.199997,Cloudy
29.3025,17.3525,48.586567,0.0,0.0,0.0,50.4,Cloudy
29.7025,17.3025,47.32886,0.0,0.0,0.0,32.7,Cloudy
29.9025,17.1025,46.199192,0.0,0.0,0.0,32.4,Cloudy
29.8025,16.8025,45.590668,0.0,0.0,0.0,14.700001,Sunny
29.0525,16.4525,46.560066,0.0,0.0,0.0,8.999999,Sunny
27.6025,17.6025,54.484863,0.0,0.0,0.0,0.6,Sunny
25.4025,17.9525,63.41339,0.0,0.0,0.0,2.4,Sunny
24.0525,18.5025,71.15379,0.0,0.0,0.0,11.4,Sunny
23.2525,19.1525,77.76002,0.0,0.0,0.0,9.9,Sunny
22.3025,19.7525,85.50042,0.0,0.0,0.0,5.4000006,Sunny
21.1025,20.0025,93.44319,0.0,0.0,0.0,6.0000005,Sunny
20.6025,19.7525,94.8804,0.0,0.0,0.0,1.2,Sunny
20.7025,19.8025,94.59054,0.0,0.0,0.0,1.8000001,Sunny
20.5525,19.6525,94.58453,0.0,0.0,0.0,3.0,Sunny
20.5025,19.5025,93.99681,0.0,0.0,0.0,8.1,Sunny
20.4025,19.4525,94.28506,0.0,0.0,0.0,6.6,Sunny
20.1525,19.3025,94.86332,0.0,0.0,0.0,3.3000002,Sunny
20.4525,19.6025,94.87473,0.0,0.0,0.0,1.8000001,Sunny
20.7025,19.8025,94.59054,0.0,0.0,0.0,3.0,Sunny
22.2025,20.0525,87.63622,0.0,0.0,0.0,18.6,Sunny
24.3525,20.1025,77.202736,0.0,0.0,0.0,12.0,Sunny
25.8025,19.9525,70.157845,0.1,0.1,0.0,19.2,Rainy
27.1025,19.2525,62.21542,0.1,0.1,0.0,14.4,Rainy
28.0525,18.5025,56.15995,0.1,0.1,0.0,18.0,Rainy
28.5025,18.3525,54.19668,0.1,0.1,0.0,28.2,Rainy
28.1025,18.5525,56.17211,0.1,0.1,0.0,42.0,Rainy
27.8525,18.6025,57.17573,0.2,0.2,0.0,42.0,Rainy
27.6025,18.5025,57.654976,0.2,0.2,0.0,32.1,Rainy
26.8525,18.4525,60.059002,0.0,0.0,0.0,18.300001,Sunny
26.0025,19.0025,65.356285,0.0,0.0,0.0,17.7,Sunny
24.9525,19.1025,69.99828,0.0,0.0,0.0,7.5,Sunny
23.9525,19.2025,74.781334,0.0,0.0,0.0,6.9,Sunny
23.2525,19.3025,78.489815,0.0,0.0,0.0,3.8999999,Sunny
22.6525,19.4025,81.90146,0.0,0.0,0.0,5.7,Sunny
22.1525,19.5525,85.22014,0.0,0.0,0.0,2.4,Sunny
21.8025,19.6025,87.32963,0.0,0.0,0.0,7.2,Sunny
21.4025,19.5025,88.9383,0.0,0.0,0.0,7.5,Sunny
21.1525,19.2525,88.91848,0.0,0.0,0.0,13.799999,Sunny
20.9025,19.1025,89.45472,0.0,0.0,0.0,5.4,Sunny
20.7025,18.9025,89.439514,0.0,0.0,0.0,4.5,Sunny
20.7025,18.9525,89.719086,0.0,0.0,0.0,9.299999,Sunny
20.9525,19.2525,90.01744,0.0,0.0,0.0,25.5,Sunny
21.2525,19.0525,87.28011,0.0,0.0,0.0,16.8,Sunny
22.1525,19.2025,83.3848,0.0,0.0,0.0,5.1,Sunny
23.9025,19.7525,77.61494,0.0,0.0,0.0,11.7,Sunny
25.4525,19.6025,70.092285,0.2,0.2,0.0,33.3,Rainy
26.6025,19.1525,63.674057,0.1,0.1,0.0,26.7,Rainy
27.9525,18.6525,57.02116,0.0,0.0,0.0,44.399998,Cloudy
