temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
7.4285,7.0785003,97.63522,0.0,0.0,0.0,29.7,Sunny
7.1285,6.8785,98.30175,0.0,0.0,0.0,31.200003,Cloudy
7.5285,7.1785,97.63709,0.0,0.0,0.0,31.2,Cloudy
9.278501,8.2285,93.151505,0.0,0.0,0.0,13.200001,Sunny
11.6285,9.4785,86.657104,0.0,0.0,0.0,0.6,Sunny
14.0785,10.4785,78.93278,0.0,0.0,0.0,0.0,Sunny
15.9285,10.9785,72.44597,0.0,0.0,0.0,0.0,Sunny
17.1785,11.028501,67.13481,0.0,0.0,0.0,0.0,Sunny
17.9285,10.7285,62.76907,0.0,0.0,0.0,1.2,Sunny
18.2785,10.1285,58.996204,0.0,0.0,0.0,7.2000003,Sunny
18.228498,9.5785,57.04112,0.0,0.0,0.0,56.100002,Cloudy
17.2785,11.3285,68.05141,0.0,0.0,0.0,43.800003,Cloudy
16.828499,9.8285,63.361973,0.0,0.0,0.0,60.000004,Cloudy
16.228498,9.6285,64.94896,0.0,0.0,0.0,24.0,Sunny
15.3785,9.4785,67.88907,0.0,0.0,0.0,43.2,Cloudy
13.528501,9.4785,76.50821,0.0,0.0,0.0,7.2000003,Sunny
12.9285,9.528501,79.82937,0.0,0.0,0.0,0.0,Sunny
11.3285,9.0785,86.046104,0.0,0.0,0.0,0.0,Sunny
8.6785,7.7285004,93.75664,0.0,0.0,0.0,1.8,Sunny
8.4285,7.5785003,94.38636,0.0,0.0,0.0,0.0,Sunny
7.8785,7.2785,95.990616,0.0,0.0,0.0,0.0,Sunny
8.0785,7.5285,96.325,0.0,0.0,0.0,0.0,Sunny
7.3285003,6.9785004,97.633354,0.0,0.0,0.0,0.0,Sunny
7.2285004,6.9785004,98.303085,0.0,0.0,0.0,0.0,Sunny
6.1285,6.0785003,99.65555,0.0,0.0,0.0,0.0,Sunny
6.0285,6.0285,100.0,0.0,0.0,0.0,90.0,Cloudy
6.9285,6.9285,100.0,0.0,0.0,0.0,90.0,Cloudy
8.2285,7.8285003,97.3184,0.0,0.0,0.0,90.0,Cloudy
9.9285,9.6785,98.338844,0.0,0.0,0.0,90.0,Cloudy
12.5785,11.4285,92.7065,0.0,0.0,0.0,89.1,Cloudy
15.3285,12.0785,80.96063,0.0,0.0,0.0,1.8,Sunny
16.828499,10.4785,66.17459,0.0,0.0,0.0,0.0,Sunny
17.578499,9.278501,58.23592,0.0,0.0,0.0,0.0,Sunny
17.7785,8.778501,55.60038,0.0,0.0,0.0,0.0,Sunny
17.5285,8.3285,54.78931,0.0,0.0,0.0,0.0,Sunny
16.478498,10.1785,66.32117,0.0,0.0,0.0,0.0,Sunny
14.6285,9.2285,70.057236,0.0,0.0,0.0,0.0,Sunny
13.9785,9.0785,72.33103,0.0,0.0,0.0,0.0,Sunny
11.6785,8.6785,81.83826,0.0,0.0,0.0,0.0,Sunny
10.528501,8.3785,86.548805,0.0,0.0,0.0,0.0,Sunny
8.4785,7.3785,92.79192,0.0,0.0,0.0,0.0,Sunny
7.6785,6.9285,95.00295,0.0,0.0,0.0,0.0,Sunny
6.9285,6.4285,96.62371,0.0,0.0,0.0,0.0,Sunny
6.7785,6.3285003,96.953156,0.0,0.0,0.0,0.0,Sunny
6.1785,5.8785,97.949776,0.0,0.0,0.0,0.0,Sunny
5.9285,5.6785,98.28548,0.0,0.0,0.0,0.0,Sunny
5.3285003,5.2285004,99.307724,0.0,0.0,0.0,0.0,Sunny
5.2285004,5.2285004,100.0,0.0,0.0,0.0,90.0,Cloudy
4.9785004,4.9285,99.65235,0.0,0.0,0.0,90.0,Cloudy
6.2285004,6.1285,99.31269,0.0,0.0,0.0,90.0,Cloudy
5.9785004,5.8285003,98.96856,0.0,0.0,0.0,90.0,Cloudy
6.9285,6.7285004,98.63718,0.0,0.0,0.0,90.0,Cloudy
8.4785,8.028501,96.99361,0.0,0.0,0.0,90.0,Cloudy
10.278501,9.9285,97.68757,0.0,0.0,0.0,90.0,Cloudy
12.6785,10.6285,87.339005,0.0,0.0,0.0,4.5,Sunny
14.8785,10.4285,74.7081,0.0,0.0,0.0,0.0,Sunny
15.9285,9.8785,67.32279,0.0,0.0,0.0,0.0,Sunny
16.3785,9.7285,64.76435,0.0,0.0,0.0,4.5,Sunny
16.228498,9.528501,64.51446,0.0,0.0,0.0,6.2999997,Sunny
15.4285,9.6285,68.35667,0.0,0.0,0.0,0.0,Sunny
11.4785,8.5785,82.36795,0.0,0.0,0.0,0.0,Sunny
9.8285,7.9285,87.96362,0.0,0.0,0.0,0.0,Sunny
9.4785,7.8285003,89.44278,0.0,0.0,0.0,0.0,Sunny
8.778501,7.5285,91.86409,0.0,0.0,0.0,0.0,Sunny
8.3285,7.3785,93.73977,0.0,0.0,0.0,0.0,Sunny
7.5285,6.8285003,95.32363,0.0,0.0,0.0,0.0,Sunny
7.0285,6.4785004,96.29461,0.0,0.0,0.0,0.0,Sunny
6.7285004,6.3285003,97.286514,0.0,0.0,0.0,0.0,Sunny
6.4785004,6.1285,97.617386,0.0,0.0,0.0,0.0,Sunny
6.4785004,6.1785,97.95466,0.0,0.0,0.0,0.0,Sunny
6.1285,5.9285,98.62848,0.0,0.0,0.0,0.0,Sunny
5.4785004,5.3785,99.30855,0.0,0.0,0.0,0.0,Sunny
4.9785004,4.8785,99.30576,0.0,0.0,0.0,0.0,Sunny
5.2285004,5.0785003,98.96235,0.0,0.0,0.0,0.0,Sunny
5.6285,5.6285,99.99999,0.0,0.0,0.0,90.0,Cloudy
6.5285,6.2785,98.29364,0.0,0.0,0.0,90.0,Cloudy
7.6785,7.0785003,95.98434,0.0,0.0,0.0,90.0,Cloudy
10.1785,7.9285,85.927925,0.0,0.0,0.0,55.8,Cloudy
12.5785,9.1785,79.779785,0.0,0.0,0.0,11.7,Sunny
14.4785,9.7285,73.15529,0.0,0.0,0.0,0.0,Sunny
15.8785,10.0785,68.44807,0.0,0.0,0.0,0.0,Sunny
16.728498,10.028501,64.624725,0.0,0.0,0.0,0.0,Sunny
16.9285,9.8785,63.172688,0.0,0.0,0.0,0.0,Sunny
16.078499,10.278501,68.48858,0.0,0.0,0.0,0.0,Sunny
10.3785,8.9285,90.73087,0.0,0.0,0.0,0.0,Sunny
9.1285,8.0785,93.14362,0.0,0.0,0.0,0.0,Sunny
8.4285,7.5785003,94.38636,0.0,0.0,0.0,0.0,Sunny
7.7785,7.0285,95.00685,0.0,0.0,0.0,0.0,Sunny
7.7785,7.0785003,95.33274,0.0,0.0,0.0,0.0,Sunny
7.0785003,6.5285,96.29606,0.0,0.0,0.0,0.0,Sunny
6.1285,5.8285003,97.948975,0.0,0.0,0.0,0.0,Sunny
5.6785,5.5285,98.96607,0.0,0.0,0.0,0.0,Sunny
4.9285,4.9285,100.0,0.0,0.0,0.0,12.599999,Sunny
5.0785003,5.0785003,100.0,0.0,0.0,0.0,90.0,Cloudy
5.7785,5.7785,99.99999,0.0,0.0,0.0,90.0,Cloudy
5.7785,5.7285004,99.65459,0.0,0.0,0.0,90.0,Cloudy
5.0785003,4.9285,98.96109,0.0,0.0,0.0,90.0,Cloudy
5.1785,4.6785,96.57672,0.0,0.0,0.0,90.0,Cloudy
5.0785003,4.5285,96.237175,0.0,0.0,0.0,90.0,Cloudy
6.4285,6.2285004,98.63175,0.0,0.0,0.0,90.0,Cloudy
7.8285003,7.1785,95.661316,0.0,0.0,0.0,90.0,Cloudy
9.7285,7.6785,87.06074,0.0,0.0,0.0,65.7,Cloudy
11.9285,8.5785,79.957275,0.0,0.0,0.0,25.199999,Sunny
13.3785,9.1785,75.715866,0.0,0.0,0.0,13.5,Sunny
14.6285,9.1785,69.821815,0.0,0.0,0.0,4.5,Sunny
15.4285,9.3785,67.21847,0.0,0.0,0.0,1.8,Sunny
15.5785,9.6285,67.70275,0.0,0.0,0.0,0.9,Sunny
14.8785,9.9285,72.25384,0.0,0.0,0.0,0.9,Sunny
12.1785,8.5785,78.65219,0.0,0.0,0.0,0.0,Sunny
10.028501,7.8285003,86.20533,0.0,0.0,0.0,0.0,Sunny
7.9785004,6.8285003,92.44657,0.0,0.0,0.0,0.0,Sunny
6.8785,6.1785,95.29983,0.0,0.0,0.0,0.0,Sunny
6.1285,5.4285,95.272125,0.0,0.0,0.0,0.0,Sunny
5.4785004,4.7285004,94.91626,0.0,0.0,0.0,0.0,Sunny
5.0785003,4.4785004,95.901405,0.0,0.0,0.0,0.0,Sunny
4.3785,4.0785003,97.92014,0.0,0.0,0.0,0.0,Sunny
3.8785,3.7784998,99.29959,0.0,0.0,0.0,0.0,Sunny
3.4785,3.4785,100.0,0.0,0.0,0.0,90.0,Cloudy
3.6285,3.6285,99.99999,0.0,0.0,0.0,90.0,Cloudy
4.0785003,4.0285,99.64982,0.0,0.0,0.0,90.0,Cloudy
4.5785003,4.3285003,98.26688,0.0,0.0,0.0,90.0,Cloudy
5.5785003,5.3285003,98.280685,0.0,0.0,0.0,90.0,Cloudy
6.0285,5.5785003,96.935036,0.0,0.0,0.0,90.0,Cloudy
