temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
11.934501,6.9344997,71.45981,0.0,0.0,0.0,0.0,Sunny
11.5845,6.6345,71.63888,0.0,0.0,0.0,0.0,Sunny
11.6345005,6.6345,71.40266,0.0,0.0,0.0,10.5,Sunny
13.7845,7.3845,65.294716,0.0,0.0,0.0,20.1,Sunny
16.6845,8.184501,57.234035,0.0,0.0,0.0,18.300001,Sunny
19.634499,9.2845,51.226494,0.0,0.0,0.0,18.6,Sunny
21.484499,9.8345,47.424114,0.0,0.0,0.0,23.400002,Sunny
22.484499,9.934501,44.918064,0.0,0.0,0.0,23.1,Sunny
23.1845,9.9845,43.196854,0.0,0.0,0.0,0.0,Sunny
23.484499,10.184501,42.99261,0.0,0.0,0.0,0.0,Sunny
23.4345,10.184501,43.12245,0.0,0.0,0.0,0.0,Sunny
22.734499,9.9845,44.38986,0.0,0.0,0.0,0.0,Sunny
20.5845,10.4845,52.344395,0.0,0.0,0.0,0.0,Sunny
18.0845,10.6345005,61.768982,0.0,0.0,0.0,0.0,Sunny
17.0345,11.0345,67.77648,0.0,0.0,0.0,0.0,Sunny
15.5845,10.934501,73.84149,0.0,0.0,0.0,0.0,Sunny
14.6345005,10.8345,77.971375,0.0,0.0,0.0,0.0,Sunny
14.0845,10.7345,80.25848,0.0,0.0,0.0,0.0,Sunny
13.8345,10.3845005,79.6908,0.0,0.0,0.0,0.0,Sunny
13.434501,9.8845005,79.102715,0.0,0.0,0.0,0.0,Sunny
12.9845,9.5845,79.8373,0.0,0.0,0.0,0.0,Sunny
12.4845,9.4845,81.942245,0.0,0.0,0.0,0.0,Sunny
12.0845,9.434501,83.84241,0.0,0.0,0.0,0.0,Sunny
11.7345,9.3345,85.22389,0.0,0.0,0.0,0.0,Sunny
11.2845,9.2845,87.50253,0.0,0.0,0.0,0.0,Sunny
10.3845005,8.8845005,90.42567,0.0,0.0,0.0,0.0,Sunny
10.5845,9.0845,90.44007,0.0,0.0,0.0,0.0,Sunny
13.4845,9.5845,77.2757,0.0,0.0,0.0,0.0,Sunny
16.9345,9.5345,61.708683,0.0,0.0,0.0,0.0,Sunny
19.4345,8.6345005,49.64202,0.0,0.0,0.0,0.0,Sunny
21.0345,8.2345,43.766216,0.0,0.0,0.0,0.0,Sunny
22.0845,8.184501,40.903976,0.0,0.0,0.0,0.0,Sunny
22.8345,8.3345,39.481224,0.0,0.0,0.0,0.0,Sunny
23.1845,8.5845,39.31376,0.0,0.0,0.0,0.0,Sunny
23.134499,8.7345,39.834736,0.0,0.0,0.0,7.2000003,Sunny
22.634499,8.5845,40.645355,0.0,0.0,0.0,23.400002,Sunny
20.2845,8.684501,47.254047,0.0,0.0,0.0,22.2,Sunny
18.0345,8.0845,52.19965,0.0,0.0,0.0,24.0,Sunny
16.9345,8.1345005,56.142582,0.0,0.0,0.0,0.0,Sunny
15.9845,8.3845005,60.65991,0.0,0.0,0.0,0.0,Sunny
15.2345,8.7845,65.38989,0.0,0.0,0.0,0.0,Sunny
14.5345,9.1345005,70.03885,0.0,0.0,0.0,0.3,Sunny
13.8345,9.184501,73.53316,0.0,0.0,0.0,0.0,Sunny
13.184501,9.2345,76.96926,0.0,0.0,0.0,0.0,Sunny
12.5345,9.1345005,79.77353,0.0,0.0,0.0,1.5,Sunny
12.0845,8.934501,81.06668,0.0,0.0,0.0,11.1,Sunny
11.5845,8.934501,83.784035,0.0,0.0,0.0,16.800001,Sunny
11.0345,9.0345,87.47944,0.0,0.0,0.0,13.200001,Sunny
10.5845,8.7845,88.62793,0.0,0.0,0.0,0.6,Sunny
9.6345005,8.434501,92.22887,0.0,0.0,0.0,0.0,Sunny
9.4845,8.3845005,92.84727,0.0,0.0,0.0,0.0,Sunny
11.8345,8.934501,82.41283,0.0,0.0,0.0,0.0,Sunny
15.2845,9.184501,66.96257,0.0,0.0,0.0,0.0,Sunny
18.634499,9.0845,53.79122,0.0,0.0,0.0,0.0,Sunny
20.8345,8.7345,45.833317,0.0,0.0,0.0,0.0,Sunny
22.1845,8.2845,40.93231,0.0,0.0,0.0,0.0,Sunny
22.884499,7.8845,38.177094,0.0,0.0,0.0,0.0,Sunny
23.0845,7.4845,36.703545,0.0,0.0,0.0,6.3,Sunny
22.7845,6.4845,34.90097,0.0,0.0,0.0,0.0,Sunny
21.7845,4.8845,33.200844,0.0,0.0,0.0,0.0,Sunny
18.6845,5.5845,42.21635,0.0,0.0,0.0,0.0,Sunny
16.5845,6.0845,49.887535,0.0,0.0,0.0,0.0,Sunny
15.6345005,7.2844996,57.55794,0.0,0.0,0.0,0.0,Sunny
14.8845005,8.3345,64.87244,0.0,0.0,0.0,0.0,Sunny
14.1345005,8.5345,69.02051,0.0,0.0,0.0,0.0,Sunny
13.5345,8.5345,71.76196,0.0,0.0,0.0,0.0,Sunny
12.8845005,8.6345005,75.37856,0.0,0.0,0.0,0.0,Sunny
11.9845,8.684501,80.236,0.0,0.0,0.0,0.0,Sunny
11.2345,8.4845,83.17811,0.0,0.0,0.0,0.0,Sunny
10.6345005,7.9344997,83.388306,0.0,0.0,0.0,0.0,Sunny
10.1345005,7.4845,83.613014,0.0,0.0,0.0,0.0,Sunny
9.5845,7.2844996,85.57339,0.0,0.0,0.0,0.0,Sunny
9.0345,7.6844997,91.25625,0.0,0.0,0.0,0.0,Sunny
8.684501,7.6844997,93.43809,0.0,0.0,0.0,0.0,Sunny
8.684501,7.6345,93.12021,0.0,0.0,0.0,0.0,Sunny
10.4845,7.7844996,83.37029,0.0,0.0,0.0,0.0,Sunny
13.0845,7.5845,69.27927,0.0,0.0,0.0,0.0,Sunny
15.684501,6.4344997,54.12456,0.0,0.0,0.0,0.0,Sunny
17.7845,3.9845002,39.952377,0.0,0.0,0.0,0.0,Sunny
19.4345,2.6845,32.87478,0.0,0.0,0.0,0.0,Sunny
20.5345,2.1845,29.637848,0.0,0.0,0.0,0.0,Sunny
20.8345,2.5845,29.934813,0.0,0.0,0.0,0.0,Sunny
20.5845,2.7845001,30.833601,0.0,0.0,0.0,0.0,Sunny
19.734499,2.9845002,32.961193,0.0,0.0,0.0,0.0,Sunny
16.5845,4.7345,45.42609,0.0,0.0,0.0,0.0,Sunny
14.8345,4.4845,49.928543,0.0,0.0,0.0,0.0,Sunny
13.8845005,4.6345,53.650707,0.0,0.0,0.0,0.0,Sunny
13.184501,4.7844996,56.741837,0.0,0.0,0.0,0.0,Sunny
12.5345,4.9845,60.037464,0.0,0.0,0.0,0.0,Sunny
12.0845,5.2844996,63.14266,0.0,0.0,0.0,0.0,Sunny
11.684501,5.5344996,65.96414,0.0,0.0,0.0,0.0,Sunny
11.2345,5.9845,70.106285,0.0,0.0,0.0,0.0,Sunny
10.7845,6.5845,75.28074,0.0,0.0,0.0,0.0,Sunny
10.2845,6.9845,79.99684,0.0,0.0,0.0,0.0,Sunny
9.8845005,7.2345,83.58327,0.0,0.0,0.0,0.0,Sunny
9.5345,7.3345,86.15502,0.0,0.0,0.0,0.0,Sunny
9.6345005,7.4344997,86.16522,0.0,0.0,0.0,2.6999998,Sunny
9.5845,7.6844997,87.94174,0.0,0.0,0.0,1.8,Sunny
9.7845,7.8345,87.66092,0.0,0.0,0.0,1.8,Sunny
