temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
22.161001,21.311,94.93894,0.0,0.0,0.0,27.9,Sunny
22.361,21.561,95.237335,0.0,0.0,0.0,33.0,Cloudy
23.361,22.011,92.13655,0.0,0.0,0.0,4.8,Sunny
25.111,22.461,85.261795,0.0,0.0,0.0,31.5,Cloudy
26.361,22.211,77.97589,0.0,0.0,0.0,23.699999,Sunny
27.311,22.011,72.8455,0.0,0.0,0.0,26.1,Sunny
27.711,21.811,70.29696,0.0,0.0,0.0,27.6,Sunny
27.711,22.161001,71.81359,0.0,0.0,0.0,15.9,Sunny
26.761,21.511,72.97344,0.4,0.4,0.0,47.1,Rainy
26.611,20.911001,70.960335,0.0,0.0,0.0,26.1,Sunny
26.761,21.711,73.87151,0.0,0.0,0.0,10.200001,Sunny
26.411001,21.711,75.41078,0.0,0.0,0.0,12.0,Sunny
25.961,21.711,77.443184,0.0,0.0,0.0,1.2,Sunny
25.361,21.911001,81.23576,0.0,0.0,0.0,0.6,Sunny
25.211,22.061,82.717224,0.0,0.0,0.0,7.8,Sunny
25.111,22.061,83.211266,0.0,0.0,0.0,0.6,Sunny
24.761,21.961,84.45027,0.0,0.0,0.0,3.6,Sunny
23.661001,22.161001,91.31597,0.0,0.0,0.0,0.9,Sunny
23.511,21.911001,90.751366,0.0,0.0,0.0,8.099999,Sunny
23.011,21.461,90.99632,0.0,0.0,0.0,16.199999,Sunny
22.711,21.161001,90.9769,0.0,0.0,0.0,2.6999998,Sunny
22.561,21.261,92.373764,0.0,0.0,0.0,12.599999,Sunny
22.461,21.511,94.37096,0.0,0.0,0.0,3.6,Sunny
22.261,21.311,94.3627,0.0,0.0,0.0,1.8,Sunny
22.161001,21.311,94.93894,0.0,0.0,0.0,27.6,Sunny
23.211,21.311,89.08006,0.0,0.0,0.0,5.1,Sunny
23.911001,21.361,85.662254,0.0,0.0,0.0,12.599999,Sunny
25.011,21.161001,79.22557,0.1,0.1,0.0,26.7,Rainy
25.611,20.911001,75.282845,0.2,0.2,0.0,4.8,Rainy
26.511,20.611,70.073746,0.0,0.0,0.0,18.0,Sunny
26.861,20.561,68.43325,0.1,0.1,0.0,11.1,Rainy
27.011,20.461,67.41558,0.1,0.1,0.0,8.4,Rainy
27.111,20.411001,66.814445,0.0,0.0,0.0,7.5,Sunny
26.811,20.411001,68.00267,0.0,0.0,0.0,13.500001,Sunny
26.461,20.361,69.20521,0.0,0.0,0.0,11.4,Sunny
26.011,20.261,70.632034,0.0,0.0,0.0,13.800001,Sunny
25.761,20.411001,72.352806,0.0,0.0,0.0,15.9,Sunny
25.361,20.411001,74.091705,0.0,0.0,0.0,32.699997,Cloudy
25.211,20.511,75.218506,0.0,0.0,0.0,16.5,Sunny
24.911001,20.511,76.57538,0.0,0.0,0.0,9.3,Sunny
24.661001,20.861,79.42085,0.0,0.0,0.0,5.1000004,Sunny
24.311,20.811,80.85304,0.0,0.0,0.0,9.299999,Sunny
23.561,21.011,85.62727,0.0,0.0,0.0,13.2,Sunny
23.111,20.911001,87.44623,0.0,0.0,0.0,13.5,Sunny
22.561,20.511,88.21009,0.0,0.0,0.0,12.599999,Sunny
22.261,20.111,87.641365,0.0,0.0,0.0,13.5,Sunny
22.261,19.961,86.83146,0.0,0.0,0.0,12.599999,Sunny
22.261,19.911001,86.562965,0.0,0.0,0.0,10.799999,Sunny
22.061,19.861,87.35277,0.0,0.0,0.0,6.0,Sunny
21.911001,19.611,86.7989,0.0,0.0,0.0,12.9,Sunny
22.761,19.761,83.19616,0.0,0.0,0.0,10.799999,Sunny
24.511,19.911001,75.57227,0.0,0.0,0.0,15.299999,Sunny
25.761,19.961,70.36766,0.0,0.0,0.0,12.9,Sunny
26.611,19.811,66.30106,0.0,0.0,0.0,23.1,Sunny
26.811,19.911001,65.93238,0.0,0.0,0.0,15.0,Sunny
26.911001,20.011,65.952995,0.1,0.1,0.0,24.900002,Rainy
26.711,20.161001,67.355736,0.1,0.1,0.0,17.7,Rainy
26.411001,20.261,68.98223,0.0,0.0,0.0,6.6,Sunny
26.211,20.411001,70.451225,0.1,0.1,0.0,12.299999,Rainy
25.111,20.461,75.43475,0.0,0.0,0.0,10.5,Sunny
25.561,20.911001,75.506615,0.0,0.0,0.0,16.2,Sunny
24.911001,20.711,77.52499,0.0,0.0,0.0,23.1,Sunny
24.911001,20.211,75.17009,0.0,0.0,0.0,20.7,Sunny
24.511,20.261,77.22659,0.0,0.0,0.0,38.7,Cloudy
23.761,20.361,81.282166,0.0,0.0,0.0,26.400002,Sunny
23.461,19.911001,80.492935,0.0,0.0,0.0,18.6,Sunny
23.161001,19.861,81.710724,0.0,0.0,0.0,40.2,Cloudy
22.811,20.211,85.287926,0.0,0.0,0.0,36.6,Cloudy
22.561,20.361,87.39739,0.0,0.0,0.0,60.300003,Cloudy
22.211,20.311,89.002014,0.1,0.1,0.0,58.800003,Rainy
22.011,20.261,89.81533,0.1,0.1,0.0,51.3,Rainy
21.811,20.161001,90.357925,0.0,0.0,0.0,62.4,Cloudy
22.361,20.411001,88.73955,0.0,0.0,0.0,100.0,Cloudy
21.561,20.611,94.33363,1.9,1.9,0.0,100.0,Rainy
22.011,20.711,92.343254,0.3,0.3,0.0,84.9,Rainy
22.661001,20.311,86.6007,0.1,0.1,0.0,74.100006,Rainy
24.011,20.361,80.06961,0.0,0.0,0.0,52.5,Cloudy
25.261,20.111,73.164894,0.0,0.0,0.0,48.6,Cloudy
25.961,20.011,69.75447,0.0,0.0,0.0,11.4,Sunny
26.361,19.961,67.91399,0.0,0.0,0.0,18.0,Sunny
26.461,20.111,68.14422,0.0,0.0,0.0,18.3,Sunny
25.861,20.211,71.042274,0.0,0.0,0.0,18.3,Sunny
25.561,20.311,72.76579,0.1,0.1,0.0,25.2,Rainy
24.961,20.511,76.34735,0.3,0.3,0.0,15.0,Rainy
25.161001,20.711,76.37831,0.0,0.0,0.0,20.1,Sunny
24.711,20.661001,78.21509,0.0,0.0,0.0,10.5,Sunny
24.761,20.361,76.55229,0.0,0.0,0.0,13.2,Sunny
24.561,20.061,76.049576,0.0,0.0,0.0,22.800001,Sunny
24.411001,19.861,75.79084,0.0,0.0,0.0,33.9,Cloudy
24.161001,19.711,76.22282,0.0,0.0,0.0,28.199999,Sunny
23.661001,19.811,79.03716,0.1,0.1,0.0,69.3,Rainy
23.261,20.161001,82.74092,0.1,0.1,0.0,22.5,Rainy
23.061,19.861,82.20634,0.0,0.0,0.0,48.3,Cloudy
22.561,19.661001,83.69103,0.0,0.0,0.0,63.899998,Cloudy
22.061,19.561,85.74184,0.0,0.0,0.0,12.0,Sunny
21.911001,19.661001,87.06875,0.0,0.0,0.0,37.2,Cloudy
22.261,20.411001,89.28106,0.0,0.0,0.0,60.0,Cloudy
21.411001,20.411001,94.03679,0.7,0.7,0.0,81.600006,Rainy
22.111,20.211,88.99413,0.4,0.4,0.0,68.100006,Rainy
22.911001,19.461,80.9218,0.0,0.0,0.0,52.800003,Cloudy
24.611,19.111,71.47835,0.0,0.0,0.0,39.0,Cloudy
26.211,18.411001,62.211617,0.0,0.0,0.0,18.0,Sunny
