temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
18.837,14.787001,77.34125,0.0,0.0,0.0,13.200001,Sunny
20.637,15.137,70.7454,0.0,0.0,0.0,36.300003,Cloudy
20.337,15.287001,72.76436,0.0,0.0,0.0,12.6,Sunny
21.786999,16.587,72.32756,0.0,0.0,0.0,7.5000005,Sunny
24.137,16.737,63.336525,0.0,0.0,0.0,0.0,Sunny
26.187,16.536999,55.350037,0.0,0.0,0.0,0.0,Sunny
27.737,16.087,49.10412,0.0,0.0,0.0,0.0,Sunny
28.786999,15.037001,43.18872,0.0,0.0,0.0,0.0,Sunny
29.387,14.237,39.617107,0.0,0.0,0.0,13.500001,Sunny
29.786999,13.137,36.043114,0.0,0.0,0.0,21.300001,Sunny
29.837,12.287001,33.99362,0.0,0.0,0.0,21.6,Sunny
29.286999,12.737,36.139744,0.0,0.0,0.0,0.0,Sunny
27.237,17.737,56.137436,0.0,0.0,0.0,0.0,Sunny
24.437,14.237,52.99774,0.0,0.0,0.0,0.0,Sunny
23.987,13.437,51.692055,0.0,0.0,0.0,0.9,Sunny
22.437,14.037001,59.02406,0.0,0.0,0.0,1.5,Sunny
21.387,14.787001,66.05494,0.0,0.0,0.0,16.5,Sunny
23.137,14.037001,56.57186,0.0,0.0,0.0,0.0,Sunny
20.887,14.687,67.67588,0.0,0.0,0.0,0.0,Sunny
20.286999,14.637,69.99932,0.0,0.0,0.0,0.0,Sunny
21.536999,14.337001,63.57717,0.0,0.0,0.0,0.0,Sunny
19.137,14.837001,76.15206,0.0,0.0,0.0,0.0,Sunny
20.036999,15.587001,75.5661,0.0,0.0,0.0,0.0,Sunny
21.286999,15.887,71.32147,0.0,0.0,0.0,0.0,Sunny
19.837,16.286999,80.00613,0.0,0.0,0.0,0.0,Sunny
19.887,16.187,79.25201,0.0,0.0,0.0,0.0,Sunny
19.036999,16.937,87.63175,0.0,0.0,0.0,0.0,Sunny
21.637,16.837,74.16143,0.0,0.0,0.0,0.0,Sunny
23.687,17.337,67.59329,0.0,0.0,0.0,0.0,Sunny
25.687,17.036999,58.850876,0.0,0.0,0.0,0.0,Sunny
27.286999,16.437,51.55117,0.0,0.0,0.0,0.0,Sunny
28.337,16.087,47.41633,0.0,0.0,0.0,0.0,Sunny
28.987,15.437,43.801983,0.0,0.0,0.0,0.0,Sunny
29.337,14.487,40.379017,0.0,0.0,0.0,0.0,Sunny
29.487,13.137,36.67147,0.0,0.0,0.0,0.0,Sunny
29.137,12.837001,36.693768,0.0,0.0,0.0,0.0,Sunny
26.337,18.536999,62.23964,0.0,0.0,0.0,2.7,Sunny
23.587,15.787001,61.62153,0.0,0.0,0.0,1.2,Sunny
22.937,15.387,62.46815,0.0,0.0,0.0,0.0,Sunny
23.337,15.487,61.36775,0.0,0.0,0.0,0.0,Sunny
22.286999,16.087,67.9579,0.0,0.0,0.0,0.0,Sunny
21.187,15.987,72.220024,0.0,0.0,0.0,1.2,Sunny
20.737,16.087,74.720634,0.0,0.0,0.0,6.9,Sunny
20.887,15.987,73.5632,0.0,0.0,0.0,10.5,Sunny
20.536999,16.387,77.10706,0.0,0.0,0.0,15.9,Sunny
19.237,16.637,84.91444,0.0,0.0,0.0,14.4,Sunny
19.036999,16.786999,86.80213,0.0,0.0,0.0,9.9,Sunny
18.587,16.837,89.56066,0.0,0.0,0.0,0.0,Sunny
19.587,17.987,90.48578,0.0,0.0,0.0,100.0,Cloudy
20.437,18.187,86.93301,0.0,0.0,0.0,99.6,Cloudy
20.937,18.237,84.561714,0.0,0.0,0.0,100.0,Cloudy
22.087,18.087,78.07565,0.0,0.0,0.0,100.0,Cloudy
23.637,18.137,71.30108,0.0,0.0,0.0,11.400001,Sunny
25.437,18.137,64.02147,0.0,0.0,0.0,4.5,Sunny
27.036999,17.036999,54.343674,0.0,0.0,0.0,13.8,Sunny
28.286999,15.987,47.25194,0.0,0.0,0.0,13.200001,Sunny
28.937,15.337001,43.64812,0.0,0.0,0.0,18.9,Sunny
29.137,14.687,41.379044,0.0,0.0,0.0,17.4,Sunny
29.137,14.087001,39.80493,0.0,0.0,0.0,10.200001,Sunny
28.637,13.587001,39.666122,0.0,0.0,0.0,6.0,Sunny
25.637,15.837001,54.687016,0.0,0.0,0.0,27.900002,Sunny
24.487,15.787001,58.37943,0.0,0.0,0.0,12.299999,Sunny
23.536999,15.837001,62.005405,0.0,0.0,0.0,6.0,Sunny
22.637,16.036999,66.315865,0.0,0.0,0.0,33.600002,Cloudy
22.187,16.637,70.80911,0.0,0.0,0.0,34.2,Cloudy
21.887,16.786999,72.80609,0.0,0.0,0.0,29.7,Sunny
21.387,16.987,76.024345,0.0,0.0,0.0,39.3,Cloudy
21.137,16.987,77.1988,0.0,0.0,0.0,80.4,Cloudy
21.087,16.937,77.19115,0.0,0.0,0.0,18.0,Sunny
21.286999,16.637,74.81202,0.0,0.0,0.0,6.9,Sunny
20.587,16.286999,76.38186,0.0,0.0,0.0,17.7,Sunny
20.337,15.987,76.09919,0.0,0.0,0.0,17.4,Sunny
19.637,15.837001,78.71214,0.0,0.0,0.0,4.8,Sunny
19.387,15.587001,78.67598,0.0,0.0,0.0,0.0,Sunny
19.837,15.887,77.99038,0.0,0.0,0.0,0.6,Sunny
21.937,16.536999,71.4409,0.0,0.0,0.0,1.2,Sunny
24.036999,16.987,64.73608,0.0,0.0,0.0,0.0,Sunny
