temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
18.5415,11.4915,63.53538,0.0,0.0,0.0,0.0,Sunny
18.1915,11.7915,66.24431,0.0,0.0,0.0,0.0,Sunny
17.7915,11.7915,67.93125,0.0,0.0,0.0,0.0,Sunny
17.8415,11.7915,67.71778,0.0,0.0,0.0,0.0,Sunny
18.8915,10.9915,60.134933,0.0,0.0,0.0,0.0,Sunny
20.6415,10.1915,51.15103,0.0,0.0,0.0,18.0,Sunny
22.5415,8.7915,41.45147,0.0,0.0,0.0,21.300001,Sunny
23.8915,8.091499,36.43531,0.0,0.0,0.0,0.0,Sunny
24.8915,7.8415003,33.738754,0.0,0.0,0.0,0.0,Sunny
25.491499,10.091499,37.890144,0.0,0.0,0.0,0.0,Sunny
25.9415,9.4915,35.438454,0.0,0.0,0.0,0.0,Sunny
26.0915,9.4415,35.007504,0.0,0.0,0.0,0.0,Sunny
25.6915,10.3914995,38.200592,0.0,0.0,0.0,0.0,Sunny
24.8415,9.591499,38.088226,0.0,0.0,0.0,0.0,Sunny
23.491499,9.841499,41.99965,0.0,0.0,0.0,0.0,Sunny
22.4415,9.4915,43.717506,0.0,0.0,0.0,0.0,Sunny
21.7915,9.6915,46.09819,0.0,0.0,0.0,0.0,Sunny
21.2915,10.091499,48.820602,0.0,0.0,0.0,0.0,Sunny
20.9415,10.2415,50.383327,0.0,0.0,0.0,0.0,Sunny
20.3915,10.7415,53.8854,0.0,0.0,0.0,0.0,Sunny
19.8915,11.9915,60.37117,0.0,0.0,0.0,0.0,Sunny
19.5915,13.2415,66.75602,0.0,0.0,0.0,0.0,Sunny
19.3915,14.341499,72.59589,0.0,0.0,0.0,0.0,Sunny
19.1915,15.1915,77.64442,0.0,0.0,0.0,0.0,Sunny
18.8415,15.6915,81.94333,0.0,0.0,0.0,0.0,Sunny
18.6415,15.841499,83.77395,0.0,0.0,0.0,0.0,Sunny
18.5415,15.5415,82.697,0.0,0.0,0.0,0.0,Sunny
18.6915,14.841499,78.322266,0.0,0.0,0.0,0.0,Sunny
20.241499,12.6414995,61.654984,0.0,0.0,0.0,0.0,Sunny
22.2915,10.6915,47.803223,0.0,0.0,0.0,0.0,Sunny
24.0915,9.6414995,39.97106,0.0,0.0,0.0,0.0,Sunny
25.1915,10.4415,39.484108,0.0,0.0,0.0,0.0,Sunny
25.5915,12.341499,43.72171,0.0,0.0,0.0,0.0,Sunny
25.5415,14.6414995,50.93381,0.0,0.0,0.0,0.0,Sunny
25.8415,12.7415,44.223186,0.0,0.0,0.0,17.7,Sunny
24.8915,15.591499,56.27667,0.0,0.0,0.0,25.500002,Sunny
24.991499,16.6915,60.006927,0.0,0.0,0.0,25.2,Sunny
25.241499,13.841499,49.234344,0.0,0.0,0.0,26.7,Sunny
24.241499,9.8914995,40.28232,0.0,0.0,0.0,25.2,Sunny
23.1915,9.7915,42.624172,0.0,0.0,0.0,28.500002,Sunny
22.3415,10.091499,45.788597,0.0,0.0,0.0,26.400002,Sunny
21.9415,10.3914995,47.867313,0.0,0.0,0.0,28.2,Sunny
