temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
11.1715,8.3715,82.88918,0.0,0.0,0.0,0.0,Sunny
10.8715,8.4215,84.84292,0.0,0.0,0.0,0.0,Sunny
10.721499,8.3215,85.11443,0.0,0.0,0.0,0.0,Sunny
12.8215,8.3215,74.10257,0.0,0.0,0.0,0.0,Sunny
15.6715,7.8215,59.56417,0.0,0.0,0.0,0.0,Sunny
18.1215,7.0715,48.44957,0.0,0.0,0.0,0.0,Sunny
20.171501,6.4715,40.918938,0.0,0.0,0.0,0.0,Sunny
21.5715,6.2714996,37.029583,0.0,0.0,0.0,0.0,Sunny
22.4715,5.5214996,33.28149,0.0,0.0,0.0,0.0,Sunny
22.9715,4.7215,30.539822,0.0,0.0,0.0,0.0,Sunny
23.0715,4.3215,29.518652,0.0,0.0,0.0,0.0,Sunny
22.671501,4.0715,29.717468,0.0,0.0,0.0,0.0,Sunny
19.921501,5.2714996,38.248295,0.0,0.0,0.0,0.0,Sunny
17.2215,4.0215,41.504925,0.0,0.0,0.0,0.0,Sunny
16.8715,3.9215,42.138203,0.0,0.0,0.0,0.0,Sunny
16.1215,4.0215,44.508064,0.0,0.0,0.0,0.0,Sunny
15.0715,3.7215002,46.6107,0.0,0.0,0.0,0.0,Sunny
14.3215,3.4215,47.89751,0.0,0.0,0.0,0.0,Sunny
13.8215,3.6715,50.353832,0.0,0.0,0.0,0.0,Sunny
13.1215,4.7215,56.725758,0.0,0.0,0.0,0.0,Sunny
12.4215,5.6714997,63.439617,0.0,0.0,0.0,0.0,Sunny
11.8715,6.1215,67.85502,0.0,0.0,0.0,0.0,Sunny
11.2715,6.2714996,71.33329,0.0,0.0,0.0,0.0,Sunny
10.7715,6.3715,74.24971,0.0,0.0,0.0,0.0,Sunny
10.0215,6.6215,79.41208,0.0,0.0,0.0,26.7,Sunny
9.6715,6.6714997,81.57554,0.0,0.0,0.0,26.400002,Sunny
9.5215,6.8215,83.25388,0.0,0.0,0.0,27.000002,Sunny
11.7715,7.2215,73.665436,0.0,0.0,0.0,13.500001,Sunny
15.2715,7.5214996,59.87441,0.0,0.0,0.0,0.0,Sunny
18.421501,7.1714997,47.87285,0.0,0.0,0.0,16.800001,Sunny
20.3715,6.1714997,39.589737,0.0,0.0,0.0,24.0,Sunny
21.7215,5.2215,34.119793,0.0,0.0,0.0,24.0,Sunny
22.671501,4.6215,30.883785,0.0,0.0,0.0,28.2,Sunny
23.1215,4.0715,28.918427,0.0,0.0,0.0,29.7,Sunny
23.0715,3.6215,28.103056,0.0,0.0,0.0,28.2,Sunny
22.521502,3.5215,28.851818,0.0,0.0,0.0,28.500002,Sunny
20.271502,5.8215,38.883564,0.0,0.0,0.0,8.1,Sunny
18.1215,5.7215,44.149387,0.0,0.0,0.0,9.0,Sunny
16.9715,5.8715,47.966373,0.0,0.0,0.0,13.200001,Sunny
16.0715,6.4214997,52.75534,0.0,0.0,0.0,18.300001,Sunny
15.2715,6.9214997,57.467102,0.0,0.0,0.0,4.5,Sunny
