temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
10.4045,10.2545,99.00409,0.0,0.0,0.0,0.0,Sunny
9.804501,9.804501,100.0,0.0,0.0,0.0,90.0,Cloudy
11.054501,11.054501,100.0,0.0,0.0,0.0,90.0,Cloudy
12.9045,12.2045,95.51385,0.0,0.0,0.0,0.0,Sunny
15.8545,13.0045,83.179634,0.0,0.0,0.0,0.0,Sunny
17.904501,13.554501,75.70757,0.0,0.0,0.0,0.0,Sunny
19.154501,13.5045,69.78113,0.0,0.0,0.0,0.9,Sunny
20.1045,13.2545,64.721634,0.0,0.0,0.0,7.2,Sunny
20.6045,12.8545,61.135822,0.0,0.0,0.0,9.9,Sunny
20.8045,12.4045,58.63271,0.0,0.0,0.0,10.799999,Sunny
20.8045,12.1545,57.677376,0.0,0.0,0.0,7.2,Sunny
19.904501,13.7045,67.47592,0.0,0.0,0.0,10.799999,Sunny
15.6545,12.6045,82.07369,0.0,0.0,0.0,20.699999,Sunny
14.6045,12.1545,85.246994,0.0,0.0,0.0,0.0,Sunny
13.554501,11.4545,87.13139,0.0,0.0,0.0,0.0,Sunny
12.9545,11.2045,89.12091,0.0,0.0,0.0,0.0,Sunny
12.1545,11.0045,92.683075,0.0,0.0,0.0,0.0,Sunny
11.2045,10.5045,95.45496,0.0,0.0,0.0,0.0,Sunny
11.054501,10.3545,95.449715,0.0,0.0,0.0,0.0,Sunny
11.6045,10.8545,95.15231,0.0,0.0,0.0,0.0,Sunny
12.7045,11.7045,93.63649,0.0,0.0,0.0,0.0,Sunny
12.4545,11.7045,95.18378,0.0,0.0,0.0,0.0,Sunny
12.054501,11.9545,99.343636,0.0,0.0,0.0,0.0,Sunny
11.6045,11.554501,99.67019,0.0,0.0,0.0,90.0,Cloudy
11.0045,10.7045,98.02621,0.0,0.0,0.0,21.599998,Sunny
10.8545,10.6045,98.35084,0.0,0.0,0.0,89.1,Cloudy
10.304501,10.304501,100.0,0.0,0.0,0.0,100.0,Cloudy
11.3545,11.054501,98.031586,0.0,0.0,0.0,100.0,Cloudy
13.3545,12.0045,91.53641,0.0,0.0,0.0,58.5,Cloudy
15.9545,12.1545,78.170364,0.0,0.0,0.0,1.2,Sunny
17.5045,11.8545,69.45932,0.0,0.0,0.0,6.6000004,Sunny
18.6045,11.2545,62.300495,0.0,0.0,0.0,0.6,Sunny
19.3545,10.7545,57.51167,0.0,0.0,0.0,0.0,Sunny
19.7045,10.804501,56.461895,0.0,0.0,0.0,0.90000004,Sunny
19.6045,11.1045,57.95651,0.0,0.0,0.0,1.5,Sunny
18.7045,12.7545,68.339966,0.0,0.0,0.0,18.900002,Sunny
14.304501,12.1045,86.62988,0.0,0.0,0.0,10.8,Sunny
12.8545,11.304501,90.301796,0.0,0.0,0.0,7.2000003,Sunny
13.5045,11.2545,86.265785,0.0,0.0,0.0,0.3,Sunny
14.2045,11.554501,84.08655,0.0,0.0,0.0,0.0,Sunny
13.304501,11.5045,88.854866,0.0,0.0,0.0,0.0,Sunny
12.1545,11.1545,93.60987,0.0,0.0,0.0,0.0,Sunny
10.6045,10.1045,96.71936,0.0,0.0,0.0,0.0,Sunny
9.554501,9.2545,98.0037,0.0,0.0,0.0,0.0,Sunny
9.554501,9.1045,97.0188,0.0,0.0,0.0,0.0,Sunny
9.2545,8.8545,97.33989,0.0,0.0,0.0,0.0,Sunny
8.8545,8.554501,97.99271,0.0,0.0,0.0,0.0,Sunny
10.7045,10.4045,98.0216,0.0,0.0,0.0,0.0,Sunny
10.3545,10.054501,98.016174,0.0,0.0,0.0,90.0,Cloudy
10.0045,10.0045,100.0,0.0,0.0,0.0,87.299995,Cloudy
9.7545,9.7545,100.0,0.0,0.0,0.0,90.0,Cloudy
10.5045,10.2045,98.0185,0.0,0.0,0.0,90.0,Cloudy
12.054501,11.0045,93.29496,0.0,0.0,0.0,54.899998,Cloudy
14.7545,11.9045,83.048,0.0,0.0,0.0,12.599999,Sunny
16.7545,12.304501,75.02495,0.0,0.0,0.0,0.0,Sunny
17.9545,11.8545,67.518005,0.0,0.0,0.0,0.0,Sunny
18.7045,11.304501,62.117386,0.0,0.0,0.0,0.0,Sunny
19.0545,10.5045,57.62931,0.0,0.0,0.0,0.0,Sunny
19.0045,10.6545,58.389687,0.0,0.0,0.0,0.0,Sunny
18.2045,12.1545,67.79201,0.0,0.0,0.0,0.0,Sunny
13.6545,10.7545,82.63966,0.0,0.0,0.0,0.0,Sunny
12.2545,10.1545,87.00843,0.0,0.0,0.0,0.0,Sunny
12.9545,10.4045,84.50514,0.0,0.0,0.0,0.0,Sunny
10.5045,9.4545,93.215416,0.0,0.0,0.0,0.0,Sunny
10.5045,9.4545,93.215416,0.0,0.0,0.0,0.0,Sunny
