temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
20.0935,19.9935,99.38299,0.0,0.0,0.0,90.0,Cloudy
20.4935,20.3935,99.38488,0.0,0.0,0.0,90.0,Cloudy
20.9935,20.6435,97.869576,0.0,0.0,0.0,90.0,Cloudy
22.043499,20.9435,93.48821,0.0,0.0,0.0,55.800003,Cloudy
24.793499,20.9935,79.43911,0.0,0.0,0.0,57.0,Cloudy
26.8435,20.2435,67.17433,0.0,0.0,0.0,29.7,Sunny
28.2435,19.043499,57.448395,0.0,0.0,0.0,26.7,Sunny
29.3435,18.0935,50.78798,0.0,0.0,0.0,14.400001,Sunny
29.9435,17.4435,47.094723,0.0,0.0,0.0,19.800001,Sunny
29.9935,17.3435,46.66395,0.0,0.0,0.0,23.4,Sunny
29.7435,17.6935,48.39681,0.0,0.0,0.0,12.900001,Sunny
29.1935,17.8435,50.430965,0.0,0.0,0.0,34.2,Cloudy
27.6935,18.293499,56.60277,0.0,0.0,0.0,31.800001,Cloudy
25.8435,18.2435,62.91487,0.0,0.0,0.0,32.4,Cloudy
25.2435,18.4935,66.22664,0.0,0.0,0.0,26.400002,Sunny
23.9935,19.543499,76.19664,0.0,0.0,0.0,26.1,Sunny
22.8435,20.1435,84.7656,0.0,0.0,0.0,23.400002,Sunny
21.9435,20.293499,90.36709,0.0,0.0,0.0,22.2,Sunny
21.4435,20.3435,93.45956,0.0,0.0,0.0,19.2,Sunny
21.1435,20.3435,95.19436,0.0,0.0,0.0,22.2,Sunny
20.793499,20.1435,96.06944,0.0,0.0,0.0,8.1,Sunny
20.4935,19.9935,96.95744,0.0,0.0,0.0,7.2000003,Sunny
19.9435,19.5935,97.85271,0.0,0.0,0.0,24.900002,Sunny
19.8935,19.5935,98.156296,0.0,0.0,0.0,15.3,Sunny
20.4935,20.1935,98.16461,0.0,0.0,0.0,65.1,Cloudy
20.6935,20.4935,98.77491,0.0,0.0,0.0,100.0,Cloudy
21.5935,20.8435,95.503654,0.0,0.0,0.0,97.8,Cloudy
23.6935,20.8935,84.335266,0.0,0.0,0.0,46.5,Cloudy
25.7435,19.4435,68.21472,0.0,0.0,0.0,39.899998,Cloudy
27.4935,18.543499,58.172962,0.0,0.0,0.0,24.3,Sunny
28.6935,18.1935,53.0671,0.0,0.0,0.0,35.100002,Cloudy
29.3435,17.7435,49.682056,0.0,0.0,0.0,40.5,Cloudy
29.793499,17.293499,47.0548,0.0,0.0,0.0,55.800003,Cloudy
29.8935,17.1935,46.49002,0.0,0.0,0.0,49.2,Cloudy
29.6935,16.9435,46.289646,0.0,0.0,0.0,42.300003,Cloudy
28.9435,16.543499,47.12667,0.0,0.0,0.0,38.4,Cloudy
27.3435,18.043499,56.874313,0.0,0.0,0.0,29.100002,Sunny
25.5935,18.293499,64.05518,0.0,0.0,0.0,2.4,Sunny
24.3935,18.6435,70.331436,0.0,0.0,0.0,3.3000002,Sunny
23.543499,18.8935,75.18214,0.0,0.0,0.0,1.5,Sunny
22.793499,19.3935,81.158615,0.0,0.0,0.0,2.1000001,Sunny
22.043499,19.793499,87.080864,0.0,0.0,0.0,1.2,Sunny
21.4935,19.9435,90.89734,0.0,0.0,0.0,2.1,Sunny
21.1435,19.9435,92.868416,0.0,0.0,0.0,1.2,Sunny
20.793499,19.7435,93.71859,0.0,0.0,0.0,1.2,Sunny
20.3935,19.543499,94.87247,0.0,0.0,0.0,2.4,Sunny
20.0935,19.3435,95.45337,0.0,0.0,0.0,3.6000001,Sunny
20.1935,19.5935,96.35062,0.0,0.0,0.0,5.4,Sunny
20.2435,19.9435,98.16115,0.0,0.0,0.0,2.4,Sunny
20.543499,20.1935,97.862404,0.0,0.0,0.0,2.1,Sunny
21.8435,20.5935,92.61896,0.0,0.0,0.0,2.7,Sunny
24.0935,21.1435,83.60569,0.0,0.0,0.0,0.6,Sunny
26.1935,20.293499,70.01429,0.0,0.0,0.0,15.3,Sunny
