temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
16.464,13.964001,85.16586,0.0,0.0,0.0,22.800001,Sunny
14.514,13.264,92.20891,0.0,0.0,0.0,23.400002,Sunny
14.864,13.464001,91.333466,0.0,0.0,0.0,21.900002,Sunny
18.264,14.114,76.75476,0.0,0.0,0.0,23.1,Sunny
21.064001,14.1640005,64.71907,0.0,0.0,0.0,24.900002,Sunny
24.064001,13.6640005,52.21912,0.0,0.0,0.0,26.400002,Sunny
26.564001,12.114,40.6651,0.0,0.0,0.0,24.900002,Sunny
28.264,11.114,34.458565,0.0,0.0,0.0,26.1,Sunny
29.364,10.714001,31.482512,0.0,0.0,0.0,25.2,Sunny
30.064001,10.1640005,29.150124,0.0,0.0,0.0,20.7,Sunny
30.214,9.714001,28.042725,0.0,0.0,0.0,16.800001,Sunny
29.764,8.9140005,27.26969,0.0,0.0,0.0,21.0,Sunny
27.664,9.464001,31.96423,0.0,0.0,0.0,7.2000003,Sunny
24.664,8.364,35.435688,0.0,0.0,0.0,0.0,Sunny
22.564001,8.214,39.807713,0.0,0.0,0.0,0.0,Sunny
20.164,9.4140005,50.006767,0.0,0.0,0.0,0.0,Sunny
19.714,9.9140005,53.174034,0.0,0.0,0.0,0.0,Sunny
18.564001,10.364,58.86861,0.0,0.0,0.0,0.0,Sunny
18.964,10.314,57.224,0.0,0.0,0.0,0.0,Sunny
19.764,9.864,52.832195,0.0,0.0,0.0,0.0,Sunny
19.364,9.564,53.082726,0.0,0.0,0.0,0.0,Sunny
19.014,9.314,53.348988,0.0,0.0,0.0,0.0,Sunny
18.564001,9.264,54.686066,0.0,0.0,0.0,0.0,Sunny
17.864,9.464001,57.915703,0.0,0.0,0.0,0.0,Sunny
16.164,10.014,66.92277,0.0,0.0,0.0,0.0,Sunny
14.864,10.4140005,74.70562,0.0,0.0,0.0,0.0,Sunny
16.214,10.564,69.20432,0.0,0.0,0.0,0.0,Sunny
17.564001,11.114,65.89244,0.0,0.0,0.0,0.0,Sunny
20.264,11.6640005,57.73519,0.0,0.0,0.0,0.0,Sunny
23.114,13.014,53.00208,0.0,0.0,0.0,0.0,Sunny
25.914,13.864,47.37658,0.0,0.0,0.0,0.0,Sunny
27.964,14.314,43.241714,0.0,0.0,0.0,0.0,Sunny
29.264,13.714001,38.56899,0.0,0.0,0.0,0.0,Sunny
30.014,12.764,34.718792,0.0,0.0,0.0,0.0,Sunny
30.114,11.764,32.324276,0.0,0.0,0.0,0.0,Sunny
29.614,9.764,29.124445,0.0,0.0,0.0,0.0,Sunny
27.814001,10.4140005,33.765526,0.0,0.0,0.0,0.0,Sunny
26.914,8.714001,31.754726,0.0,0.0,0.0,0.0,Sunny
25.164,9.614,37.419334,0.0,0.0,0.0,0.0,Sunny
24.864,10.264,39.78853,0.0,0.0,0.0,0.0,Sunny
20.814001,10.214001,50.68677,0.0,0.0,0.0,0.0,Sunny
19.464,9.9140005,54.006065,0.0,0.0,0.0,0.0,Sunny
19.764,9.514,51.60651,0.0,0.0,0.0,0.0,Sunny
21.714,8.1640005,41.781174,0.0,0.0,0.0,0.0,Sunny
18.764,8.6640005,51.864223,0.0,0.0,0.0,0.0,Sunny
19.114,8.364,49.723457,0.0,0.0,0.0,0.0,Sunny
18.064001,8.714001,54.37333,0.0,0.0,0.0,0.0,Sunny
18.314001,8.764,53.707867,0.0,0.0,0.0,0.0,Sunny
17.564001,10.014,61.23751,0.0,0.0,0.0,0.0,Sunny
17.364,10.314,63.271084,0.0,0.0,0.0,0.0,Sunny
17.114,10.564,65.35953,0.0,0.0,0.0,0.0,Sunny
18.364,11.614,64.768036,0.0,0.0,0.0,0.0,Sunny
21.114,13.064,60.066547,0.0,0.0,0.0,0.0,Sunny
23.814001,14.314,55.291492,0.0,0.0,0.0,0.0,Sunny
26.314001,15.264,50.64538,0.0,0.0,0.0,0.0,Sunny
28.364,15.064,44.339508,0.0,0.0,0.0,0.0,Sunny
29.664,12.6640005,35.19368,0.0,0.0,0.0,0.0,Sunny
30.214,10.9140005,30.38081,0.0,0.0,0.0,0.0,Sunny
30.014,10.464001,29.825132,0.0,0.0,0.0,3.6000001,Sunny
29.564001,10.514,30.70975,0.0,0.0,0.0,4.8,Sunny
28.264,12.864,38.668125,0.0,0.0,0.0,50.700005,Cloudy
26.064001,11.564,40.391727,0.0,0.0,0.0,60.000004,Cloudy
25.364,11.964001,43.229794,0.0,0.0,0.0,85.50001,Cloudy
23.564001,14.114,55.40812,0.0,0.0,0.0,31.800001,Cloudy
21.964,14.564,62.85515,0.0,0.0,0.0,44.100002,Cloudy
21.364,14.814,66.26326,0.0,0.0,0.0,30.600002,Cloudy
20.364,14.9140005,70.92206,0.0,0.0,0.0,39.600002,Cloudy
19.564001,14.864,74.28463,0.0,0.0,0.0,24.0,Sunny
18.364,14.864,80.06074,0.0,0.0,0.0,19.2,Sunny
18.064001,14.6640005,80.53754,0.0,0.0,0.0,36.0,Cloudy
17.364,14.314,82.2874,0.0,0.0,0.0,7.2,Sunny
18.314001,13.614,74.07127,0.0,0.0,0.0,18.9,Sunny
16.214,14.114,87.37774,0.0,0.0,0.0,4.2,Sunny
15.6640005,13.6640005,87.897095,0.0,0.0,0.0,0.3,Sunny
16.064,13.814,86.5178,0.0,0.0,0.0,3.0,Sunny
18.564001,13.614,72.92013,0.0,0.0,0.0,0.0,Sunny
20.764,14.4140005,66.99868,0.0,0.0,0.0,0.0,Sunny
23.314001,14.9140005,59.232334,0.0,0.0,0.0,0.0,Sunny
25.814001,14.6640005,50.18988,0.0,0.0,0.0,0.0,Sunny
27.764,14.064,43.04708,0.0,0.0,0.0,15.6,Sunny
29.214,13.364,37.809628,0.0,0.0,0.0,27.3,Sunny
29.764,12.614,34.877163,0.0,0.0,0.0,31.800001,Cloudy
29.714,12.1640005,33.959408,0.0,0.0,0.0,24.0,Sunny
29.214,11.714001,33.93203,0.0,0.0,0.0,60.000004,Cloudy
27.564001,12.714001,39.88661,0.0,0.0,0.0,43.5,Cloudy
24.814001,14.614,53.094353,0.0,0.0,0.0,42.3,Cloudy
24.564001,13.9140005,51.507114,0.0,0.0,0.0,73.5,Cloudy
24.714,14.464001,52.897648,0.0,0.0,0.0,37.5,Cloudy
22.614,14.964001,61.995556,0.0,0.0,0.0,25.5,Sunny
21.464,15.114,67.14242,0.0,0.0,0.0,42.0,Cloudy
20.464,15.564,73.489975,0.0,0.0,0.0,57.0,Cloudy
20.114,15.514,74.85605,0.0,0.0,0.0,11.1,Sunny
18.864,15.214001,79.361336,0.0,0.0,0.0,2.7,Sunny
18.864,15.264,79.616554,0.0,0.0,0.0,23.7,Sunny
18.564001,15.4140005,81.90849,0.0,0.0,0.0,35.100002,Cloudy
17.914,15.514,85.86694,0.0,0.0,0.0,47.7,Cloudy
18.014,15.464001,85.05571,0.0,0.0,0.0,9.6,Sunny
16.764,15.464001,92.04287,0.0,0.0,0.0,0.0,Sunny
17.064001,15.714001,91.76654,0.0,0.0,0.0,0.0,Sunny
19.914,16.364,80.016655,0.0,0.0,0.0,0.0,Sunny
22.464,16.564001,69.30377,0.0,0.0,0.0,0.0,Sunny
25.164,16.014,56.88598,0.0,0.0,0.0,0.0,Sunny
27.314001,14.714001,46.091957,0.0,0.0,0.0,5.9999995,Sunny
28.514,13.764,40.412685,0.0,0.0,0.0,30.3,Cloudy
29.114,13.114,37.413815,0.0,0.0,0.0,21.0,Sunny
29.614,12.564,35.064632,0.0,0.0,0.0,31.800001,Cloudy
29.364,12.014,34.31125,0.0,0.0,0.0,61.800003,Cloudy
28.814001,11.6640005,34.61229,0.0,0.0,0.0,60.000004,Cloudy
27.564001,12.014,38.094627,0.0,0.0,0.0,24.300001,Sunny
