temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
10.037001,9.837001,98.67024,0.0,0.0,0.0,90.299995,Cloudy
10.387,10.287001,99.33499,0.0,0.0,0.0,92.4,Cloudy
11.337001,11.187,99.01135,0.0,0.0,0.0,93.0,Cloudy
13.237,12.787001,97.1027,0.0,0.0,0.0,92.4,Cloudy
15.337001,13.937,91.363815,0.0,0.0,0.0,24.3,Sunny
17.837,14.687,81.81675,0.0,0.0,0.0,0.6,Sunny
19.887,14.987,73.38965,0.0,0.0,0.0,1.8000001,Sunny
20.987,14.937,68.35324,0.0,0.0,0.0,1.2,Sunny
21.587,14.537001,64.20737,0.0,0.0,0.0,1.8000001,Sunny
21.637,14.387,63.39405,0.0,0.0,0.0,4.8,Sunny
21.187,14.187,64.328,0.0,0.0,0.0,1.8000001,Sunny
18.887,15.387,80.132286,0.0,0.0,0.0,1.2,Sunny
15.937,13.787001,87.069275,0.0,0.0,0.0,3.0,Sunny
16.437,13.887,84.8872,0.0,0.0,0.0,5.1,Sunny
14.987,13.437,90.45402,0.0,0.0,0.0,0.0,Sunny
14.537001,13.337001,92.51127,0.0,0.0,0.0,0.0,Sunny
13.737,12.737,93.68601,0.0,0.0,0.0,0.0,Sunny
12.937,11.737,92.42079,0.0,0.0,0.0,0.0,Sunny
15.087001,12.537001,84.74072,0.0,0.0,0.0,0.0,Sunny
12.937,11.637,91.81266,0.0,0.0,0.0,2.1,Sunny
12.687,11.837001,94.566925,0.0,0.0,0.0,0.9,Sunny
12.387,11.887,96.76427,0.0,0.0,0.0,3.0,Sunny
12.087001,11.887,98.6914,0.0,0.0,0.0,6.0,Sunny
11.837001,11.787001,99.670784,0.0,0.0,0.0,8.099999,Sunny
11.637,11.637,100.0,0.0,0.0,0.0,93.0,Cloudy
11.487,11.437,99.66987,0.0,0.0,0.0,94.2,Cloudy
11.637,11.537001,99.341484,0.0,0.0,0.0,90.0,Cloudy
12.937,12.787001,99.02361,0.0,0.0,0.0,90.0,Cloudy
15.037001,14.287001,95.27751,0.0,0.0,0.0,44.1,Cloudy
18.286999,15.187,82.13707,0.0,0.0,0.0,9.0,Sunny
20.286999,15.537001,74.169014,0.0,0.0,0.0,8.099999,Sunny
21.337,14.887,66.68578,0.0,0.0,0.0,3.6,Sunny
21.837,13.987,61.023163,0.0,0.0,0.0,0.6,Sunny
21.737,13.687,60.212887,0.0,0.0,0.0,1.8,Sunny
21.187,13.737,62.477768,0.0,0.0,0.0,0.0,Sunny
19.087,14.537001,74.92604,0.0,0.0,0.0,0.0,Sunny
16.337,13.737,84.6012,0.0,0.0,0.0,0.0,Sunny
15.587001,13.537001,87.60489,0.0,0.0,0.0,0.0,Sunny
14.487,12.937,90.41864,0.0,0.0,0.0,0.0,Sunny
14.237,12.837001,91.29294,0.0,0.0,0.0,0.0,Sunny
13.137,12.087001,93.349686,0.0,0.0,0.0,0.0,Sunny
12.437,11.537001,94.24466,0.0,0.0,0.0,0.0,Sunny
11.637,10.887,95.15351,0.0,0.0,0.0,0.0,Sunny
11.487,10.787001,95.46482,0.0,0.0,0.0,0.0,Sunny
11.637,11.037001,96.105896,0.0,0.0,0.0,0.0,Sunny
11.237,10.837001,97.38069,0.0,0.0,0.0,0.0,Sunny
10.637,10.437,98.67649,0.0,0.0,0.0,0.0,Sunny
10.437,10.237,98.67441,0.0,0.0,0.0,0.9,Sunny
10.487,10.487,100.0,0.0,0.0,0.0,90.0,Cloudy
10.937,10.837001,99.33785,0.0,0.0,0.0,90.0,Cloudy
11.437,11.287001,99.01212,0.0,0.0,0.0,90.0,Cloudy
12.437,12.187,98.371056,0.0,0.0,0.0,90.0,Cloudy
14.087001,12.787001,91.88285,0.0,0.0,0.0,90.0,Cloudy
16.536999,13.637,82.990395,0.0,0.0,0.0,36.899998,Cloudy
18.437,13.987,75.30439,0.0,0.0,0.0,22.5,Sunny
19.837,13.887,68.566574,0.0,0.0,0.0,0.0,Sunny
20.587,13.337001,63.16058,0.0,0.0,0.0,0.0,Sunny
20.737,13.037001,61.366634,0.0,0.0,0.0,0.0,Sunny
20.337,12.987,62.69382,0.0,0.0,0.0,0.0,Sunny
18.337,13.687,74.31636,0.0,0.0,0.0,0.0,Sunny
14.887,12.837001,87.541664,0.0,0.0,0.0,0.0,Sunny
14.687,12.837001,88.67718,0.0,0.0,0.0,0.0,Sunny
14.137,12.637,90.69047,0.0,0.0,0.0,0.0,Sunny
13.637,12.237,91.25393,0.0,0.0,0.0,0.0,Sunny
12.987,11.687,91.815735,0.0,0.0,0.0,0.0,Sunny
12.137,11.087001,93.29915,0.0,0.0,0.0,0.0,Sunny
10.937,10.287001,95.76472,0.0,0.0,0.0,0.0,Sunny
11.137,10.487,95.77127,0.0,0.0,0.0,0.0,Sunny
11.187,10.587001,96.09236,0.0,0.0,0.0,0.0,Sunny
10.887,10.287001,96.08329,0.0,0.0,0.0,0.0,Sunny
10.587001,10.037001,96.39608,0.0,0.0,0.0,0.0,Sunny
10.287001,9.737,96.38769,0.0,0.0,0.0,0.0,Sunny
10.037001,9.637,97.35611,0.0,0.0,0.0,0.0,Sunny
10.337001,9.987,97.688614,0.0,0.0,0.0,0.0,Sunny
10.937,10.537001,97.37457,0.0,0.0,0.0,0.0,Sunny
12.487,11.337001,92.70143,0.0,0.0,0.0,17.1,Sunny
14.537001,12.137,85.5207,0.0,0.0,0.0,22.5,Sunny
16.337,12.487,77.971405,0.0,0.0,0.0,8.099999,Sunny
17.786999,12.487,71.13163,0.0,0.0,0.0,0.0,Sunny
18.737,11.987,64.84925,0.0,0.0,0.0,0.0,Sunny
19.187,11.837001,62.43334,0.0,0.0,0.0,0.0,Sunny
19.237,11.387,60.416363,0.0,0.0,0.0,0.0,Sunny
18.786999,11.487,62.54867,0.0,0.0,0.0,0.0,Sunny
17.036999,12.137,72.8862,0.0,0.0,0.0,0.0,Sunny
14.337001,11.637,83.824425,0.0,0.0,0.0,0.0,Sunny
13.637,11.587001,87.42754,0.0,0.0,0.0,0.0,Sunny
13.187,11.537001,89.73095,0.0,0.0,0.0,0.0,Sunny
12.687,11.387,91.79727,0.0,0.0,0.0,0.0,Sunny
12.287001,11.037001,92.07762,0.0,0.0,0.0,0.0,Sunny
11.787001,10.637,92.66271,0.0,0.0,0.0,0.0,Sunny
11.337001,10.237,92.947525,0.0,0.0,0.0,0.0,Sunny
10.787001,9.887,94.17169,0.0,0.0,0.0,0.0,Sunny
10.387,9.587001,94.78813,0.0,0.0,0.0,0.0,Sunny
10.087001,9.337001,95.09538,0.0,0.0,0.0,0.0,Sunny
9.787001,9.137,95.7269,0.0,0.0,0.0,0.0,Sunny
9.537001,8.887,95.71862,0.0,0.0,0.0,0.0,Sunny
9.037001,8.637,97.33536,0.0,0.0,0.0,1.8,Sunny
9.137,8.737,97.337456,0.0,0.0,0.0,13.5,Sunny
9.937,9.337001,96.054375,0.0,0.0,0.0,36.0,Cloudy
11.387,9.937,90.800934,0.0,0.0,0.0,90.0,Cloudy
12.787001,10.287001,84.76889,0.0,0.0,0.0,90.0,Cloudy
14.637,10.437,75.92309,0.0,0.0,0.0,19.8,Sunny
16.036999,10.787001,71.036316,0.0,0.0,0.0,13.5,Sunny
17.137,10.837001,66.46071,0.0,0.0,0.0,5.3999996,Sunny
17.887,11.087001,64.44974,0.0,0.0,0.0,3.6,Sunny
18.137,11.287001,64.291466,0.0,0.0,0.0,0.9,Sunny
17.837,11.387,65.95068,0.0,0.0,0.0,0.9,Sunny
