temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
7.157,7.157,100.0,0.0,0.0,0.0,100.0,Cloudy
7.657,7.657,100.0,0.0,0.0,0.0,100.0,Cloudy
8.007,7.857,98.98508,0.0,0.0,0.0,100.0,Cloudy
8.807,8.607,98.65732,0.0,0.0,0.0,100.0,Cloudy
10.007,9.757,98.33987,0.0,0.0,0.0,100.0,Cloudy
12.657001,10.707001,87.92022,0.0,0.0,0.0,100.0,Cloudy
15.057,11.807,80.92441,0.0,0.0,0.0,86.4,Cloudy
16.857,12.207001,74.06254,0.0,0.0,0.0,3.0,Sunny
18.007,11.807,67.085045,0.0,0.0,0.0,3.6000001,Sunny
18.557001,11.307,62.70359,0.0,0.0,0.0,2.4,Sunny
18.507,11.457001,63.52767,0.0,0.0,0.0,4.8,Sunny
16.857,13.707001,81.69202,0.0,0.0,0.0,5.4,Sunny
13.007,11.457001,90.3128,0.0,0.0,0.0,24.300001,Sunny
11.007,10.157001,94.49675,0.0,0.0,0.0,52.200005,Cloudy
10.657001,9.857,94.79894,0.0,0.0,0.0,32.4,Cloudy
9.657001,8.857,94.758736,0.0,0.0,0.0,11.400001,Sunny
8.557,7.857,95.36094,0.0,0.0,0.0,5.4,Sunny
8.007,7.357,95.66736,0.0,0.0,0.0,0.0,Sunny
7.407,6.957,96.96819,0.0,0.0,0.0,0.0,Sunny
7.3069997,7.007,97.96805,0.0,0.0,0.0,0.0,Sunny
7.607,7.607,100.0,0.0,0.0,0.0,90.0,Cloudy
7.407,7.407,100.0,0.0,0.0,0.0,90.0,Cloudy
7.457,7.457,100.0,0.0,0.0,0.0,90.0,Cloudy
6.957,6.857,99.31669,0.0,0.0,0.0,90.0,Cloudy
6.607,6.507,99.314766,0.0,0.0,0.0,90.0,Cloudy
7.3069997,7.157,98.97942,0.0,0.0,0.0,90.0,Cloudy
7.657,7.157,96.643,0.0,0.0,0.0,90.0,Cloudy
8.057,7.907,98.98548,0.0,0.0,0.0,90.0,Cloudy
8.407001,7.507,94.064,0.0,0.0,0.0,90.0,Cloudy
10.357,9.807,96.38964,0.0,0.0,0.0,90.0,Cloudy
13.107,11.307,88.838615,0.0,0.0,0.0,41.399998,Cloudy
15.707001,11.557,76.34922,0.0,0.0,0.0,0.9,Sunny
17.107,10.307,64.27765,0.0,0.0,0.0,0.0,Sunny
17.657,9.357,58.255188,0.0,0.0,0.0,0.0,Sunny
17.557001,9.657001,59.81682,0.0,0.0,0.0,0.0,Sunny
15.957001,12.407001,79.465485,0.0,0.0,0.0,0.0,Sunny
11.657001,9.807,88.421555,0.0,0.0,0.0,0.0,Sunny
9.857,8.657001,92.24202,0.0,0.0,0.0,0.0,Sunny
8.957001,8.157001,94.730316,0.0,0.0,0.0,0.0,Sunny
8.157001,7.757,97.31689,0.0,0.0,0.0,0.0,Sunny
7.757,7.607,98.98306,0.0,0.0,0.0,0.0,Sunny
7.5569997,7.507,99.65946,0.0,0.0,0.0,0.0,Sunny
7.457,7.3069997,98.98062,0.0,0.0,0.0,0.0,Sunny
7.0569997,6.907,98.977394,0.0,0.0,0.0,0.0,Sunny
6.657,6.657,100.0,0.0,0.0,0.0,4.2,Sunny
6.3069997,6.3069997,100.0,0.0,0.0,0.0,90.0,Cloudy
6.0569997,6.0569997,100.0,0.0,0.0,0.0,90.0,Cloudy
6.357,6.357,100.0,0.0,0.0,0.0,90.0,Cloudy
5.5569997,5.5569997,100.0,0.0,0.0,0.0,90.0,Cloudy
5.957,5.907,99.655075,0.0,0.0,0.0,90.0,Cloudy
6.257,6.207,99.6559,0.0,0.0,0.0,90.0,Cloudy
6.8069997,6.407,97.288216,0.0,0.0,0.0,90.0,Cloudy
8.307,7.5569997,95.02733,0.0,0.0,0.0,90.0,Cloudy
9.807,9.307,96.69895,0.0,0.0,0.0,90.0,Cloudy
13.007,11.007,87.659935,0.0,0.0,0.0,21.599998,Sunny
15.607,11.457001,76.33316,0.0,0.0,0.0,0.9,Sunny
17.057001,10.357,64.696915,0.0,0.0,0.0,0.0,Sunny
17.657,9.807,60.041622,0.0,0.0,0.0,0.0,Sunny
17.457,9.657001,60.19547,0.0,0.0,0.0,0.0,Sunny
15.957001,10.457001,69.84856,0.0,0.0,0.0,0.0,Sunny
10.957001,9.257,89.2583,0.0,0.0,0.0,0.0,Sunny
9.507,8.357,92.53443,0.0,0.0,0.0,0.0,Sunny
9.357,8.357,93.471924,0.0,0.0,0.0,0.0,Sunny
9.007,7.9570003,93.13724,0.0,0.0,0.0,0.0,Sunny
8.657001,7.657,93.4367,0.0,0.0,0.0,0.0,Sunny
8.157001,7.357,94.69755,0.0,0.0,0.0,0.0,Sunny
7.5569997,6.957,95.98052,0.0,0.0,0.0,0.0,Sunny
7.107,6.707,97.29462,0.0,0.0,0.0,0.0,Sunny
6.757,6.507,98.29674,0.0,0.0,0.0,0.0,Sunny
6.107,6.0569997,99.65549,0.0,0.0,0.0,0.0,Sunny
5.507,5.507,100.0,0.0,0.0,0.0,90.0,Cloudy
5.407,5.407,99.99999,0.0,0.0,0.0,90.0,Cloudy
5.007,5.007,100.0,0.0,0.0,0.0,90.0,Cloudy
5.357,5.357,99.99999,0.0,0.0,0.0,90.0,Cloudy
5.607,5.5569997,99.6541,0.0,0.0,0.0,90.0,Cloudy
6.5569997,6.3069997,98.29403,0.0,0.0,0.0,90.0,Cloudy
7.857,7.5569997,97.97685,0.0,0.0,0.0,90.0,Cloudy
11.107,8.907001,86.31426,0.0,0.0,0.0,42.3,Cloudy
13.707001,9.907001,77.83002,0.0,0.0,0.0,24.3,Sunny
15.857,9.857,67.53372,0.0,0.0,0.0,0.0,Sunny
16.907,9.357,61.08343,0.0,0.0,0.0,0.0,Sunny
17.257,8.857,57.765724,0.0,0.0,0.0,0.0,Sunny
16.957,8.207001,56.339157,0.0,0.0,0.0,0.0,Sunny
15.307,9.607,68.792206,0.0,0.0,0.0,0.0,Sunny
10.057,8.607,90.708374,0.0,0.0,0.0,0.0,Sunny
9.657001,8.257,90.988396,0.0,0.0,0.0,0.0,Sunny
8.807,7.907,94.08231,0.0,0.0,0.0,0.0,Sunny
8.207001,7.607,96.00089,0.0,0.0,0.0,0.0,Sunny
7.8069997,7.357,96.97773,0.0,0.0,0.0,0.0,Sunny
7.157,6.857,97.96564,0.0,0.0,0.0,0.0,Sunny
6.3069997,6.257,99.656044,0.0,0.0,0.0,0.0,Sunny
5.657,5.607,99.65425,0.0,0.0,0.0,90.0,Cloudy
5.157,5.157,100.0,0.0,0.0,0.0,90.0,Cloudy
4.8069997,4.8069997,100.0,0.0,0.0,0.0,90.0,Cloudy
5.3069997,5.257,99.65327,0.0,0.0,0.0,90.0,Cloudy
5.457,5.457,99.99999,0.0,0.0,0.0,90.0,Cloudy
6.357,6.157,98.630974,0.0,0.0,0.0,90.0,Cloudy
6.507,6.357,98.97289,0.0,0.0,0.0,90.0,Cloudy
6.657,6.507,98.97412,0.0,0.0,0.0,90.0,Cloudy
7.157,6.857,97.96564,0.0,0.0,0.0,90.0,Cloudy
8.207001,7.757,96.9872,0.0,0.0,0.0,90.0,Cloudy
9.557,8.307,91.9122,0.0,0.0,0.0,90.0,Cloudy
11.807,9.107,83.528244,0.0,0.0,0.0,45.899998,Cloudy
13.607,9.757,77.5544,0.0,0.0,0.0,24.3,Sunny
14.957001,10.357,73.97791,0.0,0.0,0.0,0.0,Sunny
15.757,10.257,69.809364,0.0,0.0,0.0,0.0,Sunny
15.757,10.307,70.04275,0.0,0.0,0.0,0.0,Sunny
14.657001,11.107,79.279655,0.0,0.0,0.0,0.0,Sunny
10.407001,9.107,91.65503,0.0,0.0,0.0,4.5,Sunny
