temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
8.976,4.826,75.23275,0.0,0.0,0.0,0.0,Sunny
8.776,4.876,76.52151,0.0,0.0,0.0,0.0,Sunny
8.576,4.976,78.10543,0.0,0.0,0.0,0.0,Sunny
11.026,5.126,66.97578,0.0,0.0,0.0,0.0,Sunny
14.376,4.626,51.938854,0.0,0.0,0.0,0.0,Sunny
16.376,2.526,39.403942,0.0,0.0,0.0,0.0,Sunny
17.825998,0.87600005,31.947153,0.0,0.0,0.0,0.0,Sunny
18.876,0.47599998,29.06129,0.0,0.0,0.0,0.0,Sunny
19.675999,-0.024,26.66663,0.0,0.0,0.0,0.0,Sunny
20.175999,-0.27400002,25.388298,0.0,0.0,0.0,0.0,Sunny
20.226,-0.374,25.12658,0.0,0.0,0.0,0.0,Sunny
19.825998,-0.724,25.108059,0.0,0.0,0.0,0.0,Sunny
19.325998,0.82600003,28.979897,0.0,0.0,0.0,0.0,Sunny
18.376,0.976,31.085215,0.0,0.0,0.0,0.0,Sunny
14.126,2.426,45.206,0.0,0.0,0.0,0.0,Sunny
13.526,3.576,50.986378,0.0,0.0,0.0,0.0,Sunny
12.826,4.176,55.667206,0.0,0.0,0.0,0.0,Sunny
12.076,4.426,59.50815,0.0,0.0,0.0,0.0,Sunny
11.526,4.626,62.575165,0.0,0.0,0.0,0.0,Sunny
11.176,5.026,65.85298,0.0,0.0,0.0,0.0,Sunny
10.776,5.426,69.531425,0.0,0.0,0.0,0.0,Sunny
10.426,5.676,72.41491,0.0,0.0,0.0,0.0,Sunny
10.076,5.676,74.12708,0.0,0.0,0.0,0.0,Sunny
9.826,5.726,75.63915,0.0,0.0,0.0,0.0,Sunny
9.376,6.576,82.66615,0.0,0.0,0.0,17.1,Sunny
9.176,6.776,84.94516,0.0,0.0,0.0,1.5,Sunny
8.976,6.926,86.98831,0.0,0.0,0.0,0.3,Sunny
10.626,7.176,79.22841,0.0,0.0,0.0,5.4,Sunny
13.326,7.326,67.00345,0.0,0.0,0.0,0.0,Sunny
15.826,7.076,56.051834,0.0,0.0,0.0,0.0,Sunny
17.675999,6.026,46.37026,0.0,0.0,0.0,5.1000004,Sunny
18.925999,4.876,39.586254,0.0,0.0,0.0,0.0,Sunny
19.776,4.126,35.62928,0.0,0.0,0.0,0.0,Sunny
20.276,3.376,32.768578,0.0,0.0,0.0,0.0,Sunny
20.325998,3.026,31.869701,0.0,0.0,0.0,0.0,Sunny
19.876,3.026,32.769363,0.0,0.0,0.0,0.0,Sunny
16.976,6.176,48.97166,0.0,0.0,0.0,0.0,Sunny
15.676,5.626,51.2136,0.0,0.0,0.0,0.0,Sunny
14.676,5.976,55.950237,0.0,0.0,0.0,0.0,Sunny
13.926,6.326,60.1667,0.0,0.0,0.0,0.0,Sunny
13.176,6.826,65.384766,0.0,0.0,0.0,0.0,Sunny
12.526,7.426,71.08518,0.0,0.0,0.0,0.0,Sunny
11.976,7.776,75.48196,0.0,0.0,0.0,0.0,Sunny
11.426,7.826,78.53961,0.0,0.0,0.0,0.0,Sunny
10.826,7.726,81.172714,0.0,0.0,0.0,1.5,Sunny
10.376,7.576,82.790886,0.0,0.0,0.0,0.0,Sunny
10.026,7.326,83.31501,0.0,0.0,0.0,2.7,Sunny
9.476,7.276,86.149055,0.0,0.0,0.0,2.4,Sunny
8.526,6.776,88.7558,0.0,0.0,0.0,0.90000004,Sunny
8.276,6.476,88.429985,0.0,0.0,0.0,0.0,Sunny
8.026,6.426,89.63469,0.0,0.0,0.0,7.2000003,Sunny
9.876,6.626,80.21396,0.0,0.0,0.0,3.9,Sunny
12.876,6.876,66.90794,0.0,0.0,0.0,22.2,Sunny
15.326,6.476,55.540764,0.0,0.0,0.0,3.9,Sunny
17.126,5.626,46.699177,0.0,0.0,0.0,1.5,Sunny
18.376,4.476,39.843597,0.0,0.0,0.0,0.0,Sunny
19.175999,3.576,35.580994,0.0,0.0,0.0,0.0,Sunny
19.626,2.826,32.813503,0.0,0.0,0.0,0.0,Sunny
19.626,2.176,31.332571,0.0,0.0,0.0,0.0,Sunny
19.126,2.326,32.66943,0.0,0.0,0.0,0.0,Sunny
15.926,2.926,41.717754,0.0,0.0,0.0,0.0,Sunny
13.776,2.626,46.905617,0.0,0.0,0.0,0.6,Sunny
12.726,2.326,49.17047,0.0,0.0,0.0,0.3,Sunny
11.526,2.226,52.832367,0.0,0.0,0.0,3.0,Sunny
11.126,2.376,54.832363,0.0,0.0,0.0,0.0,Sunny
11.176,1.576,51.61863,0.0,0.0,0.0,0.0,Sunny
10.476,0.426,49.784027,0.0,0.0,0.0,0.0,Sunny
9.926,0.62600005,52.398205,0.0,0.0,0.0,0.0,Sunny
9.376,1.2260001,56.76676,0.0,0.0,0.0,0.0,Sunny
8.876,1.776,61.070606,0.0,0.0,0.0,0.0,Sunny
8.326,2.226,65.45344,0.0,0.0,0.0,0.0,Sunny
7.726,2.526,69.6477,0.0,0.0,0.0,0.0,Sunny
7.076,1.776,69.02045,0.0,0.0,0.0,0.0,Sunny
6.826,1.826,70.46465,0.0,0.0,0.0,0.0,Sunny
6.376,2.026,73.72326,0.0,0.0,0.0,0.0,Sunny
8.176,2.376,66.832466,0.0,0.0,0.0,0.0,Sunny
11.276,1.926,52.57689,0.0,0.0,0.0,0.0,Sunny
13.976,-0.92399997,35.85546,0.0,0.0,0.0,0.0,Sunny
15.826,-3.624,26.072042,0.0,0.0,0.0,0.0,Sunny
17.126,-5.474,20.881222,0.0,0.0,0.0,0.0,Sunny
17.976,-7.024,17.580946,0.0,0.0,0.0,0.0,Sunny
18.325998,-8.224,15.675332,0.0,0.0,0.0,0.0,Sunny
18.126,-8.474,15.567672,0.0,0.0,0.0,0.0,Sunny
17.325998,-7.624,17.488243,0.0,0.0,0.0,0.0,Sunny
14.576,-5.324,24.858603,0.0,0.0,0.0,0.0,Sunny
12.076,-3.774,32.88056,0.0,0.0,0.0,0.0,Sunny
11.376,-2.524,37.793015,0.0,0.0,0.0,0.0,Sunny
11.026,-1.874,40.581844,0.0,0.0,0.0,0.0,Sunny
10.026,-1.324,45.166687,0.0,0.0,0.0,0.0,Sunny
8.576,-0.27400002,53.761234,0.0,0.0,0.0,0.0,Sunny
7.776,0.62600005,60.583702,0.0,0.0,0.0,0.0,Sunny
7.476,1.826,67.39899,0.0,0.0,0.0,0.0,Sunny
7.426,2.726,72.10368,0.0,0.0,0.0,0.0,Sunny
7.026,3.126,76.23215,0.0,0.0,0.0,0.0,Sunny
6.626,3.076,78.07677,0.0,0.0,0.0,0.0,Sunny
6.226,2.926,79.408936,0.0,0.0,0.0,0.0,Sunny
5.576,3.476,86.348816,0.0,0.0,0.0,0.0,Sunny
5.326,3.776,89.73484,0.0,0.0,0.0,0.0,Sunny
5.076,3.776,91.30788,0.0,0.0,0.0,0.0,Sunny
6.626,4.226,84.65968,0.0,0.0,0.0,0.0,Sunny
9.426,4.476,71.22565,0.0,0.0,0.0,0.0,Sunny
12.126,3.426,55.289944,0.0,0.0,0.0,0.0,Sunny
14.776,0.57600003,37.966904,0.0,0.0,0.0,0.0,Sunny
16.876,-1.674,28.178623,0.0,0.0,0.0,0.0,Sunny
18.075998,-2.974,23.729527,0.0,0.0,0.0,0.0,Sunny
18.575998,-3.624,21.909567,0.0,0.0,0.0,0.0,Sunny
18.476,-3.524,22.212479,0.0,0.0,0.0,3.3000002,Sunny
17.726,-3.824,22.767551,0.0,0.0,0.0,6.0,Sunny
14.726,-1.924,31.74153,0.0,0.0,0.0,0.0,Sunny
12.226,-0.92399997,40.195507,0.0,0.0,0.0,0.0,Sunny
10.976,0.426,48.15549,0.0,0.0,0.0,0.0,Sunny
9.926,2.026,57.93379,0.0,0.0,0.0,0.0,Sunny
9.376,2.826,63.62916,0.0,0.0,0.0,0.0,Sunny
9.126,2.076,61.349545,0.0,0.0,0.0,0.0,Sunny
8.876,1.276,58.922462,0.0,0.0,0.0,0.0,Sunny
8.376,1.526,62.051292,0.0,0.0,0.0,0.0,Sunny
7.626,2.426,69.62737,0.0,0.0,0.0,0.0,Sunny
6.776,3.776,81.18679,0.0,0.0,0.0,0.0,Sunny
6.276,4.576,88.873344,0.0,0.0,0.0,0.0,Sunny
5.876,4.676,92.00158,0.0,0.0,0.0,0.0,Sunny
4.876,3.826,92.914505,0.0,0.0,0.0,0.0,Sunny
4.776,3.126,89.05998,0.0,0.0,0.0,0.0,Sunny
4.626,2.626,86.86566,0.0,0.0,0.0,0.0,Sunny
6.326,2.676,77.4785,0.0,0.0,0.0,1.8,Sunny
8.726,3.926,71.843185,0.0,0.0,0.0,27.0,Sunny
11.326,2.476,54.496613,0.0,0.0,0.0,5.3999996,Sunny
14.226,-0.324,36.856632,0.0,0.0,0.0,0.0,Sunny
16.476,-3.574,25.107172,0.0,0.0,0.0,0.0,Sunny
17.825998,-5.174,20.438292,0.0,0.0,0.0,0.0,Sunny
18.575998,-5.224,19.424778,0.0,0.0,0.0,0.0,Sunny
18.575998,-4.324,20.789715,0.0,0.0,0.0,2.7,Sunny
17.726,-3.324,23.633997,0.0,0.0,0.0,20.400002,Sunny
15.576,-1.574,30.838306,0.0,0.0,0.0,0.0,Sunny
13.026,-0.324,39.847683,0.0,0.0,0.0,0.0,Sunny
11.626,1.076,48.339104,0.0,0.0,0.0,0.0,Sunny
10.576,1.7260001,54.29749,0.0,0.0,0.0,0.0,Sunny
9.976,1.826,56.921772,0.0,0.0,0.0,0.0,Sunny
9.576,1.4760001,57.022457,0.0,0.0,0.0,0.0,Sunny
9.176,1.9760001,60.708744,0.0,0.0,0.0,0.0,Sunny
8.876,2.376,63.739735,0.0,0.0,0.0,0.0,Sunny
8.576,2.776,66.9191,0.0,0.0,0.0,0.0,Sunny
8.326,2.926,68.788956,0.0,0.0,0.0,0.0,Sunny
8.026,3.176,71.4565,0.0,0.0,0.0,0.0,Sunny
7.676,3.426,74.48173,0.0,0.0,0.0,0.0,Sunny
7.526,2.926,72.63537,0.0,0.0,0.0,0.0,Sunny
7.376,3.026,73.90421,0.0,0.0,0.0,0.0,Sunny
7.126,3.226,76.248825,0.0,0.0,0.0,0.0,Sunny
8.976,3.426,68.198364,0.0,0.0,0.0,0.0,Sunny
12.376,3.876,56.139202,0.0,0.0,0.0,0.0,Sunny
15.676,2.426,40.912537,0.0,0.0,0.0,0.0,Sunny
18.376,1.126,31.42226,0.0,0.0,0.0,0.0,Sunny
20.175999,1.176,28.192404,0.0,0.0,0.0,0.0,Sunny
21.425999,1.826,27.349382,0.0,0.0,0.0,3.6000001,Sunny
22.175999,2.276,26.976871,0.0,0.0,0.0,3.3000002,Sunny
22.425999,2.376,26.75937,0.0,0.0,0.0,1.5,Sunny
22.075998,2.376,27.335526,0.0,0.0,0.0,2.1000001,Sunny
19.825998,6.176,40.961277,0.0,0.0,0.0,0.0,Sunny
17.026,5.326,46.028004,0.0,0.0,0.0,9.3,Sunny
15.176,4.776,49.8481,0.0,0.0,0.0,13.8,Sunny
13.876,5.226,55.938473,0.0,0.0,0.0,4.5,Sunny
13.076,5.776,61.21986,0.0,0.0,0.0,10.5,Sunny
12.626,6.126,64.59213,0.0,0.0,0.0,1.8000001,Sunny
12.176,6.076,66.29961,0.0,0.0,0.0,0.0,Sunny
11.726,5.776,66.893234,0.0,0.0,0.0,0.0,Sunny
11.326,5.476,67.27279,0.0,0.0,0.0,0.0,Sunny
11.026,5.176,67.20906,0.0,0.0,0.0,0.0,Sunny
10.776,4.676,65.99518,0.0,0.0,0.0,0.0,Sunny
10.276,4.426,67.04901,0.0,0.0,0.0,0.0,Sunny
9.576,5.076,73.52523,0.0,0.0,0.0,0.0,Sunny
9.476,5.076,74.02062,0.0,0.0,0.0,0.0,Sunny
9.276,4.876,73.985016,0.0,0.0,0.0,0.0,Sunny
11.576,4.826,63.24524,0.0,0.0,0.0,0.0,Sunny
15.576,4.976,49.26731,0.0,0.0,0.0,0.0,Sunny
19.276,5.526,40.52209,0.0,0.0,0.0,0.0,Sunny
21.726,6.526,37.32981,0.0,0.0,0.0,0.0,Sunny
23.226,6.876,34.90701,0.0,0.0,0.0,0.0,Sunny
24.126,6.626,32.502937,0.0,0.0,0.0,0.0,Sunny
24.575998,6.676,31.747238,0.0,0.0,0.0,0.0,Sunny
24.476,6.926,32.490414,0.0,0.0,0.0,0.0,Sunny
23.776,7.026,34.117386,0.0,0.0,0.0,0.0,Sunny
21.575998,8.376,42.745438,0.0,0.0,0.0,0.0,Sunny
19.126,8.226,49.223488,0.0,0.0,0.0,0.0,Sunny
18.376,7.676,49.692272,0.0,0.0,0.0,0.0,Sunny
17.126,7.176,51.95807,0.0,0.0,0.0,0.0,Sunny
16.575998,7.126,53.618618,0.0,0.0,0.0,0.0,Sunny
15.826,6.976,55.669186,0.0,0.0,0.0,0.0,Sunny
15.176,6.826,57.44316,0.0,0.0,0.0,0.6,Sunny
14.626,7.376,61.797264,0.0,0.0,0.0,15.900001,Sunny
14.026,8.576,69.70292,0.0,0.0,0.0,25.2,Sunny
13.676,9.776,77.30565,0.0,0.0,0.0,23.1,Sunny
13.076,10.076,82.01803,0.0,0.0,0.0,9.6,Sunny
12.676,10.026,83.91107,0.0,0.0,0.0,0.90000004,Sunny
12.476,10.476,87.611725,0.0,0.0,0.0,3.9,Sunny
12.226,10.426,88.7657,0.0,0.0,0.0,0.0,Sunny
11.826,10.176,89.62655,0.0,0.0,0.0,0.3,Sunny
13.926,10.376,79.174126,0.0,0.0,0.0,0.0,Sunny
17.825998,10.576,62.537224,0.0,0.0,0.0,0.0,Sunny
20.825998,9.726,49.022125,0.0,0.0,0.0,0.0,Sunny
22.575998,8.326,40.082054,0.0,0.0,0.0,0.0,Sunny
23.626,8.276,37.488647,0.0,0.0,0.0,8.400001,Sunny
24.276,8.226,35.93051,0.0,0.0,0.0,19.2,Sunny
24.526,8.176,35.27665,0.0,0.0,0.0,23.400002,Sunny
24.376,8.076,35.35398,0.0,0.0,0.0,29.1,Sunny
23.776,7.926,36.278923,0.0,0.0,0.0,28.500002,Sunny
21.675999,9.326,45.298958,0.0,0.0,0.0,23.400002,Sunny
18.825998,9.476,54.569782,0.0,0.0,0.0,19.5,Sunny
