temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
9.3,9.1,98.66252,0.0,0.0,0.0,0.0,Sunny
9.2,9.1,99.32875,0.0,0.0,0.0,18.0,Sunny
10.25,10.15,99.33428,0.0,0.0,0.0,32.399998,Cloudy
11.9,11.0,94.22106,0.0,0.0,0.0,42.3,Cloudy
14.4,12.4,87.785126,0.0,0.0,0.0,8.099999,Sunny
17.0,12.75,76.05614,0.0,0.0,0.0,0.0,Sunny
18.75,12.65,67.68103,0.0,0.0,0.0,0.3,Sunny
19.75,12.6,63.387333,0.0,0.0,0.0,0.0,Sunny
20.35,12.4,60.280727,0.0,0.0,0.0,0.0,Sunny
20.65,12.0,57.639553,0.0,0.0,0.0,0.0,Sunny
20.55,11.75,57.04794,0.0,0.0,0.0,0.0,Sunny
19.35,14.3,72.58847,0.0,0.0,0.0,0.0,Sunny
17.7,12.35,70.88218,0.0,0.0,0.0,0.9,Sunny
16.75,12.1,74.044044,0.0,0.0,0.0,0.0,Sunny
14.55,11.7,83.023346,0.0,0.0,0.0,0.0,Sunny
12.1,10.8,91.76101,0.0,0.0,0.0,0.0,Sunny
11.3,10.3,93.5682,0.0,0.0,0.0,0.0,Sunny
10.4,9.75,95.74712,0.0,0.0,0.0,0.0,Sunny
9.85,9.45,97.35225,0.0,0.0,0.0,0.0,Sunny
9.2,9.0,98.661476,0.0,0.0,0.0,0.0,Sunny
8.75,8.65,99.32635,0.0,0.0,0.0,0.0,Sunny
8.55,8.45,99.32529,0.0,0.0,0.0,0.0,Sunny
8.35,8.25,99.3242,0.0,0.0,0.0,0.0,Sunny
8.3,8.2,99.32394,0.0,0.0,0.0,0.0,Sunny
7.45,7.2,98.306076,0.0,0.0,0.0,4.2000003,Sunny
8.1,7.75,97.647705,0.0,0.0,0.0,24.900002,Sunny
8.85,8.4,97.002335,0.0,0.0,0.0,18.300001,Sunny
11.4,9.45,87.80775,0.0,0.0,0.0,9.900001,Sunny
14.5,10.55,77.17643,0.0,0.0,0.0,6.0,Sunny
16.35,10.9,70.15797,0.0,0.0,0.0,6.0,Sunny
17.55,11.05,65.67128,0.0,0.0,0.0,0.0,Sunny
18.4,11.05,62.253704,0.0,0.0,0.0,0.0,Sunny
19.0,10.9,59.367294,0.0,0.0,0.0,2.1000001,Sunny
19.3,10.75,57.689777,0.0,0.0,0.0,0.0,Sunny
19.2,10.45,56.902027,0.0,0.0,0.0,6.9,Sunny
18.15,13.3,73.32302,0.0,0.0,0.0,0.0,Sunny
15.4,11.05,75.29485,0.0,0.0,0.0,1.5,Sunny
14.8,10.8,76.96711,0.0,0.0,0.0,0.0,Sunny
11.6,9.95,89.609055,0.0,0.0,0.0,0.0,Sunny
10.5,9.25,91.96992,0.0,0.0,0.0,0.0,Sunny
9.75,8.6,92.548256,0.0,0.0,0.0,0.0,Sunny
9.25,8.25,93.46655,0.0,0.0,0.0,0.0,Sunny
8.55,7.8,95.03671,0.0,0.0,0.0,0.0,Sunny
8.25,7.55,95.349846,0.0,0.0,0.0,0.0,Sunny
8.1,7.3,94.69521,0.0,0.0,0.0,0.0,Sunny
7.65,6.95,95.328064,0.0,0.0,0.0,0.0,Sunny
7.2,6.65,96.2996,0.0,0.0,0.0,0.0,Sunny
7.25,6.8,96.964455,0.0,0.0,0.0,0.0,Sunny
6.4,6.25,98.972015,0.0,0.0,0.0,0.0,Sunny
7.0,6.75,98.30001,0.0,0.0,0.0,0.0,Sunny
7.85,7.55,97.976746,0.0,0.0,0.0,0.0,Sunny
10.3,8.95,91.339714,0.0,0.0,0.0,0.0,Sunny
13.5,10.6,82.62057,0.0,0.0,0.0,0.0,Sunny
15.75,10.75,72.17308,0.0,0.0,0.0,0.0,Sunny
17.2,10.85,66.25355,0.0,0.0,0.0,0.0,Sunny
18.15,10.9,62.611088,0.0,0.0,0.0,0.0,Sunny
18.8,10.55,58.729866,0.0,0.0,0.0,0.0,Sunny
19.1,10.4,57.067146,0.0,0.0,0.0,0.0,Sunny
18.9,10.25,57.208134,0.0,0.0,0.0,0.0,Sunny
17.8,11.4,66.16137,0.0,0.0,0.0,0.0,Sunny
15.2,10.5,73.52883,0.0,0.0,0.0,0.0,Sunny
14.3,10.3,76.88815,0.0,0.0,0.0,0.0,Sunny
13.65,10.05,78.869965,0.0,0.0,0.0,0.0,Sunny
11.0,9.0,87.47626,0.0,0.0,0.0,0.0,Sunny
9.4,8.4,93.47407,0.0,0.0,0.0,0.0,Sunny
