temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
10.776,10.676,99.33703,0.0,0.0,0.0,0.0,Sunny
10.826,10.676,99.007385,0.0,0.0,0.0,0.0,Sunny
12.826,12.126,95.511154,0.0,0.0,0.0,0.0,Sunny
15.526,13.376,87.03077,0.0,0.0,0.0,0.0,Sunny
18.075998,14.226,78.23133,0.0,0.0,0.0,0.0,Sunny
20.226,14.176,68.20108,0.0,0.0,0.0,0.0,Sunny
21.626,13.626,60.382908,0.0,0.0,0.0,0.0,Sunny
22.476,13.226,55.859695,0.0,0.0,0.0,0.0,Sunny
22.925999,12.626,52.264603,0.0,0.0,0.0,0.0,Sunny
23.075998,12.076,49.954872,0.0,0.0,0.0,0.0,Sunny
22.726,12.076,51.02514,0.0,0.0,0.0,0.0,Sunny
20.425999,13.876,66.06657,0.0,0.0,0.0,0.0,Sunny
19.976,13.826,67.71002,0.0,0.0,0.0,6.8999996,Sunny
18.976,13.926,72.52141,0.0,0.0,0.0,3.8999999,Sunny
16.276,13.776,85.145935,0.0,0.0,0.0,1.8000001,Sunny
14.676,13.376,91.91848,0.0,0.0,0.0,0.0,Sunny
14.476,13.376,93.11274,0.0,0.0,0.0,0.0,Sunny
13.526,12.676,94.60149,0.0,0.0,0.0,0.0,Sunny
12.776,12.126,95.824196,0.0,0.0,0.0,0.0,Sunny
12.726,12.276,97.09126,0.0,0.0,0.0,0.0,Sunny
12.176,11.876,98.044136,0.0,0.0,0.0,0.0,Sunny
11.776,11.626,99.01475,0.0,0.0,0.0,0.0,Sunny
11.826,11.826,100.0,0.0,0.0,0.0,0.0,Sunny
11.976,11.976,100.0,0.0,0.0,0.0,89.1,Cloudy
12.476,12.476,100.0,0.0,0.0,0.0,90.0,Cloudy
12.426,12.426,100.0,0.0,0.0,0.0,90.0,Cloudy
12.476,12.326,99.02012,0.0,0.0,0.0,90.0,Cloudy
14.476,13.626,94.64024,0.0,0.0,0.0,7.2,Sunny
17.825998,14.576,81.28919,0.0,0.0,0.0,0.0,Sunny
20.126,14.576,70.42169,0.0,0.0,0.0,0.0,Sunny
21.526,14.326,63.574734,0.0,0.0,0.0,0.0,Sunny
22.276,13.726,58.41392,0.0,0.0,0.0,5.4,Sunny
22.626,13.176,55.172916,0.0,0.0,0.0,4.2000003,Sunny
22.575998,12.626,53.38563,0.0,0.0,0.0,1.2,Sunny
22.075998,12.476,54.49564,0.0,0.0,0.0,0.6,Sunny
19.425999,13.926,70.516884,0.0,0.0,0.0,0.0,Sunny
17.075998,13.226,78.08239,0.0,0.0,0.0,2.4,Sunny
16.675999,13.176,79.82731,0.0,0.0,0.0,1.5,Sunny
15.726,13.326,85.644,0.0,0.0,0.0,0.6,Sunny
15.126,13.426,89.58489,0.0,0.0,0.0,0.0,Sunny
14.876,13.326,90.44616,0.0,0.0,0.0,0.0,Sunny
14.426,13.076,91.60386,0.0,0.0,0.0,0.0,Sunny
13.976,12.826,92.78282,0.0,0.0,0.0,0.0,Sunny
13.476,12.526,93.98129,0.0,0.0,0.0,0.0,Sunny
13.076,12.226,94.583,0.0,0.0,0.0,0.0,Sunny
12.526,11.826,95.50084,0.0,0.0,0.0,0.0,Sunny
11.576,11.076,96.74395,0.0,0.0,0.0,0.0,Sunny
11.026,10.626,97.376396,0.0,0.0,0.0,0.0,Sunny
10.676,10.676,100.0,0.0,0.0,0.0,0.0,Sunny
11.176,11.026,99.01012,0.0,0.0,0.0,0.0,Sunny
12.126,11.576,96.43868,0.0,0.0,0.0,14.4,Sunny
14.076,12.226,88.6263,0.0,0.0,0.0,0.9,Sunny
16.626,13.076,79.56018,0.0,0.0,0.0,0.0,Sunny
18.976,13.226,69.29326,0.0,0.0,0.0,0.0,Sunny
20.626,13.026,61.743233,0.0,0.0,0.0,0.0,Sunny
21.675999,12.426,55.659584,0.0,0.0,0.0,0.0,Sunny
22.226,12.026,52.426266,0.0,0.0,0.0,0.0,Sunny
22.175999,11.676,51.386505,0.0,0.0,0.0,0.0,Sunny
21.526,11.376,52.416782,0.0,0.0,0.0,0.0,Sunny
19.226,11.976,62.855022,0.0,0.0,0.0,0.0,Sunny
16.175999,12.376,78.20351,0.0,0.0,0.0,0.0,Sunny
15.476,12.176,80.71446,0.0,0.0,0.0,0.0,Sunny
14.526,12.226,86.0838,0.0,0.0,0.0,0.0,Sunny
14.026,12.426,90.08975,0.0,0.0,0.0,0.0,Sunny
13.776,12.126,89.77565,0.0,0.0,0.0,0.0,Sunny
13.426,11.826,90.0456,0.0,0.0,0.0,0.0,Sunny
12.926,11.576,91.509224,0.0,0.0,0.0,0.0,Sunny
12.076,11.126,93.91699,0.0,0.0,0.0,0.0,Sunny
11.726,10.876,94.526955,0.0,0.0,0.0,0.0,Sunny
11.376,10.676,95.460945,0.0,0.0,0.0,0.0,Sunny
10.826,10.276,96.40274,0.0,0.0,0.0,0.0,Sunny
10.276,9.826,97.03554,0.0,0.0,0.0,0.0,Sunny
10.326,9.976,97.68842,0.0,0.0,0.0,0.0,Sunny
10.676,10.326,97.69471,0.0,0.0,0.0,3.6,Sunny
11.576,10.726,94.52066,0.0,0.0,0.0,0.9,Sunny
13.276,11.176,87.10519,0.0,0.0,0.0,0.9,Sunny
15.426,11.876,79.389885,0.0,0.0,0.0,0.0,Sunny
17.776,12.226,69.97124,0.0,0.0,0.0,0.0,Sunny
19.526,12.176,62.510372,0.0,0.0,0.0,0.0,Sunny
20.626,12.026,57.823757,0.0,0.0,0.0,0.0,Sunny
21.126,11.876,55.52135,0.0,0.0,0.0,0.0,Sunny
21.175999,11.776,54.987423,0.0,0.0,0.0,0.0,Sunny
20.575998,11.626,56.492237,0.0,0.0,0.0,0.0,Sunny
18.626,11.926,65.039085,0.0,0.0,0.0,0.0,Sunny
15.676,11.776,77.61506,0.0,0.0,0.0,0.0,Sunny
15.226,11.626,79.09969,0.0,0.0,0.0,0.0,Sunny
14.426,11.376,81.917816,0.0,0.0,0.0,0.0,Sunny
13.676,11.226,85.14795,0.0,0.0,0.0,0.0,Sunny
