temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
14.383,8.583,68.14289,0.0,0.0,0.0,4.8,Sunny
14.683001,8.583,66.83566,0.0,0.0,0.0,0.0,Sunny
15.483001,9.233001,66.33161,0.0,0.0,0.0,0.0,Sunny
17.682999,9.733001,59.646767,0.0,0.0,0.0,0.0,Sunny
20.182999,10.333,53.118595,0.0,0.0,0.0,0.0,Sunny
22.532999,10.533,46.612083,0.0,0.0,0.0,17.7,Sunny
24.483,10.483001,41.303947,0.0,0.0,0.0,24.0,Sunny
25.733,10.483001,38.33986,0.0,0.0,0.0,27.900002,Sunny
26.483,10.733001,37.292263,0.0,0.0,0.0,26.7,Sunny
26.733,10.983001,37.36258,0.0,0.0,0.0,2.4,Sunny
26.532999,11.283,38.564873,0.0,0.0,0.0,0.0,Sunny
25.532999,13.233001,46.51001,0.0,0.0,0.0,0.0,Sunny
22.633,13.183001,55.174686,0.0,0.0,0.0,0.0,Sunny
20.682999,11.833,56.892944,0.0,0.0,0.0,0.0,Sunny
19.282999,11.833,62.04486,0.0,0.0,0.0,0.0,Sunny
18.383,12.133,66.942505,0.0,0.0,0.0,0.0,Sunny
17.532999,12.533,72.49794,0.0,0.0,0.0,0.3,Sunny
16.782999,12.383,75.27649,0.0,0.0,0.0,0.0,Sunny
16.282999,11.983001,75.69039,0.0,0.0,0.0,0.0,Sunny
16.383,11.633,73.493706,0.0,0.0,0.0,0.0,Sunny
15.733001,11.083,73.8674,0.0,0.0,0.0,0.0,Sunny
15.383,10.483001,72.587906,0.0,0.0,0.0,0.0,Sunny
14.033,10.383,78.6634,0.0,0.0,0.0,0.0,Sunny
13.433001,10.333,81.51801,0.0,0.0,0.0,0.0,Sunny
13.683001,10.383,80.470856,0.0,0.0,0.0,0.0,Sunny
14.133,10.183001,77.11891,0.0,0.0,0.0,0.0,Sunny
15.033,10.483001,74.238174,0.0,0.0,0.0,0.0,Sunny
17.383,10.733001,64.9842,0.0,0.0,0.0,0.0,Sunny
19.833,11.183001,57.438816,0.0,0.0,0.0,0.0,Sunny
22.133,11.533,51.036865,0.0,0.0,0.0,0.0,Sunny
24.083,11.883,46.41983,0.0,0.0,0.0,0.0,Sunny
25.483,12.033,43.120617,0.0,0.0,0.0,0.0,Sunny
26.282999,12.083,41.260582,0.0,0.0,0.0,0.0,Sunny
26.633,11.933001,40.020317,0.0,0.0,0.0,0.0,Sunny
26.532999,11.683001,39.5985,0.0,0.0,0.0,0.0,Sunny
25.532999,14.433001,50.27814,0.0,0.0,0.0,0.0,Sunny
22.133,13.333,57.43694,0.0,0.0,0.0,0.0,Sunny
19.682999,13.033,65.48067,0.0,0.0,0.0,0.0,Sunny
18.782999,12.283,65.934586,0.0,0.0,0.0,0.0,Sunny
18.032999,12.033,67.98042,0.0,0.0,0.0,0.0,Sunny
17.782999,11.783,67.92952,0.0,0.0,0.0,0.0,Sunny
17.333,11.583,68.96858,0.0,0.0,0.0,0.0,Sunny
16.432999,11.533,72.77779,0.0,0.0,0.0,0.0,Sunny
16.083,11.483001,74.17326,0.0,0.0,0.0,0.0,Sunny
15.333,11.433001,77.56242,0.0,0.0,0.0,0.0,Sunny
14.933001,11.183001,78.27561,0.0,0.0,0.0,0.0,Sunny
14.083,10.683001,79.99175,0.0,0.0,0.0,0.0,Sunny
13.233001,10.283,82.31237,0.0,0.0,0.0,0.0,Sunny
13.233001,11.183001,87.390335,0.0,0.0,0.0,0.0,Sunny
13.833,10.783,81.84186,0.0,0.0,0.0,0.0,Sunny
14.733001,10.883,77.72773,0.0,0.0,0.0,0.0,Sunny
17.133,11.433001,69.15714,0.0,0.0,0.0,0.0,Sunny
19.932999,12.233001,61.180653,0.0,0.0,0.0,0.0,Sunny
22.333,13.183001,56.18959,0.0,0.0,0.0,0.0,Sunny
24.133,13.983001,53.091553,0.0,0.0,0.0,0.0,Sunny
25.483,13.983001,48.97999,0.0,0.0,0.0,0.9,Sunny
26.282999,13.833,46.260788,0.0,0.0,0.0,0.0,Sunny
26.682999,13.683001,44.744297,0.0,0.0,0.0,14.1,Sunny
26.432999,13.283,44.24132,0.0,0.0,0.0,8.7,Sunny
25.583,12.983001,45.621407,0.0,0.0,0.0,17.400002,Sunny
22.432999,15.333,64.18491,0.0,0.0,0.0,11.400001,Sunny
21.432999,14.083,62.939877,0.0,0.0,0.0,12.0,Sunny
20.182999,14.033,67.75205,0.0,0.0,0.0,1.8000001,Sunny
19.233,14.033,71.86579,0.0,0.0,0.0,2.4,Sunny
18.282999,14.133,76.757744,0.0,0.0,0.0,3.6000001,Sunny
17.333,14.183001,81.75276,0.0,0.0,0.0,0.6,Sunny
16.682999,14.033,84.365265,0.0,0.0,0.0,2.4,Sunny
16.833,13.883,82.75691,0.0,0.0,0.0,2.4,Sunny
15.633,13.883,89.33334,0.0,0.0,0.0,5.7,Sunny
15.483001,13.783,89.61218,0.0,0.0,0.0,22.8,Sunny
15.633,13.683001,88.18052,0.0,0.0,0.0,0.0,Sunny
14.933001,13.583,91.63548,0.0,0.0,0.0,0.0,Sunny
15.183001,13.983001,92.54734,0.0,0.0,0.0,57.0,Cloudy
16.532999,13.883,84.3486,0.0,0.0,0.0,67.200005,Cloudy
16.983,13.833,81.708115,0.0,0.0,0.0,60.000004,Cloudy
18.233,13.933001,76.007164,0.0,0.0,0.0,6.9,Sunny
20.833,14.283,66.152084,0.0,0.0,0.0,31.2,Cloudy
21.833,14.383,62.623173,0.0,0.0,0.0,66.3,Cloudy
21.983,14.483001,62.45485,0.0,0.0,0.0,67.200005,Cloudy
23.432999,14.683001,57.939636,0.0,0.0,0.0,64.5,Cloudy
23.333,14.433001,57.357166,0.0,0.0,0.0,60.000004,Cloudy
24.133,14.183001,53.78402,0.0,0.0,0.0,6.0,Sunny
24.932999,14.233001,51.436523,0.0,0.0,0.0,7.8,Sunny
24.383,14.283,53.327892,0.0,0.0,0.0,8.400001,Sunny
19.083,16.333,84.091515,0.0,0.0,0.0,60.000004,Cloudy
