temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
10.3995,7.9495,84.790695,0.0,0.0,0.0,0.0,Sunny
10.4995,7.6495,82.52452,0.0,0.0,0.0,0.0,Sunny
10.7495,7.6995,81.439476,0.0,0.0,0.0,0.0,Sunny
13.1995,8.4995,73.17197,0.0,0.0,0.0,0.0,Sunny
15.6995,9.0995,64.83282,0.0,0.0,0.0,0.0,Sunny
17.9995,9.4995,57.56132,0.0,0.0,0.0,14.1,Sunny
19.7995,9.2994995,50.75594,0.0,0.0,0.0,25.500002,Sunny
20.8995,9.4495,47.903683,0.0,0.0,0.0,25.2,Sunny
21.5995,9.5494995,46.200035,0.0,0.0,0.0,0.0,Sunny
21.9995,9.4495,44.783295,0.0,0.0,0.0,0.0,Sunny
22.0495,9.4495,44.646984,0.0,0.0,0.0,0.0,Sunny
21.4495,9.1495,45.388657,0.0,0.0,0.0,0.0,Sunny
18.9495,9.7495,55.153637,0.0,0.0,0.0,0.0,Sunny
17.1995,9.6495,61.152134,0.0,0.0,0.0,0.0,Sunny
16.1495,10.0494995,67.1439,0.0,0.0,0.0,0.0,Sunny
15.4495,9.9995,69.98279,0.0,0.0,0.0,0.0,Sunny
14.6495,9.5995,71.72885,0.0,0.0,0.0,0.0,Sunny
13.9995,9.2495,73.06924,0.0,0.0,0.0,0.0,Sunny
13.1495,9.0995,76.44708,0.0,0.0,0.0,0.0,Sunny
12.1495,8.8495,80.25898,0.0,0.0,0.0,0.0,Sunny
11.2495,8.6495,84.02842,0.0,0.0,0.0,0.0,Sunny
10.4495,8.5494995,88.01906,0.0,0.0,0.0,0.0,Sunny
9.6495,8.1995,90.67974,0.0,0.0,0.0,0.0,Sunny
9.3495,8.0495,91.58782,0.0,0.0,0.0,0.0,Sunny
8.4995,7.7495,95.03475,0.0,0.0,0.0,0.0,Sunny
8.1995,7.5495,95.67385,0.0,0.0,0.0,0.0,Sunny
8.7994995,8.1995,96.01933,0.0,0.0,0.0,22.2,Sunny
11.6995,9.3495,85.5072,0.0,0.0,0.0,15.6,Sunny
14.4495,9.8995,74.137,0.0,0.0,0.0,8.700001,Sunny
17.0495,10.3495,64.69527,0.0,0.0,0.0,0.0,Sunny
19.0995,9.9495,55.37691,0.0,0.0,0.0,0.0,Sunny
20.3995,9.7495,50.406956,0.0,0.0,0.0,0.0,Sunny
21.2495,9.5494995,47.201065,0.0,0.0,0.0,0.0,Sunny
21.7995,9.4495,45.333225,0.0,0.0,0.0,2.1000001,Sunny
21.8995,9.4495,45.057316,0.0,0.0,0.0,25.2,Sunny
21.2995,9.4995,46.898846,0.0,0.0,0.0,25.500002,Sunny
18.3995,10.4995,60.01803,0.0,0.0,0.0,24.0,Sunny
16.8495,9.8995,63.57923,0.0,0.0,0.0,25.2,Sunny
15.8495,9.8495,67.53216,0.0,0.0,0.0,5.4,Sunny
14.6495,10.0494995,73.92419,0.0,0.0,0.0,4.5,Sunny
13.5494995,10.1995,80.18435,0.0,0.0,0.0,0.0,Sunny
12.7495,10.1995,84.48221,0.0,0.0,0.0,0.90000004,Sunny
11.9495,10.0494995,88.15141,0.0,0.0,0.0,0.0,Sunny
11.1495,9.6995,90.7845,0.0,0.0,0.0,0.0,Sunny
10.3995,9.2994995,92.89705,0.0,0.0,0.0,0.0,Sunny
10.0494995,9.0494995,93.506485,0.0,0.0,0.0,0.0,Sunny
9.7495,8.9995,95.08259,0.0,0.0,0.0,0.0,Sunny
9.4995,8.7994995,95.39474,0.0,0.0,0.0,1.8000001,Sunny
8.3495,7.8995,96.99056,0.0,0.0,0.0,0.0,Sunny
8.2495,7.7495,96.658554,0.0,0.0,0.0,0.0,Sunny
8.5995,7.9995,96.01313,0.0,0.0,0.0,0.0,Sunny
10.7495,8.5995,86.57066,0.0,0.0,0.0,0.0,Sunny
13.4495,9.2994995,75.98282,0.0,0.0,0.0,0.0,Sunny
16.3995,9.9495,65.64245,0.0,0.0,0.0,0.0,Sunny
18.5995,9.8495,56.75223,0.0,0.0,0.0,0.0,Sunny
19.9495,9.9995,52.70413,0.0,0.0,0.0,0.0,Sunny
20.7495,9.9495,49.996395,0.0,0.0,0.0,0.0,Sunny
21.1495,9.2994995,46.70026,0.0,0.0,0.0,0.0,Sunny
20.9995,8.2495,43.90508,0.0,0.0,0.0,0.0,Sunny
20.0995,7.7495,44.859344,0.0,0.0,0.0,0.0,Sunny
17.3495,10.6495,64.76104,0.0,0.0,0.0,0.0,Sunny
15.6995,10.1495,69.565346,0.0,0.0,0.0,0.0,Sunny
14.8495,9.8495,72.00698,0.0,0.0,0.0,0.0,Sunny
13.9495,9.5494995,74.79982,0.0,0.0,0.0,0.0,Sunny
12.9495,9.4995,79.56474,0.0,0.0,0.0,0.0,Sunny
11.9495,9.6995,86.109314,0.0,0.0,0.0,0.0,Sunny
11.2495,9.8495,91.09604,0.0,0.0,0.0,0.0,Sunny
10.8495,9.7495,92.92136,0.0,0.0,0.0,0.0,Sunny
10.3495,9.4495,94.15213,0.0,0.0,0.0,0.0,Sunny
9.8995,9.0494995,94.44974,0.0,0.0,0.0,0.0,Sunny
9.4995,8.7495,95.073074,0.0,0.0,0.0,0.0,Sunny
9.2495,8.5494995,95.3858,0.0,0.0,0.0,0.0,Sunny
8.2495,7.6995,96.329895,0.0,0.0,0.0,0.0,Sunny
8.1495,7.6495,96.65594,0.0,0.0,0.0,0.0,Sunny
8.1995,7.7495,96.98702,0.0,0.0,0.0,0.0,Sunny
10.0995,8.2994995,88.58677,0.0,0.0,0.0,2.6999998,Sunny
12.3995,8.9495,79.48584,0.0,0.0,0.0,2.6999998,Sunny
14.8495,9.1995,68.93155,0.0,0.0,0.0,0.0,Sunny
16.7995,9.0494995,60.241177,0.0,0.0,0.0,0.0,Sunny
18.2495,8.7994995,54.05507,0.0,0.0,0.0,0.0,Sunny
19.0995,8.2495,49.38353,0.0,0.0,0.0,0.0,Sunny
19.4995,7.7495,46.559673,0.0,0.0,0.0,0.0,Sunny
19.3995,7.0495,44.662933,0.0,0.0,0.0,0.0,Sunny
18.5995,6.4995,45.209156,0.0,0.0,0.0,0.0,Sunny
15.7495,8.2994995,61.223946,0.0,0.0,0.0,0.0,Sunny
14.1995,8.0495,66.506905,0.0,0.0,0.0,0.0,Sunny
13.1495,8.0995,71.44667,0.0,0.0,0.0,0.0,Sunny
12.1995,7.9495,75.263176,0.0,0.0,0.0,0.0,Sunny
11.4495,7.9495,79.079254,0.0,0.0,0.0,0.0,Sunny
10.7495,8.1995,84.25594,0.0,0.0,0.0,0.0,Sunny
10.1495,8.3495,88.59101,0.0,0.0,0.0,0.0,Sunny
9.5494995,8.2495,91.60059,0.0,0.0,0.0,0.0,Sunny
8.9995,8.0495,93.77205,0.0,0.0,0.0,0.0,Sunny
8.5494995,7.7995,95.036674,0.0,0.0,0.0,0.0,Sunny
8.1995,7.5495,95.67385,0.0,0.0,0.0,0.0,Sunny
7.9495,7.3494997,95.99283,0.0,0.0,0.0,0.0,Sunny
7.4995,6.7995,95.32257,0.0,0.0,0.0,0.0,Sunny
7.4995,6.8494997,95.65015,0.0,0.0,0.0,0.0,Sunny
7.5994997,6.9495,95.65355,0.0,0.0,0.0,0.0,Sunny
9.5995,7.3995,86.16167,0.0,0.0,0.0,0.0,Sunny
12.2495,8.1495,76.04253,0.0,0.0,0.0,0.0,Sunny
14.8495,8.8995,67.55162,0.0,0.0,0.0,0.0,Sunny
16.9495,9.5995,61.919636,0.0,0.0,0.0,0.0,Sunny
18.5995,10.3495,58.681168,0.0,0.0,0.0,0.0,Sunny
19.7995,10.8495,56.298286,0.0,0.0,0.0,0.0,Sunny
20.3995,10.9495,54.60846,0.0,0.0,0.0,0.0,Sunny
20.3495,10.7495,54.054066,0.0,0.0,0.0,0.0,Sunny
19.5495,9.7994995,53.309483,0.0,0.0,0.0,0.0,Sunny
16.8995,10.0995,64.23168,0.0,0.0,0.0,0.0,Sunny
15.1995,8.6995,65.16172,0.0,0.0,0.0,0.0,Sunny
14.1995,7.6495,64.72095,0.0,0.0,0.0,0.0,Sunny
13.0494995,7.0994997,67.17441,0.0,0.0,0.0,0.0,Sunny
11.8995,6.6495,70.23749,0.0,0.0,0.0,0.0,Sunny
11.0995,6.6995,74.30727,0.0,0.0,0.0,0.0,Sunny
10.2994995,7.3494997,81.93782,0.0,0.0,0.0,0.0,Sunny
9.5995,7.4995,86.75191,0.0,0.0,0.0,0.0,Sunny
8.8995,7.2495,89.39673,0.0,0.0,0.0,0.0,Sunny
8.2994995,6.8995,90.89511,0.0,0.0,0.0,0.0,Sunny
7.6995,6.5994997,92.748634,0.0,0.0,0.0,0.0,Sunny
7.2495,6.3494997,94.01057,0.0,0.0,0.0,0.0,Sunny
7.2495,6.6995,96.30104,0.0,0.0,0.0,0.0,Sunny
7.0994997,6.5495,96.29667,0.0,0.0,0.0,0.0,Sunny
7.2495,6.6495,95.970825,0.0,0.0,0.0,0.0,Sunny
9.7495,7.3494997,85.00829,0.0,0.0,0.0,0.0,Sunny
12.5494995,7.9495,73.553215,0.0,0.0,0.0,0.0,Sunny
15.3495,8.2994995,62.813007,0.0,0.0,0.0,0.0,Sunny
17.6995,8.5494995,55.019245,0.0,0.0,0.0,0.0,Sunny
19.5495,8.7495,49.673122,0.0,0.0,0.0,0.0,Sunny
20.7995,8.6995,45.823597,0.0,0.0,0.0,0.0,Sunny
21.5495,8.4495,43.028515,0.0,0.0,0.0,0.0,Sunny
21.5995,8.3995,42.75206,0.0,0.0,0.0,0.0,Sunny
20.7495,7.9495,43.686108,0.0,0.0,0.0,0.0,Sunny
18.1495,9.9495,58.76801,0.0,0.0,0.0,0.0,Sunny
16.3495,8.3995,59.32488,0.0,0.0,0.0,0.0,Sunny
15.0494995,7.9995,62.74415,0.0,0.0,0.0,0.0,Sunny
13.6995,8.0495,68.69908,0.0,0.0,0.0,0.0,Sunny
12.4495,7.9495,74.0373,0.0,0.0,0.0,0.0,Sunny
11.4495,7.6495,77.48052,0.0,0.0,0.0,0.0,Sunny
10.4995,6.9495,78.66901,0.0,0.0,0.0,0.0,Sunny
9.6995,6.0495,78.00837,0.0,0.0,0.0,0.0,Sunny
8.8995,5.5495,79.52292,0.0,0.0,0.0,0.0,Sunny
8.1495,5.6495,84.24589,0.0,0.0,0.0,0.0,Sunny
7.4995,5.9995,90.214485,0.0,0.0,0.0,0.0,Sunny
6.8494997,5.9495,93.991936,0.0,0.0,0.0,0.0,Sunny
5.9995,5.3995,95.93107,0.0,0.0,0.0,0.0,Sunny
5.8494997,5.3494997,96.59486,0.0,0.0,0.0,0.0,Sunny
6.0994997,5.6495,96.93676,0.0,0.0,0.0,0.0,Sunny
8.9495,6.5994997,85.21252,0.0,0.0,0.0,0.0,Sunny
12.0494995,7.0994997,71.72683,0.0,0.0,0.0,0.0,Sunny
15.0494995,7.7495,61.68592,0.0,0.0,0.0,0.0,Sunny
17.5995,7.9495,53.158855,0.0,0.0,0.0,0.0,Sunny
19.4995,7.4495,45.616905,0.0,0.0,0.0,0.0,Sunny
20.7995,7.0994997,41.09794,0.0,0.0,0.0,0.0,Sunny
21.5495,6.3494997,37.27925,0.0,0.0,0.0,0.0,Sunny
21.6995,5.2495,34.232243,0.0,0.0,0.0,0.0,Sunny
20.8495,6.2995,38.78127,0.0,0.0,0.0,0.0,Sunny
19.0995,7.9995,48.552277,0.0,0.0,0.0,0.0,Sunny
15.1495,7.1995,59.0324,0.0,0.0,0.0,0.0,Sunny
14.6495,6.6495,58.707745,0.0,0.0,0.0,0.0,Sunny
13.3995,6.3995,62.577484,0.0,0.0,0.0,0.0,Sunny
12.2994995,7.1995,71.041695,0.0,0.0,0.0,0.0,Sunny
10.9495,7.5495,79.54661,0.0,0.0,0.0,0.0,Sunny
9.8495,7.0994997,83.009094,0.0,0.0,0.0,0.0,Sunny
8.9995,6.6995,85.51116,0.0,0.0,0.0,0.0,Sunny
8.3495,6.3995,87.528336,0.0,0.0,0.0,0.0,Sunny
8.3995,6.2495,86.33552,0.0,0.0,0.0,0.0,Sunny
8.1995,6.0994997,86.61364,0.0,0.0,0.0,0.0,Sunny
7.5495,5.7995,88.672874,0.0,0.0,0.0,0.0,Sunny
9.5494995,5.7995,77.44778,0.0,0.0,0.0,0.0,Sunny
9.3995,5.6495,77.42408,0.0,0.0,0.0,0.0,Sunny
8.9495,5.5994997,79.53018,0.0,0.0,0.0,0.0,Sunny
10.1495,6.8995,80.25241,0.0,0.0,0.0,0.0,Sunny
13.3495,7.7995,69.09685,0.0,0.0,0.0,0.0,Sunny
16.2995,8.2495,58.911915,0.0,0.0,0.0,0.0,Sunny
18.7995,7.2995,47.16494,0.0,0.0,0.0,0.0,Sunny
20.7495,5.3494997,36.53917,0.0,0.0,0.0,0.0,Sunny
21.9995,3.6495,30.052816,0.0,0.0,0.0,0.0,Sunny
22.5495,2.7494998,27.273203,0.0,0.0,0.0,0.0,Sunny
22.4495,2.9494998,27.83097,0.0,0.0,0.0,0.0,Sunny
21.3495,5.4495,35.462414,0.0,0.0,0.0,0.0,Sunny
17.7995,7.1995,49.87559,0.0,0.0,0.0,0.0,Sunny
16.0495,5.7495,50.43512,0.0,0.0,0.0,0.0,Sunny
14.9495,5.3995,52.821857,0.0,0.0,0.0,0.0,Sunny
13.9495,4.9995,54.802086,0.0,0.0,0.0,0.0,Sunny
12.4995,4.5994997,58.58119,0.0,0.0,0.0,0.0,Sunny
11.7495,3.9994998,59.012257,0.0,0.0,0.0,0.0,Sunny
10.6495,4.1495,64.14623,0.0,0.0,0.0,0.0,Sunny
10.6495,4.4995,65.73735,0.0,0.0,0.0,0.0,Sunny
12.7495,4.4995,57.227947,0.0,0.0,0.0,0.0,Sunny
11.9495,4.8494997,61.806923,0.0,0.0,0.0,0.0,Sunny
11.8995,5.0495,62.880787,0.0,0.0,0.0,0.0,Sunny
11.4995,4.9495,64.11527,0.0,0.0,0.0,0.0,Sunny
11.0494995,5.7495,69.827644,0.0,0.0,0.0,0.0,Sunny
9.4495,5.3494997,75.57563,0.0,0.0,0.0,0.0,Sunny
7.7495,5.4495,85.37689,0.0,0.0,0.0,0.0,Sunny
11.2495,6.8494997,74.33351,0.0,0.0,0.0,0.0,Sunny
15.3495,8.3995,63.24021,0.0,0.0,0.0,0.0,Sunny
18.3995,7.9495,50.55158,0.0,0.0,0.0,0.0,Sunny
20.7495,6.9495,40.80318,0.0,0.0,0.0,0.0,Sunny
22.3995,5.7495,33.959568,0.0,0.0,0.0,0.0,Sunny
23.4495,5.0994997,30.462147,0.0,0.0,0.0,0.0,Sunny
23.8995,4.4995,28.432837,0.0,0.0,0.0,0.0,Sunny
23.6995,4.4995,28.77701,0.0,0.0,0.0,0.0,Sunny
22.5995,6.6495,35.69752,0.0,0.0,0.0,0.0,Sunny
18.9495,7.6995,48.01826,0.0,0.0,0.0,0.0,Sunny
16.5995,6.6495,51.81739,0.0,0.0,0.0,0.0,Sunny
15.0995,6.7995,57.621384,0.0,0.0,0.0,0.0,Sunny
13.7994995,7.0994997,63.97215,0.0,0.0,0.0,0.0,Sunny
12.9995,7.1495,67.62522,0.0,0.0,0.0,0.0,Sunny
12.3495,7.0495,70.08548,0.0,0.0,0.0,0.0,Sunny
11.8495,6.9495,71.93521,0.0,0.0,0.0,0.0,Sunny
10.7495,6.8995,77.10582,0.0,0.0,0.0,0.0,Sunny
9.9995,6.8494997,80.78381,0.0,0.0,0.0,0.0,Sunny
10.0995,6.9495,80.79753,0.0,0.0,0.0,0.0,Sunny
9.4495,7.0495,84.97532,0.0,0.0,0.0,0.0,Sunny
8.8995,6.9495,87.5794,0.0,0.0,0.0,0.0,Sunny
8.6495,6.7495,87.85735,0.0,0.0,0.0,0.0,Sunny
8.6495,6.8494997,88.46235,0.0,0.0,0.0,0.0,Sunny
8.7495,6.8494997,87.86641,0.0,0.0,0.0,0.0,Sunny
11.9995,7.6495,74.718506,0.0,0.0,0.0,0.0,Sunny
16.0495,8.9495,62.76102,0.0,0.0,0.0,0.0,Sunny
19.3995,8.5995,49.63254,0.0,0.0,0.0,0.0,Sunny
21.7495,7.5495,39.983265,0.0,0.0,0.0,0.0,Sunny
23.1495,6.8494997,35.00508,0.0,0.0,0.0,0.0,Sunny
23.8495,5.9995,31.651304,0.0,0.0,0.0,0.0,Sunny
24.0995,5.4495,30.01473,0.0,0.0,0.0,0.0,Sunny
23.9495,5.1495,29.661804,0.0,0.0,0.0,0.0,Sunny
22.9995,6.6495,34.842438,0.0,0.0,0.0,0.0,Sunny
18.6995,9.9495,56.77724,0.0,0.0,0.0,0.0,Sunny
16.9495,7.5495,53.90003,0.0,0.0,0.0,0.0,Sunny
15.4495,7.0994997,57.51169,0.0,0.0,0.0,0.0,Sunny
14.6495,7.2495,61.17249,0.0,0.0,0.0,0.0,Sunny
14.2994995,7.5994997,64.08467,0.0,0.0,0.0,0.0,Sunny
16.1495,7.1495,55.182995,0.0,0.0,0.0,0.0,Sunny
16.1995,6.8995,54.073383,0.0,0.0,0.0,0.0,Sunny
14.1495,6.8995,61.685455,0.0,0.0,0.0,0.0,Sunny
12.6995,6.8494997,67.56242,0.0,0.0,0.0,0.0,Sunny
11.6495,7.0495,73.39196,0.0,0.0,0.0,0.0,Sunny
10.2994995,7.2495,81.37968,0.0,0.0,0.0,0.0,Sunny
9.9495,7.2495,83.305756,0.0,0.0,0.0,0.0,Sunny
11.0995,7.1495,76.63541,0.0,0.0,0.0,0.0,Sunny
11.2994995,6.7495,73.58107,0.0,0.0,0.0,0.0,Sunny
11.3995,6.3494997,71.112526,0.0,0.0,0.0,0.0,Sunny
12.9995,7.4495,69.02622,0.0,0.0,0.0,0.0,Sunny
16.8495,8.8995,59.445953,0.0,0.0,0.0,0.0,Sunny
19.6995,9.1995,50.729206,0.0,0.0,0.0,0.0,Sunny
21.5995,9.1495,44.973896,0.0,0.0,0.0,0.0,Sunny
