temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
11.721,10.771,93.90052,0.0,0.0,0.0,0.0,Sunny
11.421,10.721,95.462524,0.0,0.0,0.0,0.0,Sunny
13.521,12.421,93.06309,0.0,0.0,0.0,0.0,Sunny
16.071001,13.021,82.12607,0.0,0.0,0.0,0.0,Sunny
18.071001,13.321,73.788666,0.0,0.0,0.0,0.0,Sunny
19.721,13.321,66.56568,0.0,0.0,0.0,0.0,Sunny
20.971,12.971,60.229393,0.0,0.0,0.0,0.0,Sunny
22.021,12.071,53.24262,0.0,0.0,0.0,0.0,Sunny
22.621,11.171,48.37162,0.0,0.0,0.0,0.0,Sunny
22.721,10.620999,46.35411,0.0,0.0,0.0,0.0,Sunny
22.421001,10.620999,47.206207,0.0,0.0,0.0,4.5,Sunny
20.471,13.171,62.929043,0.0,0.0,0.0,1.8,Sunny
17.371,11.171,66.9526,0.0,0.0,0.0,0.0,Sunny
16.221,11.620999,74.19705,0.0,0.0,0.0,0.0,Sunny
14.870999,12.370999,84.99575,0.0,0.0,0.0,0.0,Sunny
16.021,12.370999,78.95463,0.0,0.0,0.0,0.9,Sunny
16.021,12.421,79.214226,0.0,0.0,0.0,1.8,Sunny
15.620999,12.421,81.26586,0.0,0.0,0.0,4.2,Sunny
15.321,12.521,83.38903,0.0,0.0,0.0,0.0,Sunny
14.870999,12.571,86.11846,0.0,0.0,0.0,0.0,Sunny
12.620999,11.471,92.708824,0.0,0.0,0.0,0.0,Sunny
13.021,11.671,91.51527,0.0,0.0,0.0,0.0,Sunny
13.821,12.071,89.19031,0.0,0.0,0.0,0.0,Sunny
13.071,11.721,91.51844,0.0,0.0,0.0,0.0,Sunny
13.271,12.571,95.5264,0.0,0.0,0.0,3.6,Sunny
11.821,11.721,99.342445,0.0,0.0,0.0,6.2999997,Sunny
12.971,12.870999,99.348305,0.0,0.0,0.0,90.0,Cloudy
15.221,13.171,87.571884,0.0,0.0,0.0,0.0,Sunny
17.321001,13.421,77.86508,0.0,0.0,0.0,0.0,Sunny
19.171001,13.421,69.33149,0.0,0.0,0.0,0.9,Sunny
20.621,12.671,60.34442,0.0,0.0,0.0,3.6,Sunny
21.521,11.721,53.642063,0.0,0.0,0.0,0.9,Sunny
21.821001,11.021,50.283,0.0,0.0,0.0,1.8,Sunny
21.871,10.870999,49.632904,0.0,0.0,0.0,0.9,Sunny
21.571001,10.771,50.216297,0.0,0.0,0.0,0.0,Sunny
19.771,13.471,67.01115,0.0,0.0,0.0,0.0,Sunny
15.870999,12.370999,79.71461,0.0,0.0,0.0,0.0,Sunny
14.921,12.421,85.001144,0.0,0.0,0.0,0.0,Sunny
13.870999,12.071,88.9013,0.0,0.0,0.0,0.0,Sunny
13.021,11.471,90.31381,0.0,0.0,0.0,0.0,Sunny
12.721,11.120999,89.99331,0.0,0.0,0.0,0.0,Sunny
13.120999,11.120999,87.67024,0.0,0.0,0.0,0.0,Sunny
14.471,11.771,83.83989,0.0,0.0,0.0,0.0,Sunny
14.071,11.870999,86.60719,0.0,0.0,0.0,0.0,Sunny
12.120999,11.021,92.98934,0.0,0.0,0.0,0.0,Sunny
11.521,10.771,95.1492,0.0,0.0,0.0,0.0,Sunny
11.671,10.870999,94.83925,0.0,0.0,0.0,0.0,Sunny
