temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
12.306,7.606,73.0104,0.0,0.0,0.0,0.0,Sunny
12.106,7.356,72.72524,0.0,0.0,0.0,0.90000004,Sunny
12.106,7.106,71.49241,0.0,0.0,0.0,15.3,Sunny
13.906,7.656,65.99302,0.0,0.0,0.0,14.1,Sunny
16.706,8.556,58.613228,0.0,0.0,0.0,12.900001,Sunny
19.606,9.056,50.533623,0.0,0.0,0.0,5.1000004,Sunny
21.456,9.656,46.941853,0.0,0.0,0.0,0.0,Sunny
22.556,10.306,45.847782,0.0,0.0,0.0,0.0,Sunny
23.156,10.556,44.954117,0.0,0.0,0.0,0.0,Sunny
23.456,10.456,43.85393,0.0,0.0,0.0,0.0,Sunny
23.356,10.0060005,42.81325,0.0,0.0,0.0,0.0,Sunny
22.706,9.656,43.498714,0.0,0.0,0.0,0.0,Sunny
20.406,11.456,56.449856,0.0,0.0,0.0,0.0,Sunny
18.006,11.456,65.55187,0.0,0.0,0.0,0.0,Sunny
17.306,11.406,68.28257,0.0,0.0,0.0,0.0,Sunny
16.456,11.0060005,70.17851,0.0,0.0,0.0,0.0,Sunny
15.7560005,10.706,71.93453,0.0,0.0,0.0,0.0,Sunny
15.2560005,10.606,73.78398,0.0,0.0,0.0,0.0,Sunny
14.606,10.556,76.68076,0.0,0.0,0.0,0.0,Sunny
14.056,10.306,78.143745,0.0,0.0,0.0,0.0,Sunny
13.806,9.7560005,76.552826,0.0,0.0,0.0,0.0,Sunny
13.406,9.406,76.746025,0.0,0.0,0.0,0.0,Sunny
12.956,9.356,78.767654,0.0,0.0,0.0,0.0,Sunny
12.606,9.356,80.59296,0.0,0.0,0.0,0.0,Sunny
11.856,9.5060005,85.52372,0.0,0.0,0.0,0.0,Sunny
11.356,9.5060005,88.395706,0.0,0.0,0.0,0.0,Sunny
11.356,9.456,88.099304,0.0,0.0,0.0,0.0,Sunny
13.706,10.0060005,78.352486,0.0,0.0,0.0,0.0,Sunny
17.056,10.856,66.88675,0.0,0.0,0.0,0.0,Sunny
19.806,10.206,53.913982,0.0,0.0,0.0,0.0,Sunny
21.306,9.856,48.014614,0.0,0.0,0.0,0.0,Sunny
22.406,9.606,44.15004,0.0,0.0,0.0,0.0,Sunny
23.106,9.206,41.19284,0.0,0.0,0.0,0.0,Sunny
23.556,9.0060005,39.552235,0.0,0.0,0.0,6.3,Sunny
23.556,8.656,38.628452,0.0,0.0,0.0,25.500002,Sunny
23.006,8.356,39.130283,0.0,0.0,0.0,23.1,Sunny
20.606,10.0060005,50.6313,0.0,0.0,0.0,24.300001,Sunny
18.506,10.106,58.073578,0.0,0.0,0.0,23.400002,Sunny
17.306,9.806,61.382446,0.0,0.0,0.0,25.2,Sunny
16.656,9.356,62.059914,0.0,0.0,0.0,23.400002,Sunny
15.956,9.106,63.806416,0.0,0.0,0.0,3.9,Sunny
15.406,9.106,66.0922,0.0,0.0,0.0,2.4,Sunny
14.7560005,9.2560005,69.6123,0.0,0.0,0.0,0.90000004,Sunny
14.156,9.356,72.85209,0.0,0.0,0.0,5.7000003,Sunny
13.5060005,9.306,75.73696,0.0,0.0,0.0,21.300001,Sunny
12.906,9.2560005,78.49575,0.0,0.0,0.0,14.700001,Sunny
12.406,9.206,80.83726,0.0,0.0,0.0,9.6,Sunny
12.106,9.056,81.61806,0.0,0.0,0.0,14.1,Sunny
11.7560005,8.606,81.02251,0.0,0.0,0.0,0.0,Sunny
11.106,8.5060005,84.01184,0.0,0.0,0.0,0.0,Sunny
10.906,8.606,85.712524,0.0,0.0,0.0,0.0,Sunny
12.856,9.206,78.488266,0.0,0.0,0.0,0.0,Sunny
15.906,9.906,67.54386,0.0,0.0,0.0,0.0,Sunny
19.106,9.206,52.659702,0.0,0.0,0.0,0.0,Sunny
21.206,8.006,42.641075,0.0,0.0,0.0,0.0,Sunny
22.406,7.406,38.040707,0.0,0.0,0.0,0.0,Sunny
23.056,7.156,35.950665,0.0,0.0,0.0,0.0,Sunny
23.206,6.856,34.901318,0.0,0.0,0.0,0.0,Sunny
22.806,6.4560003,34.78723,0.0,0.0,0.0,0.0,Sunny
21.956,6.156,35.88306,0.0,0.0,0.0,0.0,Sunny
19.006,7.506,47.22209,0.0,0.0,0.0,0.0,Sunny
17.006,7.406,53.183945,0.0,0.0,0.0,0.0,Sunny
16.056,8.106,59.2536,0.0,0.0,0.0,0.0,Sunny
15.2560005,8.856,65.61572,0.0,0.0,0.0,0.0,Sunny
14.606,9.0060005,69.115204,0.0,0.0,0.0,0.0,Sunny
13.956,8.806,71.11715,0.0,0.0,0.0,0.0,Sunny
13.306,8.556,72.943954,0.0,0.0,0.0,0.0,Sunny
12.606,8.306,75.07683,0.0,0.0,0.0,0.0,Sunny
11.906,7.906,76.50476,0.0,0.0,0.0,0.0,Sunny
11.306,7.4560003,77.194176,0.0,0.0,0.0,0.0,Sunny
10.806,6.9560003,77.11482,0.0,0.0,0.0,0.0,Sunny
10.306,6.556,77.56679,0.0,0.0,0.0,0.0,Sunny
9.7560005,6.606,80.75039,0.0,0.0,0.0,0.0,Sunny
9.306,6.606,83.22768,0.0,0.0,0.0,0.0,Sunny
9.156,6.806,85.234955,0.0,0.0,0.0,0.0,Sunny
10.7560005,7.406,79.79071,0.0,0.0,0.0,0.0,Sunny
13.056,8.006,71.42896,0.0,0.0,0.0,0.0,Sunny
15.556,7.9560003,60.5579,0.0,0.0,0.0,0.0,Sunny
17.606,7.056,49.99393,0.0,0.0,0.0,0.0,Sunny
19.206,6.4560003,43.39929,0.0,0.0,0.0,0.0,Sunny
20.256,5.406,37.816402,0.0,0.0,0.0,0.0,Sunny
20.656,4.9560003,35.758183,0.0,0.0,0.0,0.0,Sunny
20.456,4.806,35.825336,0.0,0.0,0.0,0.0,Sunny
19.606,4.506,36.977932,0.0,0.0,0.0,0.0,Sunny
16.706,5.406,47.23314,0.0,0.0,0.0,0.0,Sunny
15.056,4.7060003,49.989323,0.0,0.0,0.0,0.0,Sunny
14.206,4.156,50.814373,0.0,0.0,0.0,0.0,Sunny
13.556,3.7059999,51.354767,0.0,0.0,0.0,0.0,Sunny
13.056,3.9559999,53.996655,0.0,0.0,0.0,0.0,Sunny
12.556,4.656,58.59527,0.0,0.0,0.0,0.0,Sunny
12.156,5.106,62.07131,0.0,0.0,0.0,0.0,Sunny
11.606,5.306,65.263954,0.0,0.0,0.0,0.0,Sunny
11.106,5.356,67.69461,0.0,0.0,0.0,0.0,Sunny
10.656,5.4560003,70.23473,0.0,0.0,0.0,0.0,Sunny
10.356,5.7060003,72.905045,0.0,0.0,0.0,0.0,Sunny
10.056,6.156,76.72999,0.0,0.0,0.0,0.0,Sunny
9.956,6.556,79.402534,0.0,0.0,0.0,0.9,Sunny
9.856,6.9560003,82.161354,0.0,0.0,0.0,0.0,Sunny
10.0060005,7.4560003,84.17061,0.0,0.0,0.0,0.0,Sunny
11.606,8.156,79.37122,0.0,0.0,0.0,0.9,Sunny
14.206,9.056,71.16474,0.0,0.0,0.0,1.8,Sunny
17.106,10.156,63.636787,0.0,0.0,0.0,0.9,Sunny
19.556,11.406,59.304,0.0,0.0,0.0,1.8,Sunny
21.306,12.456,57.046833,0.0,0.0,0.0,0.9,Sunny
22.556,13.106,55.155308,0.0,0.0,0.0,0.0,Sunny
23.256,13.5060005,54.262413,0.0,0.0,0.0,2.6999998,Sunny
23.456,13.656,54.13695,0.0,0.0,0.0,12.599999,Sunny
23.256,14.0060005,56.05373,0.0,0.0,0.0,59.399998,Cloudy
20.306,13.5060005,64.97645,0.0,0.0,0.0,4.5,Sunny
17.906,13.2560005,74.242805,0.0,0.0,0.0,0.0,Sunny
16.956,12.706,76.04906,0.0,0.0,0.0,0.0,Sunny
16.456,11.906,74.48261,0.0,0.0,0.0,0.6,Sunny
15.856,10.7560005,71.714226,0.0,0.0,0.0,0.6,Sunny
15.206,9.906,70.64143,0.0,0.0,0.0,0.6,Sunny
14.606,9.156,69.817375,0.0,0.0,0.0,1.5,Sunny
14.056,8.306,68.306854,0.0,0.0,0.0,1.8,Sunny
13.556,7.656,67.51088,0.0,0.0,0.0,0.0,Sunny
13.106,7.4560003,68.57817,0.0,0.0,0.0,0.0,Sunny
12.7560005,7.556,70.645905,0.0,0.0,0.0,0.0,Sunny
12.456,7.606,72.29486,0.0,0.0,0.0,0.0,Sunny
12.406,8.656,77.89251,0.0,0.0,0.0,0.0,Sunny
12.156,8.606,78.91536,0.0,0.0,0.0,2.4,Sunny
12.206,8.7560005,79.45798,0.0,0.0,0.0,0.0,Sunny
14.106,9.706,74.82648,0.0,0.0,0.0,0.0,Sunny
16.956,11.056,68.21162,0.0,0.0,0.0,0.0,Sunny
19.706,12.656,63.794296,0.0,0.0,0.0,3.9,Sunny
21.756,13.906,61.004448,0.0,0.0,0.0,4.5,Sunny
23.156,14.806,59.385937,0.0,0.0,0.0,0.0,Sunny
24.006,15.206,57.89146,0.0,0.0,0.0,0.0,Sunny
24.406,15.356,57.06597,0.0,0.0,0.0,0.0,Sunny
24.356,15.2560005,56.87097,0.0,0.0,0.0,1.5,Sunny
24.056,15.2560005,57.903515,0.0,0.0,0.0,2.4,Sunny
21.556,17.006,75.332436,0.0,0.0,0.0,5.4,Sunny
19.006,16.206,83.815414,0.0,0.0,0.0,5.1000004,Sunny
18.206,16.056,87.2789,0.0,0.0,0.0,3.6000001,Sunny
17.656,16.006,90.0631,0.0,0.0,0.0,1.8000001,Sunny
17.156,15.556,90.31557,0.0,0.0,0.0,0.0,Sunny
16.856,14.856,88.00134,0.0,0.0,0.0,0.0,Sunny
16.306,13.206,81.888084,0.0,0.0,0.0,0.0,Sunny
15.606,11.456,76.332985,0.0,0.0,0.0,0.0,Sunny
15.0060005,10.456,74.233505,0.0,0.0,0.0,0.0,Sunny
14.406,9.856,74.12943,0.0,0.0,0.0,0.0,Sunny
13.956,9.456,74.30023,0.0,0.0,0.0,0.0,Sunny
13.656,9.0060005,73.50142,0.0,0.0,0.0,0.0,Sunny
13.906,8.806,71.34818,0.0,0.0,0.0,0.0,Sunny
13.456,8.006,69.58986,0.0,0.0,0.0,0.0,Sunny
13.2560005,7.406,67.678795,0.0,0.0,0.0,0.0,Sunny
15.306,8.206,62.59036,0.0,0.0,0.0,0.0,Sunny
18.356,9.606,56.691307,0.0,0.0,0.0,0.0,Sunny
21.256,9.956,48.485558,0.0,0.0,0.0,0.0,Sunny
23.056,10.306,44.479202,0.0,0.0,0.0,0.0,Sunny
24.106,11.406,44.918297,0.0,0.0,0.0,0.0,Sunny
24.656,11.956,45.06979,0.0,0.0,0.0,0.0,Sunny
24.956,12.0060005,44.415707,0.0,0.0,0.0,0.0,Sunny
24.806,11.956,44.66772,0.0,0.0,0.0,5.3999996,Sunny
24.256,11.856,45.858833,0.0,0.0,0.0,10.799999,Sunny
22.006,16.156,69.43598,0.0,0.0,0.0,9.9,Sunny
18.956,13.556,70.88741,0.0,0.0,0.0,2.6999998,Sunny
17.806,12.856,72.78492,0.0,0.0,0.0,0.0,Sunny
18.956,11.856,63.41847,0.0,0.0,0.0,0.0,Sunny
