temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
12.124,4.474,59.51994,0.0,0.0,0.0,0.0,Sunny
11.474,4.774,63.442616,0.0,0.0,0.0,0.0,Sunny
11.174,5.124,66.31236,0.0,0.0,0.0,0.0,Sunny
14.074,5.574,56.57483,0.0,0.0,0.0,0.0,Sunny
17.224,6.074,47.87081,0.0,0.0,0.0,0.0,Sunny
20.324001,6.224,39.850025,0.0,0.0,0.0,0.0,Sunny
22.974,5.724,32.738564,0.0,0.0,0.0,0.0,Sunny
24.824001,4.874,27.613394,0.0,0.0,0.0,0.0,Sunny
25.924002,4.524,25.241035,0.0,0.0,0.0,0.0,Sunny
26.674002,3.974,23.234959,0.0,0.0,0.0,0.0,Sunny
26.874,3.674,22.483978,0.0,0.0,0.0,0.0,Sunny
26.574001,3.074,21.9361,0.0,0.0,0.0,7.8,Sunny
25.024,4.774,27.096306,0.0,0.0,0.0,0.0,Sunny
20.374,5.324,37.328705,0.0,0.0,0.0,0.0,Sunny
19.524,5.224,39.0741,0.0,0.0,0.0,0.0,Sunny
18.624,5.524,42.199078,0.0,0.0,0.0,0.0,Sunny
17.724,5.774,45.431923,0.0,0.0,0.0,0.0,Sunny
17.024,6.024,48.313515,0.0,0.0,0.0,0.0,Sunny
16.024,6.324,52.561417,0.0,0.0,0.0,0.0,Sunny
15.174,6.524,56.27098,0.0,0.0,0.0,0.0,Sunny
14.574,6.574,58.689125,0.0,0.0,0.0,0.0,Sunny
14.124,6.524,60.21448,0.0,0.0,0.0,0.0,Sunny
13.874,6.274,60.154133,0.0,0.0,0.0,0.0,Sunny
13.674,5.824,59.07643,0.0,0.0,0.0,0.0,Sunny
12.924,7.124,67.84127,0.0,0.0,0.0,0.90000004,Sunny
12.324,6.774,68.88931,0.0,0.0,0.0,5.7000003,Sunny
12.124,6.574,68.84862,0.0,0.0,0.0,0.0,Sunny
15.524,6.474,54.83253,0.0,0.0,0.0,0.0,Sunny
19.324001,6.624,43.582226,0.0,0.0,0.0,0.0,Sunny
22.824001,6.774,35.51711,0.0,0.0,0.0,0.0,Sunny
24.874,7.474,32.93856,0.0,0.0,0.0,7.2000003,Sunny
26.274,7.024,29.39305,0.0,0.0,0.0,7.2000003,Sunny
27.224,6.524,26.857077,0.0,0.0,0.0,20.400002,Sunny
27.874,5.874,24.72166,0.0,0.0,0.0,28.800001,Sunny
28.074001,5.274,23.439753,0.0,0.0,0.0,25.500002,Sunny
27.674002,4.924,23.416239,0.0,0.0,0.0,26.7,Sunny
26.224,6.174,27.806961,0.0,0.0,0.0,21.300001,Sunny
22.124,6.224,35.68438,0.0,0.0,0.0,27.6,Sunny
21.524,6.074,36.634922,0.0,0.0,0.0,27.000002,Sunny
20.524,5.874,38.421494,0.0,0.0,0.0,27.300001,Sunny
19.374,5.524,40.27013,0.0,0.0,0.0,28.2,Sunny
18.124,5.274,42.793636,0.0,0.0,0.0,24.900002,Sunny
16.974,5.174,45.694702,0.0,0.0,0.0,28.800001,Sunny
15.974,5.024,48.19,0.0,0.0,0.0,24.900002,Sunny
15.624,4.424,47.259857,0.0,0.0,0.0,23.1,Sunny
15.424,3.624,45.255974,0.0,0.0,0.0,22.800001,Sunny
15.024,2.724,43.572575,0.0,0.0,0.0,7.2000003,Sunny
14.674,1.674,41.354652,0.0,0.0,0.0,14.1,Sunny
13.724,3.924,51.581303,0.0,0.0,0.0,0.90000004,Sunny
12.424,3.574,54.786224,0.0,0.0,0.0,0.3,Sunny
11.824,3.524,56.791756,0.0,0.0,0.0,0.0,Sunny
15.024,3.374,45.622658,0.0,0.0,0.0,0.0,Sunny
18.424002,3.924,38.216652,0.0,0.0,0.0,9.3,Sunny
22.174002,6.124,35.33134,0.0,0.0,0.0,0.0,Sunny
24.974,7.674,33.192333,0.0,0.0,0.0,0.0,Sunny
26.324001,7.524,30.325489,0.0,0.0,0.0,0.0,Sunny
26.974,7.174,28.496836,0.0,0.0,0.0,5.7000003,Sunny
27.374,6.724,26.990417,0.0,0.0,0.0,0.0,Sunny
27.424002,6.224,26.001417,0.0,0.0,0.0,0.0,Sunny
26.824001,5.874,26.290306,0.0,0.0,0.0,0.0,Sunny
25.074001,6.324,30.080002,0.0,0.0,0.0,0.0,Sunny
22.824001,6.374,34.553707,0.0,0.0,0.0,0.0,Sunny
21.624,6.424,37.300602,0.0,0.0,0.0,0.0,Sunny
20.624,5.874,38.185387,0.0,0.0,0.0,0.0,Sunny
19.824001,1.374,29.225864,0.0,0.0,0.0,0.0,Sunny
18.724,0.474,29.33436,0.0,0.0,0.0,0.0,Sunny
18.024,1.124,32.119606,0.0,0.0,0.0,0.0,Sunny
17.474,1.724,34.712982,0.0,0.0,0.0,0.0,Sunny
16.924002,2.424,37.781113,0.0,0.0,0.0,0.0,Sunny
16.624,2.174,37.8282,0.0,0.0,0.0,0.0,Sunny
15.924,1.474,37.6238,0.0,0.0,0.0,0.0,Sunny
15.474,1.474,38.72287,0.0,0.0,0.0,0.0,Sunny
14.724,4.124,49.031982,0.0,0.0,0.0,0.0,Sunny
13.974,5.474,56.549335,0.0,0.0,0.0,0.0,Sunny
13.624,6.474,61.98686,0.0,0.0,0.0,0.0,Sunny
14.874,7.224,60.18869,0.0,0.0,0.0,0.0,Sunny
17.124,7.474,53.033726,0.0,0.0,0.0,0.0,Sunny
19.274,6.674,43.868523,0.0,0.0,0.0,0.0,Sunny
21.374,5.124,34.61758,0.0,0.0,0.0,0.0,Sunny
23.074001,2.974,26.843393,0.0,0.0,0.0,0.0,Sunny
24.224,0.574,21.098907,0.0,0.0,0.0,0.0,Sunny
24.874,-0.87600005,18.266191,0.0,0.0,0.0,0.0,Sunny
24.974,-1.526,17.31338,0.0,0.0,0.0,0.0,Sunny
24.474,-1.576,17.772984,0.0,0.0,0.0,4.8,Sunny
22.974,-1.9760001,18.888151,0.0,0.0,0.0,0.6,Sunny
20.724,-2.326,21.116625,0.0,0.0,0.0,0.0,Sunny
19.274,-2.226,23.271322,0.0,0.0,0.0,0.0,Sunny
18.074001,-1.526,26.412184,0.0,0.0,0.0,0.0,Sunny
16.974,-0.926,29.58245,0.0,0.0,0.0,0.0,Sunny
16.124,-0.676,31.799915,0.0,0.0,0.0,0.0,Sunny
15.124,-0.526,34.27508,0.0,0.0,0.0,0.0,Sunny
14.274,-0.47599998,36.33823,0.0,0.0,0.0,0.0,Sunny
13.674,-0.57600003,37.5058,0.0,0.0,0.0,0.0,Sunny
