temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
7.657,3.157,73.175385,0.0,0.0,0.0,0.0,Sunny
6.907,3.3070002,77.845345,0.0,0.0,0.0,0.0,Sunny
6.757,3.4569998,79.48724,0.0,0.0,0.0,0.0,Sunny
10.207001,3.5570002,63.372623,0.0,0.0,0.0,0.0,Sunny
13.507,3.2069998,49.737892,0.0,0.0,0.0,0.0,Sunny
16.157,3.907,44.05187,0.0,0.0,0.0,0.0,Sunny
18.357,4.457,39.83811,0.0,0.0,0.0,0.0,Sunny
20.057001,4.107,34.967793,0.0,0.0,0.0,0.0,Sunny
21.257,3.2069998,30.482658,0.0,0.0,0.0,0.0,Sunny
21.957,2.6069999,27.99026,0.0,0.0,0.0,0.0,Sunny
22.157,2.507,27.455431,0.0,0.0,0.0,0.0,Sunny
22.007,2.507,27.70756,0.0,0.0,0.0,2.4,Sunny
19.907,3.657,34.1957,0.0,0.0,0.0,2.7,Sunny
16.507,3.657,42.33031,0.0,0.0,0.0,0.0,Sunny
17.957,3.3569999,37.813717,0.0,0.0,0.0,0.0,Sunny
14.157001,2.7069998,46.024612,0.0,0.0,0.0,0.0,Sunny
13.857,1.357,42.620743,0.0,0.0,0.0,0.0,Sunny
12.607,1.507,46.741005,0.0,0.0,0.0,16.5,Sunny
10.757,2.6069999,57.122494,0.0,0.0,0.0,22.2,Sunny
9.707001,3.2069998,63.93096,0.0,0.0,0.0,20.1,Sunny
9.057,3.5570002,68.45606,0.0,0.0,0.0,22.2,Sunny
8.757,3.8569999,71.346176,0.0,0.0,0.0,20.1,Sunny
8.207001,4.0569997,75.100494,0.0,0.0,0.0,15.000001,Sunny
7.607,4.357,79.890854,0.0,0.0,0.0,2.1000001,Sunny
7.007,3.907,80.64997,0.0,0.0,0.0,6.6000004,Sunny
6.707,4.107,83.49056,0.0,0.0,0.0,0.90000004,Sunny
6.207,4.107,86.413216,0.0,0.0,0.0,4.5,Sunny
10.207001,4.3069997,66.8,0.0,0.0,0.0,15.000001,Sunny
