temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
10.2045,9.9545,98.34243,0.0,0.0,0.0,0.9,Sunny
9.8545,9.7545,99.332214,0.0,0.0,0.0,0.0,Sunny
11.2045,10.804501,97.38004,0.0,0.0,0.0,81.9,Cloudy
13.5045,12.1545,91.54591,0.0,0.0,0.0,0.0,Sunny
16.4545,13.554501,82.98051,0.0,0.0,0.0,0.0,Sunny
18.8045,14.1545,74.39582,0.0,0.0,0.0,0.0,Sunny
20.4545,14.4545,68.467735,0.0,0.0,0.0,0.0,Sunny
21.4545,14.054501,62.74109,0.0,0.0,0.0,0.0,Sunny
21.904501,13.804501,60.05685,0.0,0.0,0.0,0.0,Sunny
21.904501,13.6545,59.474396,0.0,0.0,0.0,0.0,Sunny
21.6045,13.554501,60.181835,0.0,0.0,0.0,0.0,Sunny
20.2545,14.9545,71.58972,0.0,0.0,0.0,0.0,Sunny
19.3545,13.554501,69.14218,0.0,0.0,0.0,0.0,Sunny
17.5045,13.3545,76.63534,0.0,0.0,0.0,0.0,Sunny
14.554501,12.9545,90.12842,0.0,0.0,0.0,0.0,Sunny
13.7045,12.4545,92.16156,0.0,0.0,0.0,0.0,Sunny
13.054501,11.8545,92.42748,0.0,0.0,0.0,0.0,Sunny
12.9045,11.5045,91.205925,0.0,0.0,0.0,0.0,Sunny
15.0045,12.4045,84.4541,0.0,0.0,0.0,0.0,Sunny
14.5045,12.3545,86.93432,0.0,0.0,0.0,0.0,Sunny
11.5045,10.7545,95.14859,0.0,0.0,0.0,0.0,Sunny
11.054501,10.6045,97.053406,0.0,0.0,0.0,0.0,Sunny
10.3545,10.2045,99.00371,0.0,0.0,0.0,21.599998,Sunny
9.9045,9.804501,99.33246,0.0,0.0,0.0,72.0,Cloudy
10.2545,10.1045,99.00292,0.0,0.0,0.0,90.0,Cloudy
10.7545,10.6545,99.336914,0.0,0.0,0.0,90.0,Cloudy
11.1045,10.8545,98.35406,0.0,0.0,0.0,90.0,Cloudy
12.804501,12.304501,96.774666,0.0,0.0,0.0,90.0,Cloudy
15.1045,13.4545,89.87543,0.0,0.0,0.0,23.4,Sunny
17.3545,14.2545,82.02049,0.0,0.0,0.0,2.6999998,Sunny
19.404501,14.6545,74.01847,0.0,0.0,0.0,0.0,Sunny
20.7045,14.2545,66.55455,0.0,0.0,0.0,0.0,Sunny
21.3545,13.5045,60.91148,0.0,0.0,0.0,0.0,Sunny
21.6045,12.804501,57.307568,0.0,0.0,0.0,0.0,Sunny
21.3045,12.5045,57.2339,0.0,0.0,0.0,0.0,Sunny
19.0045,14.9045,77.118256,0.0,0.0,0.0,0.0,Sunny
15.304501,13.3545,88.15219,0.0,0.0,0.0,0.0,Sunny
14.3545,12.804501,90.40923,0.0,0.0,0.0,0.0,Sunny
13.7545,12.2545,90.66397,0.0,0.0,0.0,0.0,Sunny
13.1545,11.804501,91.52374,0.0,0.0,0.0,0.0,Sunny
12.804501,11.4545,91.50148,0.0,0.0,0.0,0.0,Sunny
12.6545,11.2545,91.18946,0.0,0.0,0.0,0.0,Sunny
13.0045,11.5045,90.6117,0.0,0.0,0.0,0.0,Sunny
14.0045,12.2045,88.91221,0.0,0.0,0.0,0.0,Sunny
13.554501,12.1545,91.248535,0.0,0.0,0.0,0.0,Sunny
11.2545,10.7045,96.41464,0.0,0.0,0.0,0.0,Sunny
9.6045,9.554501,99.66495,0.0,0.0,0.0,0.0,Sunny
9.3545,9.304501,99.66428,0.0,0.0,0.0,67.5,Cloudy
10.054501,9.9545,99.33325,0.0,0.0,0.0,90.0,Cloudy
10.304501,10.1045,98.673035,0.0,0.0,0.0,90.0,Cloudy
10.804501,10.5045,98.023125,0.0,0.0,0.0,90.0,Cloudy
11.9045,11.554501,97.71663,0.0,0.0,0.0,90.0,Cloudy
14.1045,12.4045,89.50625,0.0,0.0,0.0,8.099999,Sunny
16.654501,13.1545,79.8243,0.0,0.0,0.0,7.2,Sunny
18.4545,13.2545,71.72293,0.0,0.0,0.0,0.0,Sunny
19.8545,12.8545,64.036285,0.0,0.0,0.0,0.0,Sunny
20.654501,12.0045,57.640648,0.0,0.0,0.0,0.0,Sunny
20.8545,11.6045,55.452908,0.0,0.0,0.0,0.0,Sunny
20.654501,11.4045,55.402412,0.0,0.0,0.0,0.0,Sunny
18.654501,13.0045,69.6841,0.0,0.0,0.0,0.0,Sunny
15.054501,12.6045,85.29462,0.0,0.0,0.0,0.0,Sunny
13.9545,11.9045,87.45668,0.0,0.0,0.0,0.0,Sunny
13.4545,11.4045,87.41077,0.0,0.0,0.0,0.0,Sunny
12.4045,11.054501,91.475945,0.0,0.0,0.0,0.0,Sunny
11.4545,10.554501,94.201385,0.0,0.0,0.0,0.0,Sunny
11.5045,10.4545,93.26689,0.0,0.0,0.0,0.0,Sunny
13.5045,11.4545,87.41536,0.0,0.0,0.0,0.0,Sunny
13.0045,11.2045,88.83017,0.0,0.0,0.0,0.0,Sunny
10.6545,9.804501,94.48185,0.0,0.0,0.0,0.0,Sunny
9.5045,9.1045,97.34509,0.0,0.0,0.0,0.0,Sunny
9.0045,8.8545,98.99305,0.0,0.0,0.0,30.599998,Cloudy
9.0045,8.9045,99.3277,0.0,0.0,0.0,71.1,Cloudy
9.4045,9.1545,98.332,0.0,0.0,0.0,0.0,Sunny
9.8545,9.7545,99.332214,0.0,0.0,0.0,90.0,Cloudy
10.2545,9.9045,97.68713,0.0,0.0,0.0,90.0,Cloudy
11.9045,11.0045,94.22126,0.0,0.0,0.0,59.399998,Cloudy
14.1045,11.6545,85.19378,0.0,0.0,0.0,10.799999,Sunny
15.9545,12.0045,77.40244,0.0,0.0,0.0,3.6,Sunny
17.4545,11.7545,69.22079,0.0,0.0,0.0,0.9,Sunny
18.5045,11.9045,65.442795,0.0,0.0,0.0,0.0,Sunny
19.154501,11.9045,62.83888,0.0,0.0,0.0,0.0,Sunny
19.404501,11.804501,61.46194,0.0,0.0,0.0,0.0,Sunny
19.154501,11.6545,61.81102,0.0,0.0,0.0,0.0,Sunny
17.7545,12.1045,69.50837,0.0,0.0,0.0,0.0,Sunny
14.4545,11.3545,81.65083,0.0,0.0,0.0,0.0,Sunny
13.7045,11.1545,84.5886,0.0,0.0,0.0,0.0,Sunny
12.9545,10.8545,87.07486,0.0,0.0,0.0,0.0,Sunny
12.1045,10.5045,89.94728,0.0,0.0,0.0,0.0,Sunny
11.1545,9.9045,92.00962,0.0,0.0,0.0,0.0,Sunny
10.2545,9.2545,93.516655,0.0,0.0,0.0,0.0,Sunny
9.7545,8.8545,94.125336,0.0,0.0,0.0,0.0,Sunny
9.2545,8.4545,94.74242,0.0,0.0,0.0,0.0,Sunny
8.9045,8.1545,95.05032,0.0,0.0,0.0,0.0,Sunny
8.4545,7.8045,95.68244,0.0,0.0,0.0,0.0,Sunny
8.1045,7.5545,96.32574,0.0,0.0,0.0,0.0,Sunny
7.9545,7.4045,96.32142,0.0,0.0,0.0,0.0,Sunny
8.054501,7.6045003,96.98359,0.0,0.0,0.0,0.0,Sunny
8.304501,7.8045,96.659996,0.0,0.0,0.0,0.0,Sunny
9.2045,8.2545,93.781876,0.0,0.0,0.0,0.0,Sunny
10.9045,8.9045,87.467415,0.0,0.0,0.0,9.9,Sunny
13.1045,9.7045,79.85425,0.0,0.0,0.0,49.5,Cloudy
14.7045,10.0045,73.44106,0.0,0.0,0.0,14.4,Sunny
15.8545,10.304501,69.5959,0.0,0.0,0.0,21.599998,Sunny
16.904501,10.554501,66.19075,0.0,0.0,0.0,14.4,Sunny
17.8045,10.304501,61.498627,0.0,0.0,0.0,7.2,Sunny
18.3045,10.0045,58.413734,0.0,0.0,0.0,0.9,Sunny
18.154501,9.8545,58.377064,0.0,0.0,0.0,0.0,Sunny
16.5045,10.9045,69.49245,0.0,0.0,0.0,0.0,Sunny
