temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
21.496,17.746,79.227554,0.0,0.0,0.0,0.0,Sunny
23.546,17.595999,69.293495,0.0,0.0,0.0,0.0,Sunny
23.345999,19.496,78.99287,0.0,0.0,0.0,11.400001,Sunny
25.246,18.946,68.11674,0.0,0.0,0.0,14.1,Sunny
26.646,18.595999,61.342022,0.0,0.0,0.0,4.2000003,Sunny
27.746,18.095999,55.734184,0.0,0.0,0.0,8.700001,Sunny
28.595999,17.546,51.237465,0.0,0.0,0.0,8.700001,Sunny
29.095999,17.396,49.30521,0.0,0.0,0.0,18.6,Sunny
29.296,17.746,49.82638,0.0,0.0,0.0,0.0,Sunny
29.246,18.146,51.24346,0.0,0.0,0.0,0.0,Sunny
29.046,18.446,52.824142,0.0,0.0,0.0,0.0,Sunny
28.595999,18.746,55.247463,0.0,0.0,0.0,0.0,Sunny
27.345999,20.646,66.86187,0.0,0.0,0.0,3.6000001,Sunny
24.196,19.496,75.05421,0.0,0.0,0.0,1.2,Sunny
22.896,20.196,84.77119,0.0,0.0,0.0,18.000002,Sunny
21.595999,20.396,92.89192,0.0,0.0,0.0,18.900002,Sunny
21.496,20.246,92.60025,0.0,0.0,0.0,16.2,Sunny
21.546,20.496,93.75321,0.0,0.0,0.0,5.4,Sunny
21.595999,20.746,94.917854,0.0,0.0,0.0,2.6999998,Sunny
21.496,20.696,95.206856,0.0,0.0,0.0,7.5,Sunny
21.345999,20.746,96.38183,0.0,0.0,0.0,20.7,Sunny
21.345999,20.746,96.38183,0.0,0.0,0.0,1.8,Sunny
21.296,20.546,95.493744,0.0,0.0,0.0,0.0,Sunny
20.696,19.996,95.76973,0.0,0.0,0.0,0.0,Sunny
21.696,21.196,96.984634,0.0,0.0,0.0,3.6,Sunny
21.546,20.996,96.68385,0.0,0.0,0.0,3.6,Sunny
22.845999,21.396,91.544914,0.0,0.0,0.0,9.599999,Sunny
24.296,21.446,84.142365,0.0,0.0,0.0,4.5,Sunny
25.595999,21.396,77.62637,0.0,0.0,0.0,12.0,Sunny
26.595999,21.196,72.2772,0.0,0.0,0.0,15.9,Sunny
27.446,20.746,66.882034,0.0,0.0,0.0,12.599999,Sunny
28.296,19.646,59.46093,0.0,0.0,0.0,9.6,Sunny
28.746,19.095999,55.97843,0.0,0.0,0.0,3.5999997,Sunny
28.896,18.796,54.46454,0.0,0.0,0.0,9.6,Sunny
28.746,18.496,53.918728,0.0,0.0,0.0,10.8,Sunny
28.246,18.696,56.207005,0.0,0.0,0.0,8.4,Sunny
26.546,19.845999,66.70005,0.0,0.0,0.0,0.9,Sunny
24.095999,20.046,78.12583,0.0,0.0,0.0,0.0,Sunny
22.496,20.446,88.20464,0.0,0.0,0.0,0.0,Sunny
22.595999,20.296,86.862495,0.0,0.0,0.0,0.0,Sunny
22.196,20.196,88.45253,0.0,0.0,0.0,0.0,Sunny
21.296,19.946,92.01798,0.0,0.0,0.0,0.0,Sunny
21.345999,19.896,91.45269,0.0,0.0,0.0,0.6,Sunny
21.095999,19.796,92.29208,0.0,0.0,0.0,0.6,Sunny
20.845999,19.696,93.141464,0.0,0.0,0.0,0.6,Sunny
20.646,19.546,93.42118,0.0,0.0,0.0,1.2,Sunny
21.946,20.246,90.088554,0.0,0.0,0.0,0.9,Sunny
22.046,20.396,90.3742,0.0,0.0,0.0,0.0,Sunny
22.146,20.746,91.784225,0.0,0.0,0.0,0.0,Sunny
22.446,20.845999,90.68037,0.0,0.0,0.0,6.9,Sunny
22.896,21.246,90.4328,0.0,0.0,0.0,15.6,Sunny
24.396,21.446,83.63974,0.0,0.0,0.0,2.1000001,Sunny
25.496,21.296,77.61162,0.0,0.0,0.0,11.099999,Sunny
26.345999,20.696,71.13064,0.1,0.1,0.0,11.7,Rainy
27.146,19.796,64.18826,0.0,0.0,0.0,13.2,Sunny
27.146,19.546,63.199978,0.3,0.3,0.0,30.9,Rainy
27.046,19.496,63.374878,0.1,0.1,0.0,25.2,Rainy
26.796,19.546,64.513084,0.1,0.1,0.0,34.8,Rainy
26.345999,20.146,68.75683,0.7,0.7,0.0,53.7,Rainy
25.845999,20.396,71.9226,0.0,0.0,0.0,33.9,Cloudy
24.996,21.246,79.71102,0.0,0.0,0.0,55.2,Cloudy
23.446,21.046,86.40862,0.0,0.0,0.0,55.5,Cloudy
22.996,21.046,88.790276,0.0,0.0,0.0,15.0,Sunny
24.146,20.496,80.08773,0.0,0.0,0.0,12.6,Sunny
23.896,20.446,81.04894,0.0,0.0,0.0,7.7999997,Sunny
23.296,20.496,84.292145,0.0,0.0,0.0,4.2,Sunny
23.396,20.746,85.08554,0.0,0.0,0.0,9.6,Sunny
23.196,20.696,85.85466,0.0,0.0,0.0,12.3,Sunny
21.546,20.046,91.18254,0.0,0.0,0.0,8.7,Sunny
20.345999,19.345999,93.989876,0.0,0.0,0.0,6.0,Sunny
