temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
11.098,6.598,73.798195,0.0,0.0,0.0,0.0,Sunny
10.898,6.648,75.041824,0.0,0.0,0.0,0.0,Sunny
10.898,6.798,75.818756,0.0,0.0,0.0,0.0,Sunny
12.798,7.948,72.358154,0.0,0.0,0.0,12.0,Sunny
15.798,8.998,63.986355,0.0,0.0,0.0,0.6,Sunny
18.548,9.248,54.68195,0.0,0.0,0.0,0.0,Sunny
20.398,9.248,48.741837,0.0,0.0,0.0,0.0,Sunny
21.548,9.698,46.80993,0.0,0.0,0.0,0.0,Sunny
22.248,9.798,45.154068,0.0,0.0,0.0,0.0,Sunny
22.598,9.798,44.203564,0.0,0.0,0.0,0.0,Sunny
22.548,9.548,43.600677,0.0,0.0,0.0,0.0,Sunny
22.048,9.498,44.796787,0.0,0.0,0.0,0.0,Sunny
19.148,11.598,61.605724,0.0,0.0,0.0,0.0,Sunny
16.948,9.948,63.388912,0.0,0.0,0.0,0.0,Sunny
15.748,9.598,66.83529,0.0,0.0,0.0,0.0,Sunny
14.898,9.398,69.640366,0.0,0.0,0.0,0.0,Sunny
14.348,9.198,71.19172,0.0,0.0,0.0,0.0,Sunny
14.098,8.998,71.38452,0.0,0.0,0.0,0.0,Sunny
13.648,8.848,72.75986,0.0,0.0,0.0,0.0,Sunny
13.098,8.098,71.67998,0.0,0.0,0.0,0.0,Sunny
12.548,7.598,71.820694,0.0,0.0,0.0,0.0,Sunny
11.998,7.348,73.204094,0.0,0.0,0.0,0.0,Sunny
11.448,7.148,74.8791,0.0,0.0,0.0,0.0,Sunny
10.998,6.948,76.09581,0.0,0.0,0.0,0.0,Sunny
10.248,7.798,84.773865,0.0,0.0,0.0,14.1,Sunny
9.848,7.598,85.89369,0.0,0.0,0.0,24.6,Sunny
9.848,7.348,84.44042,0.0,0.0,0.0,23.1,Sunny
12.198,7.898,75.007416,0.0,0.0,0.0,25.500002,Sunny
15.448,8.898,64.996414,0.0,0.0,0.0,0.0,Sunny
18.448,9.548,56.14638,0.0,0.0,0.0,0.0,Sunny
20.298,9.248,49.043736,0.0,0.0,0.0,0.0,Sunny
21.398,8.598,43.868214,0.0,0.0,0.0,19.800001,Sunny
22.148,8.298,41.06097,0.0,0.0,0.0,29.400002,Sunny
22.598,8.098,39.414032,0.0,0.0,0.0,27.000002,Sunny
22.598,8.098,39.414032,0.0,0.0,0.0,24.900002,Sunny
21.898,8.248,41.550484,0.0,0.0,0.0,24.6,Sunny
19.098,9.848,55.007,0.0,0.0,0.0,24.300001,Sunny
16.998,9.298,60.49168,0.0,0.0,0.0,25.2,Sunny
16.098,9.198,63.623764,0.0,0.0,0.0,23.400002,Sunny
15.398,9.048,65.868164,0.0,0.0,0.0,21.0,Sunny
14.698,9.048,68.901054,0.0,0.0,0.0,23.1,Sunny
14.148,8.948,70.914154,0.0,0.0,0.0,15.000001,Sunny
13.448,8.898,73.96204,0.0,0.0,0.0,16.2,Sunny
12.798,8.948,77.42866,0.0,0.0,0.0,7.8,Sunny
12.148,9.098,81.62354,0.0,0.0,0.0,23.400002,Sunny
11.498,9.148,85.4859,0.0,0.0,0.0,24.300001,Sunny
10.998,9.198,88.662865,0.0,0.0,0.0,18.900002,Sunny
10.548,9.048,90.43744,0.0,0.0,0.0,14.1,Sunny
9.998,8.548,90.70424,0.0,0.0,0.0,0.0,Sunny
9.498,8.248,91.90857,0.0,0.0,0.0,0.0,Sunny
9.448,8.148,91.59411,0.0,0.0,0.0,0.0,Sunny
11.648,8.798,82.6681,0.0,0.0,0.0,0.0,Sunny
14.498,9.698,72.91394,0.0,0.0,0.0,0.0,Sunny
17.448,10.048,61.82784,0.0,0.0,0.0,0.0,Sunny
19.548,8.648,49.33809,0.0,0.0,0.0,0.0,Sunny
