temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
18.4575,17.4575,93.9053,0.0,0.0,0.0,2.1000001,Sunny
18.6575,17.5075,93.03012,0.0,0.0,0.0,1.8000001,Sunny
20.2575,17.5575,84.4881,0.0,0.0,0.0,0.0,Sunny
23.1575,17.7575,71.66332,0.0,0.0,0.0,0.0,Sunny
25.8075,16.5075,56.501156,0.0,0.0,0.0,22.5,Sunny
27.8575,14.0075,42.656208,0.0,0.0,0.0,8.400001,Sunny
29.1075,12.3575,35.619118,0.0,0.0,0.0,0.0,Sunny
29.9575,12.8575,35.045475,0.0,0.0,0.0,0.0,Sunny
30.6075,13.0075,34.096058,0.0,0.0,0.0,0.0,Sunny
30.7075,12.8075,33.46118,0.0,0.0,0.0,3.2999997,Sunny
30.2575,12.9575,34.672997,0.0,0.0,0.0,4.8,Sunny
30.0575,12.6075,34.278946,0.0,0.0,0.0,6.3,Sunny
28.1075,13.5075,40.695396,0.0,0.0,0.0,16.800001,Sunny
26.2075,13.8575,46.541515,0.0,0.0,0.0,27.900002,Sunny
24.8575,14.3575,52.086536,0.0,0.0,0.0,13.500001,Sunny
23.5075,15.0575,59.08785,0.0,0.0,0.0,23.7,Sunny
22.1575,15.4575,65.79313,0.0,0.0,0.0,7.5000005,Sunny
21.6575,15.3575,67.39788,0.0,0.0,0.0,3.9,Sunny
21.4075,15.7575,70.21307,0.0,0.0,0.0,0.90000004,Sunny
20.8075,16.307499,75.45011,0.0,0.0,0.0,9.0,Sunny
20.3075,17.2575,82.646866,0.0,0.0,0.0,6.3,Sunny
20.0075,17.2575,84.19434,0.0,0.0,0.0,1.8,Sunny
19.4575,16.9075,85.20759,0.0,0.0,0.0,9.3,Sunny
19.0575,16.6075,85.7088,0.0,0.0,0.0,6.9,Sunny
18.9075,17.0575,89.01966,0.0,0.0,0.0,1.5,Sunny
19.2575,16.8075,85.72905,0.0,0.0,0.0,3.3000002,Sunny
20.2075,16.9075,81.3368,0.0,0.0,0.0,6.2999997,Sunny
22.3575,17.3075,73.11953,0.0,0.0,0.0,9.299999,Sunny
24.4575,16.8075,62.410046,0.0,0.0,0.0,9.0,Sunny
26.6075,15.5575,50.721992,0.0,0.0,0.0,0.0,Sunny
28.1075,14.5075,43.42112,0.0,0.0,0.0,0.0,Sunny
29.0075,15.0575,42.696842,0.0,0.0,0.0,4.5,Sunny
30.0575,13.7075,36.830242,0.0,0.0,0.0,4.8,Sunny
30.2075,11.7575,32.13751,0.0,0.0,0.0,13.5,Sunny
29.5575,11.7075,33.25165,0.0,0.0,0.0,5.1000004,Sunny
28.5575,12.0075,35.93603,0.0,0.0,0.0,6.0,Sunny
27.2575,13.1575,41.803677,0.0,0.0,0.0,3.0,Sunny
25.5075,13.9075,48.669834,0.0,0.0,0.0,2.1,Sunny
24.3575,15.0075,55.964893,0.0,0.0,0.0,0.0,Sunny
23.0075,16.307499,65.97136,0.0,0.0,0.0,0.0,Sunny
21.7075,16.4575,72.08375,0.0,0.0,0.0,0.0,Sunny
21.0075,16.057499,73.349655,0.0,0.0,0.0,0.0,Sunny
20.5575,15.6575,73.50619,0.0,0.0,0.0,0.0,Sunny
20.1575,16.057499,77.295006,0.0,0.0,0.0,0.0,Sunny
19.8075,17.0575,84.17219,0.0,0.0,0.0,0.0,Sunny
19.3575,17.7575,90.4699,0.0,0.0,0.0,0.0,Sunny
19.0075,18.1075,94.52218,0.0,0.0,0.0,0.0,Sunny
18.9575,18.2075,95.41472,0.0,0.0,0.0,0.0,Sunny
19.1575,18.6575,96.92682,0.0,0.0,0.0,19.2,Sunny
19.4075,18.7575,96.028595,0.0,0.0,0.0,26.699999,Sunny
20.1075,18.7075,91.661575,0.0,0.0,0.0,11.7,Sunny
21.8575,18.3075,80.27965,0.0,0.0,0.0,1.8,Sunny
24.1575,17.2575,65.379234,0.0,0.0,0.0,2.6999998,Sunny
26.4075,15.4575,50.99579,0.0,0.0,0.0,0.6,Sunny
27.9575,13.9575,42.270763,0.0,0.0,0.0,3.8999999,Sunny
29.0575,14.1075,40.041527,0.0,0.0,0.0,10.2,Sunny
29.8575,13.7075,37.256054,0.0,0.0,0.0,10.200001,Sunny
30.0575,13.1575,35.534443,0.0,0.0,0.0,24.3,Sunny
29.3575,13.5575,37.972927,0.0,0.0,0.0,60.000004,Cloudy
28.1575,14.5075,43.294823,0.0,0.0,0.0,33.600002,Cloudy
27.8075,14.0075,42.780907,0.0,0.0,0.0,11.4,Sunny
24.3575,17.7575,66.67061,0.0,0.0,0.0,10.8,Sunny
23.1575,18.6075,75.59106,0.0,0.0,0.0,21.0,Sunny
22.7575,18.6575,77.686584,0.0,0.0,0.0,21.9,Sunny
22.2075,18.7075,80.57804,0.0,0.0,0.0,1.5,Sunny
21.3575,18.7075,84.87199,0.0,0.0,0.0,1.2,Sunny
20.8075,18.6075,87.23988,0.0,0.0,0.0,1.2,Sunny
20.3075,18.5575,89.68979,0.0,0.0,0.0,0.0,Sunny
19.9575,18.5575,91.65246,0.0,0.0,0.0,6.9000006,Sunny
19.6075,18.5575,93.66347,0.0,0.0,0.0,30.000002,Cloudy
19.3575,18.4075,94.240715,0.0,0.0,0.0,27.000002,Sunny
19.2075,18.3575,94.82714,0.0,0.0,0.0,30.000002,Cloudy
18.9575,18.2575,95.71455,0.0,0.0,0.0,30.000002,Cloudy
19.0575,18.3575,95.71776,0.0,0.0,0.0,28.800001,Sunny
20.1075,18.6075,91.09005,0.0,0.0,0.0,11.1,Sunny
22.3075,18.5075,79.0931,0.0,0.0,0.0,9.0,Sunny
24.3075,17.8575,67.29297,0.0,0.0,0.0,2.1000001,Sunny
26.1575,16.4075,54.991806,0.0,0.0,0.0,0.0,Sunny
27.5575,16.1075,49.687057,0.0,0.0,0.0,7.5,Sunny
29.0075,15.0075,42.55976,0.0,0.0,0.0,6.3,Sunny
29.6575,14.0075,38.428467,0.0,0.0,0.0,11.7,Sunny
29.8075,13.2075,36.16662,0.0,0.0,0.0,17.400002,Sunny
