temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
11.38,10.58,94.82773,0.0,0.0,0.0,3.6,Sunny
10.83,10.43,97.3724,0.0,0.0,0.0,0.0,Sunny
10.7300005,10.43,98.02198,0.0,0.0,0.0,0.0,Sunny
13.33,11.33,87.689125,0.0,0.0,0.0,0.0,Sunny
16.23,11.93,75.681694,0.0,0.0,0.0,0.0,Sunny
18.279999,11.58,64.96403,0.0,0.0,0.0,0.0,Sunny
19.779999,10.2300005,54.08761,0.0,0.0,0.0,0.0,Sunny
20.73,9.08,47.21717,0.0,0.0,0.0,0.0,Sunny
21.33,8.28,43.112682,0.0,0.0,0.0,0.0,Sunny
21.48,7.78,41.291306,0.0,0.0,0.0,0.0,Sunny
21.33,7.6800003,41.38954,0.0,0.0,0.0,0.0,Sunny
20.33,10.28,52.452423,0.0,0.0,0.0,0.0,Sunny
15.78,9.43,65.950356,0.0,0.0,0.0,0.0,Sunny
15.43,9.38,67.21877,0.0,0.0,0.0,0.0,Sunny
14.28,10.03,75.61132,0.0,0.0,0.0,0.0,Sunny
13.4800005,10.53,82.3434,0.0,0.0,0.0,0.0,Sunny
12.7300005,10.68,87.34378,0.0,0.0,0.0,0.0,Sunny
12.13,10.53,89.94919,0.0,0.0,0.0,0.0,Sunny
11.68,10.2300005,90.82113,0.0,0.0,0.0,0.0,Sunny
10.93,9.7300005,92.305,0.0,0.0,0.0,0.0,Sunny
10.13,9.13,93.510475,0.0,0.0,0.0,0.0,Sunny
9.68,8.88,94.75967,0.0,0.0,0.0,0.0,Sunny
9.13,8.4800005,95.70506,0.0,0.0,0.0,0.0,Sunny
8.68,8.2300005,96.99835,0.0,0.0,0.0,0.0,Sunny
8.28,7.73,96.33077,0.0,0.0,0.0,0.0,Sunny
8.58,8.03,96.339355,0.0,0.0,0.0,0.0,Sunny
9.9800005,9.03,93.81879,0.0,0.0,0.0,0.0,Sunny
12.7300005,9.93,83.07944,0.0,0.0,0.0,0.0,Sunny
15.43,9.9800005,69.978966,0.0,0.0,0.0,0.0,Sunny
17.38,9.43,59.57391,0.0,0.0,0.0,2.4,Sunny
18.88,9.18,53.314026,0.0,0.0,0.0,0.6,Sunny
19.88,8.9800005,49.428055,0.0,0.0,0.0,0.0,Sunny
20.58,8.43,45.607937,0.0,0.0,0.0,0.0,Sunny
20.929998,7.53,41.98673,0.0,0.0,0.0,0.0,Sunny
20.779999,7.23,41.516373,0.0,0.0,0.0,0.0,Sunny
19.73,8.13,47.101173,0.0,0.0,0.0,2.1000001,Sunny
16.029999,9.38,64.68767,0.0,0.0,0.0,20.1,Sunny
14.53,9.43,71.46603,0.0,0.0,0.0,7.2000003,Sunny
13.28,9.4800005,77.76452,0.0,0.0,0.0,0.0,Sunny
12.2300005,9.78,84.9918,0.0,0.0,0.0,0.3,Sunny
11.33,9.88,90.79698,0.0,0.0,0.0,0.0,Sunny
10.63,9.53,92.909515,0.0,0.0,0.0,0.0,Sunny
10.03,9.08,93.82117,0.0,0.0,0.0,0.0,Sunny
9.4800005,8.68,94.75157,0.0,0.0,0.0,0.0,Sunny
8.93,8.38,96.34935,0.0,0.0,0.0,0.0,Sunny
8.68,8.2300005,96.99835,0.0,0.0,0.0,0.0,Sunny
8.53,8.18,97.65566,0.0,0.0,0.0,0.0,Sunny
8.4800005,8.18,97.98678,0.0,0.0,0.0,0.0,Sunny
7.9300003,7.6800003,98.312485,0.0,0.0,0.0,0.0,Sunny
8.68,8.28,97.32789,0.0,0.0,0.0,0.0,Sunny
9.83,9.08,95.08564,0.0,0.0,0.0,0.0,Sunny
12.33,9.93,85.28769,0.0,0.0,0.0,0.0,Sunny
14.88,10.58,75.4588,0.0,0.0,0.0,0.0,Sunny
17.029999,11.33,69.13673,0.0,0.0,0.0,0.0,Sunny
18.679998,11.68,63.776527,0.0,0.0,0.0,0.0,Sunny
19.83,11.68,59.369633,0.0,0.0,0.0,0.0,Sunny
20.58,11.68,56.680058,0.0,0.0,0.0,2.6999998,Sunny
20.88,11.53,55.09412,0.0,0.0,0.0,7.2,Sunny
20.48,11.2300005,55.358303,0.0,0.0,0.0,0.0,Sunny
19.33,10.63,57.12423,0.0,0.0,0.0,0.0,Sunny
15.38,10.63,73.316216,0.0,0.0,0.0,0.0,Sunny
13.58,10.53,81.80931,0.0,0.0,0.0,0.0,Sunny
12.68,10.13,84.474434,0.0,0.0,0.0,0.0,Sunny
11.68,9.93,89.01764,0.0,0.0,0.0,0.0,Sunny
10.53,9.53,93.530304,0.0,0.0,0.0,0.0,Sunny
10.08,9.33,95.09511,0.0,0.0,0.0,0.0,Sunny
9.2300005,8.7300005,96.684074,0.0,0.0,0.0,0.0,Sunny
8.83,8.38,97.00187,0.0,0.0,0.0,0.0,Sunny
9.03,8.4800005,96.352196,0.0,0.0,0.0,0.9,Sunny
9.03,8.43,96.026474,0.0,0.0,0.0,6.2999997,Sunny
9.03,8.43,96.026474,0.0,0.0,0.0,10.799999,Sunny
8.63,8.28,97.6575,0.0,0.0,0.0,3.6,Sunny
