temperature_2m,dew_point_2m,relative_humidity_2m,rain,precipitation,snowfall,cloud_cover,Weather_Condition
6.9935,6.6435003,97.627075,0.0,0.0,0.0,30.000002,Cloudy
7.6435003,7.1435003,96.64263,0.0,0.0,0.0,31.800001,Cloudy
6.8435,6.4435,97.28899,0.0,0.0,0.0,5.4,Sunny
8.6935,7.3935003,91.545715,0.0,0.0,0.0,2.4,Sunny
11.5435,8.5935,82.09804,0.0,0.0,0.0,0.0,Sunny
14.393499,9.3435,71.68098,0.0,0.0,0.0,0.0,Sunny
16.4435,9.5435,63.701416,0.0,0.0,0.0,0.0,Sunny
17.6435,9.4935,58.842106,0.0,0.0,0.0,0.0,Sunny
18.3435,9.143499,54.9987,0.0,0.0,0.0,6.6000004,Sunny
18.6935,8.7935,52.55118,0.0,0.0,0.0,16.5,Sunny
18.6435,8.4435,51.482494,0.0,0.0,0.0,50.700005,Cloudy
17.9935,9.5435,57.753437,0.0,0.0,0.0,40.2,Cloudy
17.1435,8.7435,57.737606,0.0,0.0,0.0,9.6,Sunny
15.5935,8.9435,64.59127,0.0,0.0,0.0,49.2,Cloudy
14.6935,9.0435,68.900154,0.0,0.0,0.0,4.2000003,Sunny
13.9435,8.9935,72.08118,0.0,0.0,0.0,0.0,Sunny
13.2935,8.7935,74.18507,0.0,0.0,0.0,0.0,Sunny
11.393499,8.2935,81.24867,0.0,0.0,0.0,0.0,Sunny
9.9935,7.8935003,86.790436,0.0,0.0,0.0,0.0,Sunny
8.393499,7.2435,92.47057,0.0,0.0,0.0,0.0,Sunny
7.5435004,6.7935004,94.9977,0.0,0.0,0.0,1.8,Sunny
7.1435003,6.5935,96.29795,0.0,0.0,0.0,0.0,Sunny
6.5935,6.1935,97.283615,0.0,0.0,0.0,0.0,Sunny
6.4435,6.0935,97.61673,0.0,0.0,0.0,0.0,Sunny
7.2935004,6.5935,95.31504,0.0,0.0,0.0,0.0,Sunny
5.8435,5.5435004,97.94431,0.0,0.0,0.0,0.0,Sunny
5.4935,5.2435,98.27952,0.0,0.0,0.0,0.3,Sunny
8.0435,6.8435,92.133835,0.0,0.0,0.0,0.0,Sunny
11.2935,8.4935,82.90419,0.0,0.0,0.0,0.0,Sunny
14.143499,9.5435,73.83548,0.0,0.0,0.0,0.0,Sunny
16.1435,9.5435,64.93033,0.0,0.0,0.0,0.0,Sunny
17.3435,8.7935,57.204967,0.0,0.0,0.0,0.0,Sunny
17.8935,8.5935,54.513355,0.0,0.0,0.0,0.0,Sunny
18.0935,8.5935,53.832233,0.0,0.0,0.0,0.0,Sunny
18.043499,8.4935,53.637386,0.0,0.0,0.0,0.0,Sunny
17.2435,8.9435,58.153538,0.0,0.0,0.0,0.0,Sunny
13.2435,9.3435,77.23794,0.0,0.0,0.0,7.2,Sunny
11.9935,8.8435,81.05446,0.0,0.0,0.0,5.3999996,Sunny
12.3435,8.5935,77.882904,0.0,0.0,0.0,0.0,Sunny
12.0935,8.5935,79.17354,0.0,0.0,0.0,0.0,Sunny
10.5935,8.143499,84.81219,0.0,0.0,0.0,0.0,Sunny
9.2435,7.6435003,89.72949,0.0,0.0,0.0,0.0,Sunny
8.2935,7.2435,93.09951,0.0,0.0,0.0,0.0,Sunny
7.4935,6.8935003,95.97853,0.0,0.0,0.0,0.0,Sunny
6.7935004,6.4935,97.95976,0.0,0.0,0.0,0.0,Sunny
6.4935,6.1935,97.95491,0.0,0.0,0.0,0.0,Sunny
6.9935,6.5935,97.29218,0.0,0.0,0.0,0.0,Sunny
7.2435,6.8435,97.29753,0.0,0.0,0.0,12.599999,Sunny
6.4935,6.2935004,98.632454,0.0,0.0,0.0,0.0,Sunny
5.7435,5.7435,100.0,0.0,0.0,0.0,90.0,Cloudy
5.7435,5.6435003,99.31002,0.0,0.0,0.0,90.0,Cloudy
6.1935,5.8935003,97.95002,0.0,0.0,0.0,90.0,Cloudy
8.4435,8.143499,97.9862,0.0,0.0,0.0,90.0,Cloudy
11.1935,9.393499,88.67933,0.0,0.0,0.0,58.5,Cloudy
13.6935,10.0935,78.87634,0.0,0.0,0.0,0.9,Sunny
15.4935,9.2435,66.333855,0.0,0.0,0.0,0.0,Sunny
16.543499,8.4435,58.77212,0.0,0.0,0.0,0.0,Sunny
17.043499,8.0935,55.601208,0.0,0.0,0.0,0.0,Sunny
16.9935,7.8935003,55.024414,0.0,0.0,0.0,0.0,Sunny
16.1935,7.9435,58.091198,0.0,0.0,0.0,0.0,Sunny
11.643499,8.8435,82.94713,0.0,0.0,0.0,1.8,Sunny
10.0435,8.143499,87.982864,0.0,0.0,0.0,0.0,Sunny
9.0935,7.6435003,90.64047,0.0,0.0,0.0,0.0,Sunny
8.4935,7.4435,93.110115,0.0,0.0,0.0,0.0,Sunny
8.393499,7.4935,94.06339,0.0,0.0,0.0,0.0,Sunny
8.1935,7.4435,95.02294,0.0,0.0,0.0,0.0,Sunny
7.4935,6.8435,95.64995,0.0,0.0,0.0,0.0,Sunny
7.3935003,6.7935004,95.97537,0.0,0.0,0.0,0.0,Sunny
7.2935004,6.7935004,96.63339,0.0,0.0,0.0,0.0,Sunny
6.8935003,6.5435004,97.625206,0.0,0.0,0.0,0.0,Sunny
